Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","1,559,028","1,704,216","1,705,750","1,830,383","1,582,428","1,788,804","1,002,809","965,050","1,021,253","1,033,702","-","-"
"YoY %","-8.52%","-0.09%","-6.81%","15.67%","-11.54%","78.38%","3.91%","-5.50%","-1.20%","0.00%","-",""
"Horiz. %","150.82%","164.87%","165.01%","177.07%","153.08%","173.05%","97.01%","93.36%","98.80%","100.00%","-",""
"PBT","43,816","62,134","77,077","95,872","-267,208","68,197","45,789","39,465","136,952","136,018","-","-"
"YoY %","-29.48%","-19.39%","-19.60%","135.88%","-491.82%","48.94%","16.02%","-71.18%","0.69%","0.00%","-",""
"Horiz. %","32.21%","45.68%","56.67%","70.48%","-196.45%","50.14%","33.66%","29.01%","100.69%","100.00%","-",""
"Tax","-2,084","-3,414","-3,674","-8,056","-6,881","-6,012","-9,348","-6,795","-15,456","-4,469","-","-"
"YoY %","38.96%","7.08%","54.39%","-17.08%","-14.45%","35.69%","-37.57%","56.04%","-245.85%","0.00%","-",""
"Horiz. %","46.63%","76.39%","82.21%","180.26%","153.97%","134.53%","209.17%","152.05%","345.85%","100.00%","-",""
"NP","41,732","58,720","73,403","87,816","-274,089","62,185","36,441","32,670","121,496","131,549","-","-"
"YoY %","-28.93%","-20.00%","-16.41%","132.04%","-540.76%","70.65%","11.54%","-73.11%","-7.64%","0.00%","-",""
"Horiz. %","31.72%","44.64%","55.80%","66.76%","-208.36%","47.27%","27.70%","24.83%","92.36%","100.00%","-",""
"NP to SH","39,020","52,232","70,089","86,511","-278,883","55,900","37,404","32,636","115,362","119,455","-","-"
"YoY %","-25.29%","-25.48%","-18.98%","131.02%","-598.90%","49.45%","14.61%","-71.71%","-3.43%","0.00%","-",""
"Horiz. %","32.67%","43.73%","58.67%","72.42%","-233.46%","46.80%","31.31%","27.32%","96.57%","100.00%","-",""
"Tax Rate","4.76    %","5.49    %","4.77    %","8.40    %","-     %","8.82    %","20.42    %","17.22    %","11.29    %","3.29    %","-     %","-"
"YoY %","-13.30%","15.09%","-43.21%","0.00%","0.00%","-56.81%","18.58%","52.52%","243.16%","0.00%","-",""
"Horiz. %","144.68%","166.87%","144.98%","255.32%","0.00%","268.09%","620.67%","523.40%","343.16%","100.00%","-",""
"Total Cost","1,517,296","1,645,496","1,632,347","1,742,567","1,856,517","1,726,619","966,368","932,380","899,757","902,153","-","-"
"YoY %","-7.79%","0.81%","-6.33%","-6.14%","7.52%","78.67%","3.65%","3.63%","-0.27%","0.00%","-",""
"Horiz. %","168.19%","182.40%","180.94%","193.16%","205.79%","191.39%","107.12%","103.35%","99.73%","100.00%","-",""
"Net Worth","913,768","913,768","952,818","884,230","866,857","1,122,645","913,803","844,423","781,984","720,907","-","-"
"YoY %","0.00%","-4.10%","7.76%","2.00%","-22.78%","22.85%","8.22%","7.98%","8.47%","0.00%","-",""
"Horiz. %","126.75%","126.75%","132.17%","122.66%","120.25%","155.73%","126.76%","117.13%","108.47%","100.00%","-",""
"Div","-","0","-","-","-","3,871","9,680","7,747","30,969","6,737","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-60.01%","24.95%","-74.99%","359.66%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","57.46%","143.68%","114.98%","459.66%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","6.93    %","25.88    %","23.74    %","26.85    %","5.64    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-73.22%","9.01%","-11.58%","376.06%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","122.87%","458.87%","420.92%","476.06%","100.00%","-",""
"Net Worth","913,768","913,768","952,818","884,230","866,857","1,122,645","913,803","844,423","781,984","720,907","-","-"
"YoY %","0.00%","-4.10%","7.76%","2.00%","-22.78%","22.85%","8.22%","7.98%","8.47%","0.00%","-",""
"Horiz. %","126.75%","126.75%","132.17%","122.66%","120.25%","155.73%","126.76%","117.13%","108.47%","100.00%","-",""
"NOSH","780,999","780,999","780,999","775,641","773,979","774,238","774,409","774,700","774,241","673,745","-","-"
"YoY %","0.00%","0.00%","0.69%","0.21%","-0.03%","-0.02%","-0.04%","0.06%","14.92%","0.00%","-",""
"Horiz. %","115.92%","115.92%","115.92%","115.12%","114.88%","114.92%","114.94%","114.98%","114.92%","100.00%","-",""
"NP Margin","2.68    %","3.45    %","4.30    %","4.80    %","-17.32    %","3.48    %","3.63    %","3.39    %","11.90    %","12.73    %","-     %","-"
"YoY %","-22.32%","-19.77%","-10.42%","127.71%","-597.70%","-4.13%","7.08%","-71.51%","-6.52%","0.00%","-",""
"Horiz. %","21.05%","27.10%","33.78%","37.71%","-136.06%","27.34%","28.52%","26.63%","93.48%","100.00%","-",""
"ROE","4.27    %","5.72    %","7.36    %","9.78    %","-32.17    %","4.98    %","4.09    %","3.86    %","14.75    %","16.57    %","-     %","-"
"YoY %","-25.35%","-22.28%","-24.74%","130.40%","-745.98%","21.76%","5.96%","-73.83%","-10.98%","0.00%","-",""
"Horiz. %","25.77%","34.52%","44.42%","59.02%","-194.15%","30.05%","24.68%","23.30%","89.02%","100.00%","-",""
"RPS","199.62","218.21","218.41","235.98","204.45","231.04","129.49","124.57","131.90","153.43","-","-"
"YoY %","-8.52%","-0.09%","-7.45%","15.42%","-11.51%","78.42%","3.95%","-5.56%","-14.03%","0.00%","-",""
"Horiz. %","130.10%","142.22%","142.35%","153.80%","133.25%","150.58%","84.40%","81.19%","85.97%","100.00%","-",""
"EPS","5.00","6.69","8.97","11.15","-36.04","7.22","4.83","4.22","14.90","17.73","-","-"
"YoY %","-25.26%","-25.42%","-19.55%","130.94%","-599.17%","49.48%","14.45%","-71.68%","-15.96%","0.00%","-",""
"Horiz. %","28.20%","37.73%","50.59%","62.89%","-203.27%","40.72%","27.24%","23.80%","84.04%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.50","1.25","1.00","4.00","1.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-60.00%","25.00%","-75.00%","300.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","50.00%","125.00%","100.00%","400.00%","100.00%","-",""
"NAPS","1.1700","1.1700","1.2200","1.1400","1.1200","1.4500","1.1800","1.0900","1.0100","1.0700","0.4700","12.65%"
"YoY %","0.00%","-4.10%","7.02%","1.79%","-22.76%","22.88%","8.26%","7.92%","-5.61%","127.66%","-",""
"Horiz. %","248.94%","248.94%","259.57%","242.55%","238.30%","308.51%","251.06%","231.91%","214.89%","227.66%","100.00%",""
"RPS","199.62","218.21","218.41","234.36","202.62","229.04","128.40","123.57","130.76","132.36","-","-"
"YoY %","-8.52%","-0.09%","-6.81%","15.66%","-11.54%","78.38%","3.91%","-5.50%","-1.21%","0.00%","-",""
"Horiz. %","150.82%","164.86%","165.01%","177.06%","153.08%","173.04%","97.01%","93.36%","98.79%","100.00%","-",""
