Column1,AQR,T4Q,30/06/18,30/06/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","31,670","46,106","152,397","0","208,020","239,285","302,158","422,602","266,591","181,849","191,925","181,959","-2.06%"
"YoY %","-31.31%","-69.75%","0.00%","0.00%","-13.07%","-20.81%","-28.50%","58.52%","46.60%","-5.25%","5.48%","-",""
"Horiz. %","17.41%","25.34%","83.75%","0.00%","114.32%","131.50%","166.06%","232.25%","146.51%","99.94%","105.48%","100.00%",""
"PBT","2,744","3,394","7,888","0","7,961","3,937","7,328","5,797","5,764","4,123","4,653","-8,405","-"
"YoY %","-19.15%","-56.97%","0.00%","0.00%","102.21%","-46.27%","26.41%","0.57%","39.80%","-11.39%","155.36%","-",""
"Horiz. %","-32.65%","-40.38%","-93.85%","-0.00%","-94.72%","-46.84%","-87.19%","-68.97%","-68.58%","-49.05%","-55.36%","100.00%",""
"Tax","-888","-1,245","-2,471","0","-2,921","-1,569","-1,225","-1,814","-1,696","-1,212","-2,383","-2,030","2.34%"
"YoY %","28.67%","49.62%","0.00%","0.00%","-86.17%","-28.08%","32.47%","-6.96%","-39.93%","49.14%","-17.39%","-",""
"Horiz. %","43.74%","61.33%","121.72%","-0.00%","143.89%","77.29%","60.34%","89.36%","83.55%","59.70%","117.39%","100.00%",""
"NP","1,856","2,149","5,417","0","5,040","2,368","6,103","3,983","4,068","2,911","2,270","-10,435","-"
"YoY %","-13.63%","-60.33%","0.00%","0.00%","112.84%","-61.20%","53.23%","-2.09%","39.75%","28.24%","121.75%","-",""
"Horiz. %","-17.79%","-20.59%","-51.91%","-0.00%","-48.30%","-22.69%","-58.49%","-38.17%","-38.98%","-27.90%","-21.75%","100.00%",""
"NP to SH","658","1,598","5,515","0","4,333","1,874","4,642","4,545","3,802","3,311","2,268","-8,924","-"
"YoY %","-58.82%","-71.02%","0.00%","0.00%","131.22%","-59.63%","2.13%","19.54%","14.83%","45.99%","125.41%","-",""
"Horiz. %","-7.37%","-17.91%","-61.80%","-0.00%","-48.55%","-21.00%","-52.02%","-50.93%","-42.60%","-37.10%","-25.41%","100.00%",""
"Tax Rate","32.36    %","36.68    %","31.33    %","-     %","36.69    %","39.85    %","16.72    %","31.29    %","29.42    %","29.40    %","51.21    %","-     %","-"
"YoY %","-11.78%","17.08%","0.00%","0.00%","-7.93%","138.34%","-46.56%","6.36%","0.07%","-42.59%","0.00%","-",""
"Horiz. %","63.19%","71.63%","61.18%","0.00%","71.65%","77.82%","32.65%","61.10%","57.45%","57.41%","100.00%","-",""
"Total Cost","29,814","43,957","146,980","0","202,980","236,917","296,055","418,619","262,523","178,938","189,655","192,394","-3.12%"
"YoY %","-32.17%","-70.09%","0.00%","0.00%","-14.32%","-19.98%","-29.28%","59.46%","46.71%","-5.65%","-1.42%","-",""
"Horiz. %","15.50%","22.85%","76.40%","0.00%","105.50%","123.14%","153.88%","217.58%","136.45%","93.01%","98.58%","100.00%",""
"Net Worth","195,245","195,245","195,245","187,004","187,004","181,144","174,727","133,164","127,968","124,321","120,127","116,606","6.25%"
"YoY %","0.00%","0.00%","4.41%","0.00%","3.24%","3.67%","31.21%","4.06%","2.93%","3.49%","3.02%","-",""
"Horiz. %","167.44%","167.44%","167.44%","160.37%","160.37%","155.35%","149.84%","114.20%","109.74%","106.62%","103.02%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","195,245","195,245","195,245","187,004","187,004","181,144","174,727","133,164","127,968","124,321","120,127","116,606","6.25%"
"YoY %","0.00%","0.00%","4.41%","0.00%","3.24%","3.67%","31.21%","4.06%","2.93%","3.49%","3.02%","-",""
"Horiz. %","167.44%","167.44%","167.44%","160.37%","160.37%","155.35%","149.84%","114.20%","109.74%","106.62%","103.02%","100.00%",""
"NOSH","348,652","348,652","348,652","316,957","316,957","317,796","317,687","126,822","126,701","126,858","126,449","126,746","12.64%"
"YoY %","0.00%","0.00%","10.00%","0.00%","-0.26%","0.03%","150.50%","0.10%","-0.12%","0.32%","-0.23%","-",""
"Horiz. %","275.08%","275.08%","275.08%","250.07%","250.07%","250.73%","250.65%","100.06%","99.96%","100.09%","99.77%","100.00%",""
"NP Margin","5.86    %","4.66    %","3.55    %","-     %","2.42    %","0.99    %","2.02    %","0.94    %","1.53    %","1.60    %","1.18    %","-5.73    %","-"
"YoY %","25.75%","31.27%","0.00%","0.00%","144.44%","-50.99%","114.89%","-38.56%","-4.38%","35.59%","120.59%","-",""
"Horiz. %","-102.27%","-81.33%","-61.95%","0.00%","-42.23%","-17.28%","-35.25%","-16.40%","-26.70%","-27.92%","-20.59%","100.00%",""
"ROE","0.34    %","0.82    %","2.82    %","-     %","2.32    %","1.03    %","2.66    %","3.41    %","2.97    %","2.66    %","1.89    %","-7.65    %","-"
"YoY %","-58.54%","-70.92%","0.00%","0.00%","125.24%","-61.28%","-21.99%","14.81%","11.65%","40.74%","124.71%","-",""
"Horiz. %","-4.44%","-10.72%","-36.86%","0.00%","-30.33%","-13.46%","-34.77%","-44.58%","-38.82%","-34.77%","-24.71%","100.00%",""
"RPS","9.08","13.22","43.71","-","65.63","75.30","95.11","333.22","210.41","143.35","151.78","143.56","-13.05%"
"YoY %","-31.32%","-69.76%","0.00%","0.00%","-12.84%","-20.83%","-71.46%","58.37%","46.78%","-5.55%","5.73%","-",""
"Horiz. %","6.32%","9.21%","30.45%","0.00%","45.72%","52.45%","66.25%","232.11%","146.57%","99.85%","105.73%","100.00%",""
"EPS","0.18","0.46","1.58","0.00","1.37","0.59","3.09","3.59","3.00","2.61","1.79","-7.04","-"
"YoY %","-60.87%","-70.89%","0.00%","0.00%","132.20%","-80.91%","-13.93%","19.67%","14.94%","45.81%","125.43%","-",""
"Horiz. %","-2.56%","-6.53%","-22.44%","-0.00%","-19.46%","-8.38%","-43.89%","-50.99%","-42.61%","-37.07%","-25.43%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.5600","0.5600","0.5600","0.5900","0.5900","0.5700","0.5500","1.0500","1.0100","0.9800","0.9500","0.9200","-5.67%"
