Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","4,246,018","3,871,228","3,283,174","2,712,822","1,408,556","0","-","-"
"YoY %","9.68%","17.91%","21.02%","92.60%","0.00%","-","-",""
"Horiz. %","301.44%","274.84%","233.09%","192.60%","100.00%","-","-",""
"PBT","536,652","496,693","434,052","361,188","166,604","0","-","-"
"YoY %","8.05%","14.43%","20.17%","116.79%","0.00%","-","-",""
"Horiz. %","322.11%","298.13%","260.53%","216.79%","100.00%","-","-",""
"Tax","-49,590","-60,435","-44,783","-54,676","-15,164","0","-","-"
"YoY %","17.94%","-34.95%","18.09%","-260.56%","0.00%","-","-",""
"Horiz. %","327.02%","398.54%","295.32%","360.56%","100.00%","-","-",""
"NP","487,062","436,258","389,269","306,512","151,440","0","-","-"
"YoY %","11.65%","12.07%","27.00%","102.40%","0.00%","-","-",""
"Horiz. %","321.62%","288.07%","257.05%","202.40%","100.00%","-","-",""
"NP to SH","485,188","435,112","387,904","310,023","151,831","0","-","-"
"YoY %","11.51%","12.17%","25.12%","104.19%","0.00%","-","-",""
"Horiz. %","319.56%","286.58%","255.48%","204.19%","100.00%","-","-",""
"Tax Rate","9.24    %","12.17    %","10.32    %","15.14    %","9.10    %","-     %","-   %","-"
"YoY %","-24.08%","17.93%","-31.84%","66.37%","0.00%","-","-",""
"Horiz. %","101.54%","133.74%","113.41%","166.37%","100.00%","-","-",""
"Total Cost","3,758,956","3,434,970","2,893,905","2,406,310","1,257,116","0","-","-"
"YoY %","9.43%","18.70%","20.26%","91.42%","0.00%","-","-",""
"Horiz. %","299.01%","273.24%","230.20%","191.42%","100.00%","-","-",""
"Net Worth","2,261,489","2,261,489","2,099,954","1,388,399","808,395","-","-","-"
"YoY %","0.00%","7.69%","51.25%","71.75%","0.00%","-","-",""
"Horiz. %","279.75%","279.75%","259.77%","171.75%","100.00%","-","-",""
"Div","146,850","131,430","117,480","90,780","-","-","-","-"
"YoY %","11.73%","11.87%","29.41%","0.00%","0.00%","-","-",""
"Horiz. %","161.76%","144.78%","129.41%","100.00%","-","-","-",""
"Div Payout %","30.27    %","30.21    %","30.29    %","29.28    %","-     %","-     %","-   %","-"
"YoY %","0.20%","-0.26%","3.45%","0.00%","0.00%","-","-",""
"Horiz. %","103.38%","103.18%","103.45%","100.00%","-","-","-",""
"Net Worth","2,261,489","2,261,489","2,099,954","1,388,399","808,395","-","-","-"
"YoY %","0.00%","7.69%","51.25%","71.75%","0.00%","-","-",""
"Horiz. %","279.75%","279.75%","259.77%","171.75%","100.00%","-","-",""
"NOSH","1,468,500","1,468,500","1,468,500","1,335,000","1,063,678","-","-","-"
"YoY %","0.00%","0.00%","10.00%","25.51%","0.00%","-","-",""
"Horiz. %","138.06%","138.06%","138.06%","125.51%","100.00%","-","-",""
"NP Margin","11.47    %","11.27    %","11.86    %","11.30    %","10.75    %","-     %","-   %","-"
"YoY %","1.77%","-4.97%","4.96%","5.12%","0.00%","-","-",""
"Horiz. %","106.70%","104.84%","110.33%","105.12%","100.00%","-","-",""
"ROE","21.45    %","19.24    %","18.47    %","22.33    %","18.78    %","-     %","-   %","-"
"YoY %","11.49%","4.17%","-17.29%","18.90%","0.00%","-","-",""
"Horiz. %","114.22%","102.45%","98.35%","118.90%","100.00%","-","-",""
"RPS","289.14","263.62","223.57","203.21","132.42","-","-","-"
"YoY %","9.68%","17.91%","10.02%","53.46%","0.00%","-","-",""
"Horiz. %","218.35%","199.08%","168.83%","153.46%","100.00%","-","-",""
"EPS","33.04","29.63","26.61","23.87","14.28","0.00","-","-"
"YoY %","11.51%","11.35%","11.48%","67.16%","0.00%","-","-",""
"Horiz. %","231.37%","207.49%","186.34%","167.16%","100.00%","-","-",""
"DPS","10.00","8.95","8.00","6.80","0.00","0.00","-","-"
"YoY %","11.73%","11.87%","17.65%","0.00%","0.00%","-","-",""
