Column1,AQR,T4Q,31/10/18,31/10/17,31/10/16,31/10/15,&nbsp;-&nbsp;,CAGR
"Revenue","512,962","463,704","391,528","326,460","264,031","217,546","-","21.62%"
"YoY %","10.62%","18.43%","19.93%","23.64%","21.37%","-","-",""
"Horiz. %","235.79%","213.15%","179.97%","150.06%","121.37%","100.00%","-",""
"PBT","40,884","36,084","32,222","30,515","23,621","17,702","-","22.08%"
"YoY %","13.30%","11.99%","5.59%","29.19%","33.44%","-","-",""
"Horiz. %","230.96%","203.84%","182.02%","172.38%","133.44%","100.00%","-",""
"Tax","-8,470","-7,028","-6,203","-6,480","-5,488","-4,192","-","13.94%"
"YoY %","-20.52%","-13.30%","4.27%","-18.08%","-30.92%","-","-",""
"Horiz. %","202.05%","167.65%","147.97%","154.58%","130.92%","100.00%","-",""
"NP","32,414","29,056","26,019","24,035","18,133","13,510","-","24.39%"
"YoY %","11.56%","11.67%","8.25%","32.55%","34.22%","-","-",""
"Horiz. %","239.93%","215.07%","192.59%","177.91%","134.22%","100.00%","-",""
"NP to SH","32,378","29,523","26,504","24,035","18,133","13,510","-","25.16%"
"YoY %","9.67%","11.39%","10.27%","32.55%","34.22%","-","-",""
"Horiz. %","239.66%","218.53%","196.18%","177.91%","134.22%","100.00%","-",""
"Tax Rate","20.72    %","19.48    %","19.25    %","21.24    %","23.23    %","23.68    %","-   %","-6.67%"
"YoY %","6.37%","1.19%","-9.37%","-8.57%","-1.90%","-","-",""
"Horiz. %","87.50%","82.26%","81.29%","89.70%","98.10%","100.00%","-",""
"Total Cost","480,548","434,648","365,509","302,425","245,898","204,036","-","21.43%"
"YoY %","10.56%","18.92%","20.86%","22.99%","20.52%","-","-",""
"Horiz. %","235.52%","213.03%","179.14%","148.22%","120.52%","100.00%","-",""
"Net Worth","272,861","272,861","279,683","242,164","135,858","55,049","-","71.83%"
"YoY %","0.00%","-2.44%","15.49%","78.25%","146.80%","-","-",""
"Horiz. %","495.67%","495.67%","508.06%","439.91%","246.80%","100.00%","-",""
"Div","13,643","6,821","-","-","-","504","-","-"
"YoY %","100.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","2,703.65%","1,351.82%","0.00%","0.00%","0.00%","100.00%","-",""
"Div Payout %","42.14    %","23.11    %","-     %","-     %","-     %","3.74    %","-   %","-"
"YoY %","82.35%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","1,126.74%","617.91%","0.00%","0.00%","0.00%","100.00%","-",""
"Net Worth","272,861","272,861","279,683","242,164","135,858","55,049","-","71.83%"
"YoY %","0.00%","-2.44%","15.49%","78.25%","146.80%","-","-",""
"Horiz. %","495.67%","495.67%","508.06%","439.91%","246.80%","100.00%","-",""
"NOSH","682,154","682,154","682,154","341,077","277,262","229,371","-","43.76%"
"YoY %","0.00%","0.00%","100.00%","23.02%","20.88%","-","-",""
"Horiz. %","297.40%","297.40%","297.40%","148.70%","120.88%","100.00%","-",""
"NP Margin","6.32    %","6.27    %","6.65    %","7.36    %","6.87    %","6.21    %","-   %","2.31%"
"YoY %","0.80%","-5.71%","-9.65%","7.13%","10.63%","-","-",""
"Horiz. %","101.77%","100.97%","107.09%","118.52%","110.63%","100.00%","-",""
"ROE","11.87    %","10.82    %","9.48    %","9.93    %","13.35    %","24.54    %","-   %","-27.15%"
"YoY %","9.70%","14.14%","-4.53%","-25.62%","-45.60%","-","-",""
"Horiz. %","48.37%","44.09%","38.63%","40.46%","54.40%","100.00%","-",""
"RPS","75.20","67.98","57.40","95.71","95.23","94.84","-","-15.40%"
"YoY %","10.62%","18.43%","-40.03%","0.50%","0.41%","-","-",""
"Horiz. %","79.29%","71.68%","60.52%","100.92%","100.41%","100.00%","-",""
"EPS","4.74","4.33","3.89","7.74","6.56","5.89","-","-12.90%"
"YoY %","9.47%","11.31%","-49.74%","17.99%","11.38%","-","-",""
"Horiz. %","80.48%","73.51%","66.04%","131.41%","111.38%","100.00%","-",""
"DPS","2.00","1.00","0.00","0.00","0.00","0.22","-","-"
"YoY %","100.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","909.09%","454.55%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.4000","0.4000","0.4100","0.7100","0.4900","0.2400","-","19.52%"
"YoY %","0.00%","-2.44%","-42.25%","44.90%","104.17%","-","-",""
"Horiz. %","166.67%","166.67%","170.83%","295.83%","204.17%","100.00%","-",""
"RPS","75.20","67.98","57.40","47.86","38.71","31.89","-","21.62%"
"YoY %","10.62%","18.43%","19.93%","23.64%","21.39%","-","-",""
"Horiz. %","235.81%","213.17%","179.99%","150.08%","121.39%","100.00%","-",""
"EPS","4.74","4.33","3.89","3.52","2.66","1.98","-","25.22%"
"YoY %","9.47%","11.31%","10.51%","32.33%","34.34%","-","-",""
"Horiz. %","239.39%","218.69%","196.46%","177.78%","134.34%","100.00%","-",""
"DPS","2.00","1.00","0.00","0.00","0.00","0.07","-","-"
"YoY %","100.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","2,857.14%","1,428.57%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.4000","0.4000","0.4100","0.3550","0.1992","0.0807","-","71.83%"
"YoY %","0.00%","-2.44%","15.49%","78.21%","146.84%","-","-",""
"Horiz. %","495.66%","495.66%","508.05%","439.90%","246.84%","100.00%","-",""
"Date","AQR","T4Q","31/10/18","31/10/17","31/10/16","-","-","-"
"Price","1.4200","1.4200","1.4500","2.4200","1.7100","0.0000","-","-"
"P/RPS","1.89","2.09","2.53","2.53","1.80","0.00","-","-"
"YoY %","-9.57%","-17.39%","0.00%","40.56%","0.00%","-","-",""
"Horiz. %","105.00%","116.11%","140.56%","140.56%","100.00%","-","-",""
"P/EPS","29.92","32.81","37.32","34.34","26.15","0.00","-","-"
"YoY %","-8.81%","-12.08%","8.68%","31.32%","0.00%","-","-",""
"Horiz. %","114.42%","125.47%","142.72%","131.32%","100.00%","-","-",""
"EY","3.34","3.05","2.68","2.91","3.82","0.00","-","-"
"YoY %","9.51%","13.81%","-7.90%","-23.82%","0.00%","-","-",""
"Horiz. %","87.43%","79.84%","70.16%","76.18%","100.00%","-","-",""
"DY","1.41","0.70","0.00","0.00","0.00","0.00","-","-"
"YoY %","101.43%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","201.43%","100.00%","-","-","-","-","-",""
"P/NAPS","3.55","3.55","3.54","3.41","3.49","0.00","-","-"
"YoY %","0.00%","0.28%","3.81%","-2.29%","0.00%","-","-",""
"Horiz. %","101.72%","101.72%","101.43%","97.71%","100.00%","-","-",""
"Date","AQR","T4Q","14/12/18","15/12/17","21/12/16","-","-","-"
"Price","1.3700","1.3700","1.4500","2.9600","1.7000","0.0000","-","-"
"P/RPS","1.82","2.02","2.53","3.09","1.79","0.00","-","-"
"YoY %","-9.90%","-20.16%","-18.12%","72.63%","0.00%","-","-",""
"Horiz. %","101.68%","112.85%","141.34%","172.63%","100.00%","-","-",""
"P/EPS","28.86","31.66","37.32","42.00","25.99","0.00","-","-"
"YoY %","-8.84%","-15.17%","-11.14%","61.60%","0.00%","-","-",""
"Horiz. %","111.04%","121.82%","143.59%","161.60%","100.00%","-","-",""
