Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,30/06/09,CAGR
"Revenue","159,166","163,797","156,612","125,430","104,750","113,919","96,423","91,165","98,263","111,216","79,792","56,097","12.08%"
"YoY %","-2.83%","4.59%","24.86%","19.74%","-8.05%","18.15%","5.77%","-7.22%","-11.65%","39.38%","42.24%","-",""
"Horiz. %","283.73%","291.99%","279.18%","223.59%","186.73%","203.08%","171.89%","162.51%","175.17%","198.26%","142.24%","100.00%",""
"PBT","24,197","25,594","18,859","7,627","7,580","14,185","13,063","1,736","3,923","12,883","5,521","1,717","30.49%"
"YoY %","-5.46%","35.71%","147.27%","0.62%","-46.56%","8.59%","652.48%","-55.75%","-69.55%","133.35%","221.55%","-",""
"Horiz. %","1,409.28%","1,490.62%","1,098.37%","444.20%","441.47%","826.15%","760.80%","101.11%","228.48%","750.32%","321.55%","100.00%",""
"Tax","-5,673","-6,140","-5,466","-2,765","-2,603","-3,157","-1,200","-1,191","-2,629","-3,101","-1,414","-559","28.81%"
"YoY %","7.60%","-12.33%","-97.69%","-6.22%","17.55%","-163.08%","-0.76%","54.70%","15.22%","-119.31%","-152.95%","-",""
"Horiz. %","1,014.91%","1,098.39%","977.82%","494.63%","465.65%","564.76%","214.67%","213.06%","470.30%","554.74%","252.95%","100.00%",""
"NP","18,524","19,454","13,393","4,862","4,977","11,028","11,863","545","1,294","9,782","4,107","1,158","31.24%"
"YoY %","-4.78%","45.25%","175.46%","-2.31%","-54.87%","-7.04%","2,076.70%","-57.88%","-86.77%","138.18%","254.66%","-",""
"Horiz. %","1,599.65%","1,679.97%","1,156.56%","419.86%","429.79%","952.33%","1,024.44%","47.06%","111.74%","844.73%","354.66%","100.00%",""
"NP to SH","18,380","19,272","13,184","4,739","4,458","10,636","11,681","-549","-1,291","6,553","1,411","1,663","25.85%"
"YoY %","-4.63%","46.18%","178.20%","6.30%","-58.09%","-8.95%","2,227.69%","57.47%","-119.70%","364.42%","-15.15%","-",""
"Horiz. %","1,105.23%","1,158.87%","792.78%","284.97%","268.07%","639.57%","702.41%","-33.01%","-77.63%","394.05%","84.85%","100.00%",""
"Tax Rate","23.45    %","23.99    %","28.98    %","36.25    %","34.34    %","22.26    %","9.19    %","68.61    %","67.02    %","24.07    %","25.61    %","32.56    %","-1.29%"
"YoY %","-2.25%","-17.22%","-20.06%","5.56%","54.27%","142.22%","-86.61%","2.37%","178.44%","-6.01%","-21.35%","-",""
"Horiz. %","72.02%","73.68%","89.00%","111.33%","105.47%","68.37%","28.22%","210.72%","205.84%","73.93%","78.65%","100.00%",""
"Total Cost","140,642","144,343","143,219","120,568","99,773","102,891","84,560","90,620","96,969","101,434","75,685","54,939","11.23%"
"YoY %","-2.56%","0.78%","18.79%","20.84%","-3.03%","21.68%","-6.69%","-6.55%","-4.40%","34.02%","37.76%","-",""
"Horiz. %","256.00%","262.73%","260.69%","219.46%","181.61%","187.28%","153.92%","164.95%","176.50%","184.63%","137.76%","100.00%",""
"Net Worth","172,555","172,555","158,186","145,829","140,478","136,753","129,297","117,853","109,216","111,838","105,821","106,546","4.49%"
"YoY %","0.00%","9.08%","8.47%","3.81%","2.72%","5.77%","9.71%","7.91%","-2.34%","5.69%","-0.68%","-",""
"Horiz. %","161.95%","161.95%","148.47%","136.87%","131.85%","128.35%","121.35%","110.61%","102.51%","104.97%","99.32%","100.00%",""
"Div","-","0","-","-","-","2,020","2,020","-","-","1,347","1,011","1,348","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.04%","0.00%","0.00%","0.00%","33.27%","-25.04%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","149.85%","149.79%","0.00%","0.00%","99.91%","74.96%","100.00%",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","19.00    %","17.30    %","-     %","-     %","20.56    %","71.65    %","81.10    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","9.83%","0.00%","0.00%","0.00%","-71.30%","-11.65%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","23.43%","21.33%","0.00%","0.00%","25.35%","88.35%","100.00%",""
"Net Worth","172,555","172,555","158,186","145,829","140,478","136,753","129,297","117,853","109,216","111,838","105,821","106,546","4.49%"
"YoY %","0.00%","9.08%","8.47%","3.81%","2.72%","5.77%","9.71%","7.91%","-2.34%","5.69%","-0.68%","-",""
"Horiz. %","161.95%","161.95%","148.47%","136.87%","131.85%","128.35%","121.35%","110.61%","102.51%","104.97%","99.32%","100.00%",""
"NOSH","102,104","102,104","102,056","101,979","67,863","67,366","67,342","66,962","67,417","67,372","67,401","67,434","4.71%"
"YoY %","0.00%","0.05%","0.08%","50.27%","0.74%","0.04%","0.57%","-0.68%","0.07%","-0.04%","-0.05%","-",""
