Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"Revenue","517,720","546,513","584,009","760,097","707,875","615,195","717,321","770,280","-5.38%"
"YoY %","-5.27%","-6.42%","-23.17%","7.38%","15.07%","-14.24%","-6.88%","-",""
"Horiz. %","67.21%","70.95%","75.82%","98.68%","91.90%","79.87%","93.12%","100.00%",""
"PBT","140,178","37,524","-50,973","732,670","276,081","95,100","89,783","359,258","-"
"YoY %","273.57%","173.62%","-106.96%","165.38%","190.31%","5.92%","-75.01%","-",""
"Horiz. %","39.02%","10.44%","-14.19%","203.94%","76.85%","26.47%","24.99%","100.00%",""
"Tax","-28,974","-21,739","-12,936","-70,706","-59,724","-22,841","-37,365","-27,905","-14.24%"
"YoY %","-33.28%","-68.05%","81.70%","-18.39%","-161.48%","38.87%","-33.90%","-",""
"Horiz. %","103.83%","77.90%","46.36%","253.38%","214.03%","81.85%","133.90%","100.00%",""
"NP","111,204","15,785","-63,909","661,964","216,357","72,259","52,418","331,353","-"
"YoY %","604.49%","124.70%","-109.65%","205.96%","199.42%","37.85%","-84.18%","-",""
"Horiz. %","33.56%","4.76%","-19.29%","199.78%","65.30%","21.81%","15.82%","100.00%",""
"NP to SH","126,058","28,228","-51,781","665,238","227,791","78,610","57,158","333,164","-"
"YoY %","346.57%","154.51%","-107.78%","192.04%","189.77%","37.53%","-82.84%","-",""
"Horiz. %","37.84%","8.47%","-15.54%","199.67%","68.37%","23.59%","17.16%","100.00%",""
"Tax Rate","20.67    %","57.93    %","-     %","9.65    %","21.63    %","24.02    %","41.62    %","7.77    %","-"
"YoY %","-64.32%","0.00%","0.00%","-55.39%","-9.95%","-42.29%","435.65%","-",""
"Horiz. %","266.02%","745.56%","0.00%","124.20%","278.38%","309.14%","535.65%","100.00%",""
"Total Cost","406,516","530,728","647,918","98,133","491,518","542,936","664,903","438,927","8.10%"
"YoY %","-23.40%","-18.09%","560.24%","-80.03%","-9.47%","-18.34%","51.48%","-",""
"Horiz. %","92.62%","120.91%","147.61%","22.36%","111.98%","123.70%","151.48%","100.00%",""
"Net Worth","2,755,200","2,755,200","2,710,400","2,544,000","2,191,528","2,176,000","2,294,879","11,386,027","-24.94%"
"YoY %","0.00%","1.65%","6.54%","16.08%","0.71%","-5.18%","-79.84%","-",""
"Horiz. %","24.20%","24.20%","23.80%","22.34%","19.25%","19.11%","20.16%","100.00%",""
"Div","44,800","67,200","156,800","312,000","231,950","208,000","96,000","737,326","-26.61%"
"YoY %","-33.33%","-57.14%","-49.74%","34.51%","11.51%","116.67%","-86.98%","-",""
"Horiz. %","6.08%","9.11%","21.27%","42.32%","31.46%","28.21%","13.02%","100.00%",""
"Div Payout %","35.54    %","238.06    %","-     %","46.90    %","101.83    %","264.60    %","167.96    %","221.31    %","-"
"YoY %","-85.07%","0.00%","0.00%","-53.94%","-61.52%","57.54%","-24.11%","-",""
"Horiz. %","16.06%","107.57%","0.00%","21.19%","46.01%","119.56%","75.89%","100.00%",""
"Net Worth","2,755,200","2,755,200","2,710,400","2,544,000","2,191,528","2,176,000","2,294,879","11,386,027","-24.94%"
"YoY %","0.00%","1.65%","6.54%","16.08%","0.71%","-5.18%","-79.84%","-",""
"Horiz. %","24.20%","24.20%","23.80%","22.34%","19.25%","19.11%","20.16%","100.00%",""
"NOSH","2,240,000","2,240,000","2,240,000","1,600,000","1,600,000","1,600,000","1,600,000","1,020,097","17.03%"
"YoY %","0.00%","0.00%","40.00%","0.00%","0.00%","0.00%","56.85%","-",""
"Horiz. %","219.59%","219.59%","219.59%","156.85%","156.85%","156.85%","156.85%","100.00%",""
"NP Margin","21.48    %","2.89    %","-10.94    %","87.09    %","30.56    %","11.75    %","7.31    %","43.02    %","-"
"YoY %","643.25%","126.42%","-112.56%","184.98%","160.09%","60.74%","-83.01%","-",""
"Horiz. %","49.93%","6.72%","-25.43%","202.44%","71.04%","27.31%","16.99%","100.00%",""
"ROE","4.58    %","1.02    %","-1.91    %","26.15    %","10.39    %","3.61    %","2.49    %","2.93    %","-"
"YoY %","349.02%","153.40%","-107.30%","151.68%","187.81%","44.98%","-15.02%","-",""
"Horiz. %","156.31%","34.81%","-65.19%","892.49%","354.61%","123.21%","84.98%","100.00%",""
"RPS","23.11","24.40","26.07","47.51","44.25","38.45","44.83","75.51","-19.15%"
"YoY %","-5.29%","-6.41%","-45.13%","7.37%","15.08%","-14.23%","-40.63%","-",""
"Horiz. %","30.61%","32.31%","34.53%","62.92%","58.60%","50.92%","59.37%","100.00%",""
"EPS","5.62","1.26","-2.31","41.58","14.24","4.91","4.33","32.66","-"
"YoY %","346.03%","154.55%","-105.56%","191.99%","190.02%","13.39%","-86.74%","-",""
"Horiz. %","17.21%","3.86%","-7.07%","127.31%","43.60%","15.03%","13.26%","100.00%",""
"DPS","2.00","3.00","7.00","19.50","14.50","13.00","6.00","72.28","-37.29%"
"YoY %","-33.33%","-57.14%","-64.10%","34.48%","11.54%","116.67%","-91.70%","-",""
"Horiz. %","2.77%","4.15%","9.68%","26.98%","20.06%","17.99%","8.30%","100.00%",""
"NAPS","1.2300","1.2300","1.2100","1.5900","1.3700","1.3600","1.4343","11.1617","-35.86%"
"YoY %","0.00%","1.65%","-23.90%","16.06%","0.74%","-5.18%","-87.15%","-",""
"Horiz. %","11.02%","11.02%","10.84%","14.25%","12.27%","12.18%","12.85%","100.00%",""
"RPS","23.11","24.40","26.07","33.93","31.60","27.46","32.02","34.39","-5.39%"
"YoY %","-5.29%","-6.41%","-23.17%","7.37%","15.08%","-14.24%","-6.89%","-",""
"Horiz. %","67.20%","70.95%","75.81%","98.66%","91.89%","79.85%","93.11%","100.00%",""
"EPS","5.62","1.26","-2.31","29.70","10.17","3.51","2.55","14.87","-"
"YoY %","346.03%","154.55%","-107.78%","192.04%","189.74%","37.65%","-82.85%","-",""
"Horiz. %","37.79%","8.47%","-15.53%","199.73%","68.39%","23.60%","17.15%","100.00%",""
"DPS","2.00","3.00","7.00","13.93","10.35","9.29","4.29","32.92","-26.62%"
"YoY %","-33.33%","-57.14%","-49.75%","34.59%","11.41%","116.55%","-86.97%","-",""
"Horiz. %","6.08%","9.11%","21.26%","42.31%","31.44%","28.22%","13.03%","100.00%",""
"NAPS","1.2300","1.2300","1.2100","1.1357","0.9784","0.9714","1.0245","5.0830","-24.94%"
"YoY %","0.00%","1.65%","6.54%","16.08%","0.72%","-5.18%","-79.84%","-",""
"Horiz. %","24.20%","24.20%","23.80%","22.34%","19.25%","19.11%","20.16%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","-","-"
"Price","0.7350","0.7350","0.7500","1.6500","1.6600","1.4900","1.4500","0.0000","-"
"P/RPS","3.18","3.01","2.88","3.47","3.75","3.88","3.23","0.00","-"
"YoY %","5.65%","4.51%","-17.00%","-7.47%","-3.35%","20.12%","0.00%","-",""
"Horiz. %","98.45%","93.19%","89.16%","107.43%","116.10%","120.12%","100.00%","-",""
"P/EPS","13.06","58.33","-32.44","3.97","11.66","30.33","40.59","0.00","-"
"YoY %","-77.61%","279.81%","-917.13%","-65.95%","-61.56%","-25.28%","0.00%","-",""
"Horiz. %","32.18%","143.71%","-79.92%","9.78%","28.73%","74.72%","100.00%","-",""
"EY","7.66","1.71","-3.08","25.20","8.58","3.30","2.46","0.00","-"
"YoY %","347.95%","155.52%","-112.22%","193.71%","160.00%","34.15%","0.00%","-",""
"Horiz. %","311.38%","69.51%","-125.20%","1,024.39%","348.78%","134.15%","100.00%","-",""
"DY","2.72","4.08","9.33","11.82","8.73","8.72","4.14","0.00","-"
"YoY %","-33.33%","-56.27%","-21.07%","35.40%","0.11%","110.63%","0.00%","-",""
"Horiz. %","65.70%","98.55%","225.36%","285.51%","210.87%","210.63%","100.00%","-",""
"P/NAPS","0.60","0.60","0.62","1.04","1.21","1.10","1.01","0.00","-"
"YoY %","0.00%","-3.23%","-40.38%","-14.05%","10.00%","8.91%","0.00%","-",""
"Horiz. %","59.41%","59.41%","61.39%","102.97%","119.80%","108.91%","100.00%","-",""
"Date","AQR","T4Q","25/02/19","27/02/18","15/02/17","19/02/16","25/02/15","-","-"
"Price","0.6700","0.6700","0.9700","1.6900","1.7300","1.5400","1.4500","0.0000","-"
"P/RPS","2.90","2.75","3.72","3.56","3.91","4.01","3.23","0.00","-"
"YoY %","5.45%","-26.08%","4.49%","-8.95%","-2.49%","24.15%","0.00%","-",""
"Horiz. %","89.78%","85.14%","115.17%","110.22%","121.05%","124.15%","100.00%","-",""
"P/EPS","11.91","53.17","-41.96","4.06","12.15","31.34","40.59","0.00","-"
"YoY %","-77.60%","226.72%","-1,133.50%","-66.58%","-61.23%","-22.79%","0.00%","-",""
"Horiz. %","29.34%","130.99%","-103.38%","10.00%","29.93%","77.21%","100.00%","-",""
"EY","8.40","1.88","-2.38","24.60","8.23","3.19","2.46","0.00","-"
"YoY %","346.81%","178.99%","-109.67%","198.91%","157.99%","29.67%","0.00%","-",""
"Horiz. %","341.46%","76.42%","-96.75%","1,000.00%","334.55%","129.67%","100.00%","-",""
"DY","2.99","4.48","7.22","11.54","8.38","8.44","4.14","0.00","-"
"YoY %","-33.26%","-37.95%","-37.44%","37.71%","-0.71%","103.86%","0.00%","-",""
"Horiz. %","72.22%","108.21%","174.40%","278.74%","202.42%","203.86%","100.00%","-",""
"P/NAPS","0.54","0.54","0.80","1.06","1.26","1.13","1.01","0.00","-"
"YoY %","0.00%","-32.50%","-24.53%","-15.87%","11.50%","11.88%","0.00%","-",""
"Horiz. %","53.47%","53.47%","79.21%","104.95%","124.75%","111.88%","100.00%","-",""

