Column1,AQR,T4Q,31/08/17,31/08/16,31/08/15,31/08/14,31/08/13,31/08/12,31/08/11,31/08/10,31/08/09,31/08/08,CAGR
"Revenue","3,996,173","3,899,545","3,409,176","2,888,515","2,510,510","2,275,366","2,313,234","2,314,454","2,053,916","2,079,432","1,529,077","1,377,931","10.58%"
"YoY %","2.48%","14.38%","18.03%","15.06%","10.33%","-1.64%","-0.05%","12.68%","-1.23%","35.99%","10.97%","-",""
"Horiz. %","290.01%","283.00%","247.41%","209.63%","182.19%","165.13%","167.88%","167.97%","149.06%","150.91%","110.97%","100.00%",""
"PBT","507,630","479,840","383,105","442,202","363,538","216,310","242,204","240,702","145,470","304,961","221,992","134,627","12.31%"
"YoY %","5.79%","25.25%","-13.36%","21.64%","68.06%","-10.69%","0.62%","65.47%","-52.30%","37.37%","64.89%","-",""
"Horiz. %","377.06%","356.42%","284.57%","328.46%","270.03%","160.67%","179.91%","178.79%","108.05%","226.52%","164.89%","100.00%",""
"Tax","-60,536","-46,335","-50,536","-79,763","-82,346","-32,745","-39,375","-33,417","-30,338","-54,550","-53,922","-26,524","7.42%"
"YoY %","-30.65%","8.31%","36.64%","3.14%","-151.48%","16.84%","-17.83%","-10.15%","44.38%","-1.16%","-103.30%","-",""
"Horiz. %","228.23%","174.69%","190.53%","300.72%","310.46%","123.45%","148.45%","125.99%","114.38%","205.66%","203.30%","100.00%",""
"NP","447,094","433,505","332,569","362,439","281,192","183,565","202,829","207,285","115,132","250,411","168,070","108,103","13.29%"
"YoY %","3.13%","30.35%","-8.24%","28.89%","53.18%","-9.50%","-2.15%","80.04%","-54.02%","48.99%","55.47%","-",""
"Horiz. %","413.58%","401.01%","307.64%","335.27%","260.11%","169.81%","187.63%","191.75%","106.50%","231.64%","155.47%","100.00%",""
"NP to SH","442,701","430,648","332,704","360,729","279,781","180,523","196,500","202,726","113,091","245,231","169,133","110,065","13.07%"
"YoY %","2.80%","29.44%","-7.77%","28.93%","54.98%","-8.13%","-3.07%","79.26%","-53.88%","44.99%","53.67%","-",""
"Horiz. %","402.22%","391.27%","302.28%","327.74%","254.20%","164.01%","178.53%","184.19%","102.75%","222.81%","153.67%","100.00%",""
"Tax Rate","11.93    %","9.66    %","13.19    %","18.04    %","22.65    %","15.14    %","16.26    %","13.88    %","20.86    %","17.89    %","24.29    %","19.70    %","-4.36%"
"YoY %","23.50%","-26.76%","-26.88%","-20.35%","49.60%","-6.89%","17.15%","-33.46%","16.60%","-26.35%","23.30%","-",""
"Horiz. %","60.56%","49.04%","66.95%","91.57%","114.97%","76.85%","82.54%","70.46%","105.89%","90.81%","123.30%","100.00%",""
"Total Cost","3,549,078","3,466,040","3,076,607","2,526,076","2,229,318","2,091,801","2,110,405","2,107,169","1,938,784","1,829,021","1,361,007","1,269,828","10.33%"
