Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","568,162","623,666","573,190","586,451","321,053","839,526","1,014,903","736,677","0","-"
"YoY %","-8.90%","8.81%","-2.26%","82.66%","-61.76%","-17.28%","37.77%","0.00%","-",""
"Horiz. %","77.12%","84.66%","77.81%","79.61%","43.58%","113.96%","137.77%","100.00%","-",""
"PBT","-15,852","-4,956","-16,749","-1,133,147","-1,181,264","-349,395","284,156","205,382","0","-"
"YoY %","-219.85%","70.41%","98.52%","4.07%","-238.09%","-222.96%","38.35%","0.00%","-",""
"Horiz. %","-7.72%","-2.41%","-8.16%","-551.73%","-575.15%","-170.12%","138.35%","100.00%","-",""
"Tax","-5,072","-4,368","-2,019","-1,260","-2,183","-22,069","-30,398","-15,217","0","-"
"YoY %","-16.12%","-116.34%","-60.24%","42.28%","90.11%","27.40%","-99.76%","0.00%","-",""
"Horiz. %","33.33%","28.70%","13.27%","8.28%","14.35%","145.03%","199.76%","100.00%","-",""
"NP","-20,924","-9,324","-18,768","-1,134,407","-1,183,447","-371,464","253,758","190,165","0","-"
"YoY %","-124.41%","50.32%","98.35%","4.14%","-218.59%","-246.39%","33.44%","0.00%","-",""
"Horiz. %","-11.00%","-4.90%","-9.87%","-596.54%","-622.33%","-195.34%","133.44%","100.00%","-",""
"NP to SH","-20,612","-9,127","-17,886","-1,132,174","-1,177,379","-372,306","251,996","188,531","0","-"
"YoY %","-125.84%","48.97%","98.42%","3.84%","-216.24%","-247.74%","33.66%","0.00%","-",""
"Horiz. %","-10.93%","-4.84%","-9.49%","-600.52%","-624.50%","-197.48%","133.66%","100.00%","-",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","10.70    %","7.41    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","44.40%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","144.40%","100.00%","-",""
"Total Cost","589,086","632,990","591,958","1,720,858","1,504,500","1,210,990","761,145","546,512","0","-"
"YoY %","-6.94%","6.93%","-65.60%","14.38%","24.24%","59.10%","39.27%","0.00%","-",""
"Horiz. %","107.79%","115.82%","108.32%","314.88%","275.29%","221.59%","139.27%","100.00%","-",""
"Net Worth","2,780,980","2,780,980","2,766,636","1,182,046","2,257,792","3,360,915","3,200,812","2,162,405","-","-"
"YoY %","0.00%","0.52%","134.05%","-47.65%","-32.82%","5.00%","48.02%","0.00%","-",""
"Horiz. %","128.61%","128.61%","127.94%","54.66%","104.41%","155.42%","148.02%","100.00%","-",""
"Div","-","0","-","-","-","-","21,627","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","8.58    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Net Worth","2,780,980","2,780,980","2,766,636","1,182,046","2,257,792","3,360,915","3,200,812","2,162,405","-","-"
"YoY %","0.00%","0.52%","134.05%","-47.65%","-32.82%","5.00%","48.02%","0.00%","-",""
"Horiz. %","128.61%","128.61%","127.94%","54.66%","104.41%","155.42%","148.02%","100.00%","-",""
"NOSH","8,215,600","8,215,600","8,125,218","3,063,089","2,161,807","2,162,055","2,162,710","1,652,331","-","-"
"YoY %","0.00%","1.11%","165.26%","41.69%","-0.01%","-0.03%","30.89%","0.00%","-",""
"Horiz. %","497.21%","497.21%","491.74%","185.38%","130.83%","130.85%","130.89%","100.00%","-",""
"NP Margin","-3.68    %","-1.50    %","-3.27    %","-193.44    %","-368.61    %","-44.25    %","25.00    %","25.81    %","-     %","-"
"YoY %","-145.33%","54.13%","98.31%","47.52%","-733.02%","-277.00%","-3.14%","0.00%","-",""
"Horiz. %","-14.26%","-5.81%","-12.67%","-749.48%","-1,428.17%","-171.45%","96.86%","100.00%","-",""
"ROE","-0.74    %","-0.33    %","-0.65    %","-95.78    %","-52.15    %","-11.08    %","7.87    %","8.72    %","-     %","-"
"YoY %","-124.24%","49.23%","99.32%","-83.66%","-370.67%","-240.79%","-9.75%","0.00%","-",""
"Horiz. %","-8.49%","-3.78%","-7.45%","-1,098.39%","-598.05%","-127.06%","90.25%","100.00%","-",""
"RPS","6.92","7.59","7.05","19.15","14.85","38.83","46.93","44.58","-","-"
"YoY %","-8.83%","7.66%","-63.19%","28.96%","-61.76%","-17.26%","5.27%","0.00%","-",""
"Horiz. %","15.52%","17.03%","15.81%","42.96%","33.31%","87.10%","105.27%","100.00%","-",""
"EPS","-0.26","-0.11","-0.22","-36.96","-54.46","-17.22","11.66","11.41","0.00","-"
"YoY %","-136.36%","50.00%","99.40%","32.13%","-216.26%","-247.68%","2.19%","0.00%","-",""
"Horiz. %","-2.28%","-0.96%","-1.93%","-323.93%","-477.30%","-150.92%","102.19%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"NAPS","0.3385","0.3385","0.3405","0.3859","1.0444","1.5545","1.4800","1.3087","0.0000","-"
"YoY %","0.00%","-0.59%","-11.76%","-63.05%","-32.81%","5.03%","13.09%","0.00%","-",""
"Horiz. %","25.87%","25.87%","26.02%","29.49%","79.80%","118.78%","113.09%","100.00%","-",""
"RPS","6.92","7.59","6.98","7.14","3.91","10.22","12.35","8.97","-","-"
"YoY %","-8.83%","8.74%","-2.24%","82.61%","-61.74%","-17.25%","37.68%","0.00%","-",""
"Horiz. %","77.15%","84.62%","77.81%","79.60%","43.59%","113.94%","137.68%","100.00%","-",""
"EPS","-0.26","-0.11","-0.22","-13.78","-14.33","-4.53","3.07","2.29","0.00","-"
"YoY %","-136.36%","50.00%","98.40%","3.84%","-216.34%","-247.56%","34.06%","0.00%","-",""
"Horiz. %","-11.35%","-4.80%","-9.61%","-601.75%","-625.76%","-197.82%","134.06%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.26","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"NAPS","0.3385","0.3385","0.3368","0.1439","0.2748","0.4091","0.3896","0.2632","0.0000","-"
"YoY %","0.00%","0.50%","134.05%","-47.63%","-32.83%","5.01%","48.02%","0.00%","-",""
"Horiz. %","128.61%","128.61%","127.96%","54.67%","104.41%","155.43%","148.02%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-"
"Price","0.3000","0.3000","0.1800","0.3050","0.8750","1.0700","2.3500","4.0100","0.0000","-"
"P/RPS","4.34","3.95","2.55","1.59","5.89","2.76","5.01","8.99","0.00","-"
"YoY %","9.87%","54.90%","60.38%","-73.01%","113.41%","-44.91%","-44.27%","0.00%","-",""
"Horiz. %","48.28%","43.94%","28.36%","17.69%","65.52%","30.70%","55.73%","100.00%","-",""
"P/EPS","-119.58","-270.04","-81.77","-0.83","-1.61","-6.21","20.17","35.14","0.00","-"
"YoY %","55.72%","-230.24%","-9,751.81%","48.45%","74.07%","-130.79%","-42.60%","0.00%","-",""
"Horiz. %","-340.30%","-768.47%","-232.70%","-2.36%","-4.58%","-17.67%","57.40%","100.00%","-",""
"EY","-0.84","-0.37","-1.22","-121.19","-62.24","-16.09","4.96","2.85","0.00","-"
"YoY %","-127.03%","69.67%","98.99%","-94.71%","-286.82%","-424.40%","74.04%","0.00%","-",""
"Horiz. %","-29.47%","-12.98%","-42.81%","-4,252.28%","-2,183.86%","-564.56%","174.04%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.43","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","0.89","0.89","0.53","0.79","0.84","0.69","1.59","3.06","0.00","-"
"YoY %","0.00%","67.92%","-32.91%","-5.95%","21.74%","-56.60%","-48.04%","0.00%","-",""
