Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"31/05/2019","1.07","1.10","+0.03 (2.80%)","HOLD","KENANGA"
"30/05/2019","1.03","1.30","+0.27 (26.21%)","BUY","PUBLIC BANK"
"30/05/2019","1.03","1.10","+0.07 (6.80%)","BUY","KENANGA"
"30/05/2019","1.03","1.05","+0.02 (1.94%)","HOLD","AffinHwang"
"01/03/2019","1.05","1.10","+0.05 (4.76%)","HOLD","KENANGA"
"01/03/2019","1.05","1.06","+0.01 (0.95%)","HOLD","AmInvest"
"28/02/2019","1.12","1.10","-0.02 (1.79%)","HOLD","KENANGA"
"28/02/2019","1.12","1.06","-0.06 (5.36%)","HOLD","AmInvest"
"28/02/2019","1.12","1.04","-0.08 (7.14%)","SELL","Affin Hwang Capital"

