Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"27/08/2019","0.74","0.96","+0.22 (29.73%)","BUY","MIDF"
"27/08/2019","0.74","1.20","+0.46 (62.16%)","BUY","MACQUARIE GROUP"
"27/08/2019","0.74","0.70","-0.04 (5.41%)","SELL","KENANGA"
"27/08/2019","0.74","0.80","+0.06 (8.11%)","HOLD","HLG"
"27/08/2019","0.74","0.65","-0.09 (12.16%)","SELL","AmInvest"
"26/08/2019","0.75","0.74","-0.01 (1.33%)","HOLD","AffinHwang"
"06/08/2019","0.835","1.20","+0.365 (43.71%)","BUY","MACQUARIE GROUP"
"05/08/2019","0.885","1.02","+0.135 (15.25%)","BUY","MIDF"
"05/07/2019","0.97","0.77","-0.20 (20.62%)","SELL","AmInvest"
"06/06/2019","0.93","0.86","-0.07 (7.53%)","HOLD","HLG"

