Column1,AQR,T4Q,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,30/06/09,30/06/08,CAGR
"Revenue","47,897","49,156","50,401","48,114","38,985","30,386","28,068","25,826","23,544","20,230","15,259","16,727","13.03%"
"YoY %","-2.56%","-2.47%","4.75%","23.42%","28.30%","8.26%","8.68%","9.69%","16.38%","32.58%","-8.78%","-",""
"Horiz. %","286.35%","293.87%","301.32%","287.64%","233.07%","181.66%","167.80%","154.40%","140.75%","120.94%","91.22%","100.00%",""
"PBT","10,276","10,594","13,418","13,020","10,139","6,613","5,909","6,424","4,685","4,941","4,271","4,653","12.48%"
"YoY %","-3.00%","-21.05%","3.06%","28.42%","53.32%","11.91%","-8.02%","37.12%","-5.18%","15.69%","-8.21%","-",""
"Horiz. %","220.85%","227.68%","288.37%","279.82%","217.90%","142.12%","126.99%","138.06%","100.69%","106.19%","91.79%","100.00%",""
"Tax","-2,854","-2,356","-2,359","-2,523","-1,756","-995","-1,270","-1,606","-1,287","-1,237","-1,085","-1,336","6.52%"
"YoY %","-21.17%","0.13%","6.50%","-43.68%","-76.48%","21.65%","20.92%","-24.79%","-4.04%","-14.01%","18.79%","-",""
"Horiz. %","213.67%","176.35%","176.57%","188.85%","131.44%","74.48%","95.06%","120.21%","96.33%","92.59%","81.21%","100.00%",""
"NP","7,421","8,238","11,059","10,497","8,383","5,618","4,639","4,818","3,398","3,704","3,186","3,317","14.31%"
"YoY %","-9.91%","-25.51%","5.35%","25.22%","49.22%","21.10%","-3.72%","41.79%","-8.26%","16.26%","-3.95%","-",""
"Horiz. %","223.74%","248.36%","333.40%","316.46%","252.73%","169.37%","139.86%","145.25%","102.44%","111.67%","96.05%","100.00%",""
"NP to SH","7,310","8,119","10,890","10,342","8,257","5,584","4,631","4,808","3,398","3,704","3,186","3,317","14.11%"
"YoY %","-9.96%","-25.45%","5.30%","25.25%","47.87%","20.58%","-3.68%","41.49%","-8.26%","16.26%","-3.95%","-",""
"Horiz. %","220.40%","244.77%","328.31%","311.79%","248.93%","168.34%","139.61%","144.95%","102.44%","111.67%","96.05%","100.00%",""
"Tax Rate","27.78    %","22.24    %","17.58    %","19.38    %","17.32    %","15.05    %","21.49    %","25.00    %","27.47    %","25.04    %","25.40    %","28.71    %","-5.30%"
"YoY %","24.91%","26.51%","-9.29%","11.89%","15.08%","-29.97%","-14.04%","-8.99%","9.70%","-1.42%","-11.53%","-",""
"Horiz. %","96.76%","77.46%","61.23%","67.50%","60.33%","52.42%","74.85%","87.08%","95.68%","87.22%","88.47%","100.00%",""
"Total Cost","40,476","40,918","39,342","37,617","30,602","24,768","23,429","21,008","20,146","16,526","12,073","13,410","12.70%"
"YoY %","-1.08%","4.01%","4.59%","22.92%","23.55%","5.72%","11.52%","4.28%","21.90%","36.88%","-9.97%","-",""
"Horiz. %","301.83%","305.13%","293.38%","280.51%","228.20%","184.70%","174.71%","156.66%","150.23%","123.24%","90.03%","100.00%",""
"Net Worth","55,422","55,422","59,220","50,884","31,457","30,955","27,857","25,773","24,311","23,691","23,511","20,094","12.75%"
