Column1,AQR,T4Q,31/08/18,31/08/17,31/08/16,31/08/15,31/08/14,31/08/13,CAGR
"Revenue","122,357","97,816","33,618","44,195","37,022","59,646","65,423","0","-"
"YoY %","25.09%","190.96%","-23.93%","19.37%","-37.93%","-8.83%","0.00%","-",""
"Horiz. %","187.02%","149.51%","51.39%","67.55%","56.59%","91.17%","100.00%","-",""
"PBT","8,298","-3,750","-7,607","2,776","2,282","9,183","10,348","0","-"
"YoY %","321.30%","50.70%","-374.03%","21.65%","-75.15%","-11.26%","0.00%","-",""
"Horiz. %","80.20%","-36.24%","-73.51%","26.83%","22.05%","88.74%","100.00%","-",""
"Tax","-1,616","-1,222","-721","-982","-649","-2,723","-3,157","0","-"
"YoY %","-32.24%","-69.49%","26.58%","-51.31%","76.17%","13.75%","0.00%","-",""
"Horiz. %","51.19%","38.71%","22.84%","31.11%","20.56%","86.25%","100.00%","-",""
"NP","6,682","-4,972","-8,328","1,794","1,633","6,460","7,191","0","-"
"YoY %","234.41%","40.30%","-564.21%","9.86%","-74.72%","-10.17%","0.00%","-",""
"Horiz. %","92.93%","-69.14%","-115.81%","24.95%","22.71%","89.83%","100.00%","-",""
"NP to SH","6,898","-4,809","-8,328","1,794","1,633","6,460","7,191","0","-"
"YoY %","243.45%","42.26%","-564.21%","9.86%","-74.72%","-10.17%","0.00%","-",""
"Horiz. %","95.93%","-66.88%","-115.81%","24.95%","22.71%","89.83%","100.00%","-",""
"Tax Rate","19.47    %","-     %","-     %","35.37    %","28.44    %","29.65    %","30.51    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","24.37%","-4.08%","-2.82%","0.00%","-",""
"Horiz. %","63.82%","0.00%","0.00%","115.93%","93.22%","97.18%","100.00%","-",""
"Total Cost","115,674","102,788","41,946","42,401","35,389","53,186","58,232","0","-"
"YoY %","12.54%","145.05%","-1.07%","19.81%","-33.46%","-8.67%","0.00%","-",""
"Horiz. %","198.64%","176.51%","72.03%","72.81%","60.77%","91.33%","100.00%","-",""
"Net Worth","8,899,298","8,899,298","7,112,166","64,473","62,585","64,302","46,586","-","-"
"YoY %","0.00%","25.13%","10,931.12%","3.02%","-2.67%","38.03%","0.00%","-",""
"Horiz. %","19,102.73%","19,102.73%","15,266.58%","138.40%","134.34%","138.03%","100.00%","-",""
"Div","-","0","-","-","3,506","4,114","30","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-14.76%","13,173.15%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","11,314.07%","13,273.15%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","214.75    %","63.68    %","0.43    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","237.23%","14,709.30%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","49,941.86%","14,809.30%","100.00%","-",""
"Net Worth","8,899,298","8,899,298","7,112,166","64,473","62,585","64,302","46,586","-","-"
"YoY %","0.00%","25.13%","10,931.12%","3.02%","-2.67%","38.03%","0.00%","-",""
"Horiz. %","19,102.73%","19,102.73%","15,266.58%","138.40%","134.34%","138.03%","100.00%","-",""
"NOSH","555,511","555,511","468,831","412,235","412,564","411,401","309,956","-","-"
"YoY %","0.00%","18.49%","13.73%","-0.08%","0.28%","32.73%","0.00%","-",""
"Horiz. %","179.22%","179.22%","151.26%","133.00%","133.10%","132.73%","100.00%","-",""
"NP Margin","5.46    %","-5.08    %","-24.77    %","4.06    %","4.41    %","10.83    %","10.99    %","-     %","-"
"YoY %","207.48%","79.49%","-710.10%","-7.94%","-59.28%","-1.46%","0.00%","-",""
"Horiz. %","49.68%","-46.22%","-225.39%","36.94%","40.13%","98.54%","100.00%","-",""
"ROE","0.08    %","-0.05    %","-0.12    %","2.78    %","2.61    %","10.05    %","15.44    %","-     %","-"
"YoY %","260.00%","58.33%","-104.32%","6.51%","-74.03%","-34.91%","0.00%","-",""
"Horiz. %","0.52%","-0.32%","-0.78%","18.01%","16.90%","65.09%","100.00%","-",""
"RPS","22.03","17.61","7.17","10.72","8.97","14.50","21.11","-","-"
"YoY %","25.10%","145.61%","-33.12%","19.51%","-38.14%","-31.31%","0.00%","-",""
"Horiz. %","104.36%","83.42%","33.96%","50.78%","42.49%","68.69%","100.00%","-",""
"EPS","1.24","-0.87","-1.95","0.44","0.40","1.57","2.32","0.00","-"
"YoY %","242.53%","55.38%","-543.18%","10.00%","-74.52%","-32.33%","0.00%","-",""
"Horiz. %","53.45%","-37.50%","-84.05%","18.97%","17.24%","67.67%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.85","1.00","0.01","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-15.00%","9,900.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","8,500.00%","10,000.00%","100.00%","-",""
"NAPS","16.0200","16.0200","15.1700","0.1564","0.1517","0.1563","0.1503","0.0000","-"
"YoY %","0.00%","5.60%","9,599.49%","3.10%","-2.94%","3.99%","0.00%","-",""
"Horiz. %","10,658.68%","10,658.68%","10,093.15%","104.06%","100.93%","103.99%","100.00%","-",""
"RPS","22.03","17.61","6.05","7.96","6.66","10.74","11.78","-","-"
"YoY %","25.10%","191.07%","-23.99%","19.52%","-37.99%","-8.83%","0.00%","-",""
"Horiz. %","187.01%","149.49%","51.36%","67.57%","56.54%","91.17%","100.00%","-",""
"EPS","1.24","-0.87","-1.50","0.32","0.29","1.16","1.29","0.00","-"
"YoY %","242.53%","42.00%","-568.75%","10.34%","-75.00%","-10.08%","0.00%","-",""
"Horiz. %","96.12%","-67.44%","-116.28%","24.81%","22.48%","89.92%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.63","0.74","0.01","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-14.86%","7,300.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","6,300.00%","7,400.00%","100.00%","-",""
"NAPS","16.0200","16.0200","12.8029","0.1161","0.1127","0.1158","0.0839","0.0000","-"
"YoY %","0.00%","25.13%","10,927.48%","3.02%","-2.68%","38.02%","0.00%","-",""
"Horiz. %","19,094.16%","19,094.16%","15,259.71%","138.38%","134.33%","138.02%","100.00%","-",""
"Date","AQR","T4Q","30/08/18","30/08/17","30/08/16","28/08/15","29/08/14","-","-"
"Price","0.1200","0.1200","0.1700","0.2000","0.2400","0.2100","0.2950","0.0000","-"
"P/RPS","0.54","0.68","2.37","1.87","2.67","1.45","1.40","0.00","-"
"YoY %","-20.59%","-71.31%","26.74%","-29.96%","84.14%","3.57%","0.00%","-",""
"Horiz. %","38.57%","48.57%","169.29%","133.57%","190.71%","103.57%","100.00%","-",""
"P/EPS","9.66","-13.86","-9.57","45.96","60.63","13.37","12.72","0.00","-"
"YoY %","169.70%","-44.83%","-120.82%","-24.20%","353.48%","5.11%","0.00%","-",""
"Horiz. %","75.94%","-108.96%","-75.24%","361.32%","476.65%","105.11%","100.00%","-",""
"EY","10.35","-7.21","-10.45","2.18","1.65","7.48","7.86","0.00","-"
"YoY %","243.55%","31.00%","-579.36%","32.12%","-77.94%","-4.83%","0.00%","-",""
"Horiz. %","131.68%","-91.73%","-132.95%","27.74%","20.99%","95.17%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","3.54","4.76","0.03","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-25.63%","15,766.67%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","11,800.00%","15,866.67%","100.00%","-",""
"P/NAPS","0.01","0.01","0.01","1.28","1.58","1.34","1.96","0.00","-"
"YoY %","0.00%","0.00%","-99.22%","-18.99%","17.91%","-31.63%","0.00%","-",""
"Horiz. %","0.51%","0.51%","0.51%","65.31%","80.61%","68.37%","100.00%","-",""
"Date","AQR","T4Q","23/10/18","20/10/17","26/10/16","27/10/15","28/10/14","-","-"
"Price","0.1200","0.1200","0.1550","0.2300","0.2400","0.2400","0.2650","0.0000","-"
"P/RPS","0.54","0.68","2.16","2.15","2.67","1.66","1.26","0.00","-"
"YoY %","-20.59%","-68.52%","0.47%","-19.48%","60.84%","31.75%","0.00%","-",""
"Horiz. %","42.86%","53.97%","171.43%","170.63%","211.90%","131.75%","100.00%","-",""
"P/EPS","9.66","-13.86","-8.73","52.85","60.63","15.28","11.42","0.00","-"
"YoY %","169.70%","-58.76%","-116.52%","-12.83%","296.79%","33.80%","0.00%","-",""
"Horiz. %","84.59%","-121.37%","-76.44%","462.78%","530.91%","133.80%","100.00%","-",""
"EY","10.35","-7.21","-11.46","1.89","1.65","6.54","8.75","0.00","-"
"YoY %","243.55%","37.09%","-706.35%","14.55%","-74.77%","-25.26%","0.00%","-",""
"Horiz. %","118.29%","-82.40%","-130.97%","21.60%","18.86%","74.74%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","3.54","4.17","0.04","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-15.11%","10,325.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","8,850.00%","10,425.00%","100.00%","-",""
"P/NAPS","0.01","0.01","0.01","1.47","1.58","1.54","1.76","0.00","-"
"YoY %","0.00%","0.00%","-99.32%","-6.96%","2.60%","-12.50%","0.00%","-",""
"Horiz. %","0.57%","0.57%","0.57%","83.52%","89.77%","87.50%","100.00%","-",""

