Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","628,618","624,702","597,925","577,357","498,716","505,404","489,194","455,267","0","-"
"YoY %","0.63%","4.48%","3.56%","15.77%","-1.32%","3.31%","7.45%","0.00%","-",""
"Horiz. %","138.08%","137.22%","131.34%","126.82%","109.54%","111.01%","107.45%","100.00%","-",""
"PBT","21,714","26,041","35,532","95,470","38,129","25,765","37,395","35,351","0","-"
"YoY %","-16.62%","-26.71%","-62.78%","150.39%","47.99%","-31.10%","5.78%","0.00%","-",""
"Horiz. %","61.42%","73.66%","100.51%","270.06%","107.86%","72.88%","105.78%","100.00%","-",""
"Tax","-5,958","-7,100","-9,567","-15,101","-10,451","-7,286","-9,848","-9,577","0","-"
"YoY %","16.08%","25.79%","36.65%","-44.49%","-43.44%","26.02%","-2.83%","0.00%","-",""
"Horiz. %","62.21%","74.14%","99.90%","157.68%","109.13%","76.08%","102.83%","100.00%","-",""
"NP","15,756","18,941","25,965","80,369","27,678","18,479","27,547","25,774","0","-"
"YoY %","-16.82%","-27.05%","-67.69%","190.37%","49.78%","-32.92%","6.88%","0.00%","-",""
"Horiz. %","61.13%","73.49%","100.74%","311.82%","107.39%","71.70%","106.88%","100.00%","-",""
"NP to SH","15,894","19,053","26,100","80,420","27,678","18,479","27,547","25,774","0","-"
"YoY %","-16.58%","-27.00%","-67.55%","190.56%","49.78%","-32.92%","6.88%","0.00%","-",""
"Horiz. %","61.67%","73.92%","101.26%","312.02%","107.39%","71.70%","106.88%","100.00%","-",""
"Tax Rate","27.44    %","27.26    %","26.93    %","15.82    %","27.41    %","28.28    %","26.34    %","27.09    %","-     %","-"
"YoY %","0.66%","1.23%","70.23%","-42.28%","-3.08%","7.37%","-2.77%","0.00%","-",""
"Horiz. %","101.29%","100.63%","99.41%","58.40%","101.18%","104.39%","97.23%","100.00%","-",""
"Total Cost","612,862","605,761","571,960","496,988","471,038","486,925","461,647","429,493","0","-"
"YoY %","1.17%","5.91%","15.09%","5.51%","-3.26%","5.48%","7.49%","0.00%","-",""
"Horiz. %","142.69%","141.04%","133.17%","115.72%","109.67%","113.37%","107.49%","100.00%","-",""
"Net Worth","353,399","353,399","350,299","334,800","257,299","235,599","223,200","201,499","-","-"
"YoY %","0.00%","0.88%","4.63%","30.12%","9.21%","5.56%","10.77%","0.00%","-",""
"Horiz. %","175.38%","175.38%","173.85%","166.15%","127.69%","116.92%","110.77%","100.00%","-",""
"Div","-","0","-","-","-","-","3,100","9,300","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-66.67%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","33.33%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","11.25    %","36.08    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-68.82%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","31.18%","100.00%","-",""
"Net Worth","353,399","353,399","350,299","334,800","257,299","235,599","223,200","201,499","-","-"
"YoY %","0.00%","0.88%","4.63%","30.12%","9.21%","5.56%","10.77%","0.00%","-",""
"Horiz. %","175.38%","175.38%","173.85%","166.15%","127.69%","116.92%","110.77%","100.00%","-",""
"NOSH","310,000","310,000","310,000","310,000","310,000","310,000","310,000","310,000","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","-",""
