Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"20/08/2019","2.66","2.30","-0.36 (13.53%)","SELL","PUBLIC BANK"
"20/08/2019","2.76","2.80","+0.04 (1.45%)","HOLD","KENANGA"
"20/08/2019","2.66","2.46","-0.20 (7.52%)","HOLD","HLG"
"20/08/2019","2.66","2.10","-0.56 (21.05%)","SELL","AffinHwang"
"12/07/2019","2.80","2.30","-0.50 (17.86%)","HOLD","PUBLIC BANK"
"09/07/2019","2.79","2.46","-0.33 (11.83%)","HOLD","HLG"
"05/07/2019","2.80","2.10","-0.70 (25.00%)","SELL","AffinHwang"
"19/06/2019","2.63","2.30","-0.33 (12.55%)","HOLD","PUBLIC BANK"
"19/06/2019","2.60","3.00","+0.40 (15.38%)","BUY","KENANGA"
"19/06/2019","2.63","2.46","-0.17 (6.46%)","HOLD","HLG"

