Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"11/09/2019","4.59","4.55","-0.04 (0.87%)","HOLD","AffinHwang"
"10/09/2019","4.89","4.02","-0.87 (17.79%)","SELL","MACQUARIE GROUP"
"10/09/2019","4.50","4.55","+0.05 (1.11%)","HOLD","AffinHwang"
"25/07/2019","4.95","4.70","-0.25 (5.05%)","HOLD","KENANGA"
"15/07/2019","5.05","4.72","-0.33 (6.53%)","HOLD","PUBLIC BANK"
"15/07/2019","5.05","4.93","-0.12 (2.38%)","HOLD","MIDF"
"15/07/2019","5.05","4.70","-0.35 (6.93%)","HOLD","KENANGA"
"15/07/2019","5.05","5.06","+0.01 (0.20%)","HOLD","JF APEX"
"15/07/2019","5.05","5.00","-0.05 (0.99%)","HOLD","HLG"
"15/07/2019","5.05","5.00","-0.05 (0.99%)","HOLD","BIMB"

