Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"10/09/2019","3.47","3.85","+0.38 (10.95%)","HOLD","MACQUARIE GROUP"
"29/08/2019","3.98","3.60","-0.38 (9.55%)","SELL","PUBLIC BANK"
"29/08/2019","3.98","3.54","-0.44 (11.06%)","HOLD","MIDF"
"29/08/2019","3.98","3.95","-0.03 (0.75%)","HOLD","KENANGA"
"29/08/2019","3.98","4.00","+0.02 (0.50%)","HOLD","JF APEX"
"29/08/2019","3.98","5.00","+1.02 (25.63%)","BUY","HLG"
"29/08/2019","3.98","3.75","-0.23 (5.78%)","HOLD","BIMB"
"29/08/2019","3.98","4.25","+0.27 (6.78%)","HOLD","AmInvest"
"29/08/2019","3.98","4.15","+0.17 (4.27%)","HOLD","AffinHwang"
"07/08/2019","4.02","4.08","+0.06 (1.49%)","HOLD","AmInvest"

