Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Revenue","5,636","13,302","13,353","10,634","44,136","69,518","0","-"
"YoY %","-57.63%","-0.38%","25.57%","-75.91%","-36.51%","0.00%","-",""
"Horiz. %","8.11%","19.13%","19.21%","15.30%","63.49%","100.00%","-",""
"PBT","-538","478","-3,858","-57,838","-4,519","5,085","0","-"
"YoY %","-212.55%","112.39%","93.33%","-1,179.88%","-188.87%","0.00%","-",""
"Horiz. %","-10.58%","9.40%","-75.87%","-1,137.42%","-88.87%","100.00%","-",""
"Tax","-6","-77","-74","761","-103","-2,193","0","-"
"YoY %","92.21%","-4.05%","-109.72%","838.83%","95.30%","0.00%","-",""
"Horiz. %","0.27%","3.51%","3.37%","-34.70%","4.70%","100.00%","-",""
"NP","-544","401","-3,932","-57,077","-4,622","2,892","0","-"
"YoY %","-235.66%","110.20%","93.11%","-1,134.90%","-259.82%","0.00%","-",""
"Horiz. %","-18.81%","13.87%","-135.96%","-1,973.62%","-159.82%","100.00%","-",""
"NP to SH","-782","304","-3,909","-56,930","-4,626","2,892","0","-"
"YoY %","-357.24%","107.78%","93.13%","-1,130.65%","-259.96%","0.00%","-",""
"Horiz. %","-27.04%","10.51%","-135.17%","-1,968.53%","-159.96%","100.00%","-",""
"Tax Rate","-     %","16.11    %","-     %","-     %","-     %","43.13    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","37.35%","0.00%","0.00%","0.00%","100.00%","-",""
"Total Cost","6,180","12,901","17,285","67,711","48,758","66,626","0","-"
"YoY %","-52.10%","-25.36%","-74.47%","38.87%","-26.82%","0.00%","-",""
"Horiz. %","9.28%","19.36%","25.94%","101.63%","73.18%","100.00%","-",""
"Net Worth","23,687","23,687","24,175","26,373","78,931","60,909","-","-"
"YoY %","0.00%","-2.02%","-8.33%","-66.59%","29.59%","0.00%","-",""
"Horiz. %","38.89%","38.89%","39.69%","43.30%","129.59%","100.00%","-",""
"Div","-","0","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
