Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"14/08/2019","1.86","1.85","-0.01 (0.54%)","HOLD","KENANGA"
"14/08/2019","1.86","1.97","+0.11 (5.91%)","BUY","HLG"
"14/08/2019","1.87","2.04","+0.17 (9.09%)","BUY","AffinHwang"
"26/07/2019","1.86","1.82","-0.04 (2.15%)","HOLD","MIDF"
"26/07/2019","1.86","1.85","-0.01 (0.54%)","HOLD","KENANGA"
"26/07/2019","1.85","1.93","+0.08 (4.32%)","BUY","HLG"
"25/07/2019","1.86","1.82","-0.04 (2.15%)","HOLD","MIDF"
"25/07/2019","1.86","1.85","-0.01 (0.54%)","HOLD","KENANGA"
"25/07/2019","1.84","1.93","+0.09 (4.89%)","BUY","HLG"
"25/07/2019","1.86","2.04","+0.18 (9.68%)","BUY","AffinHwang"

