F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Jul-2018","28-Sep-2018","31-Jul-2018","4","12,100","-8,623","-8,623","-8,623","-","35,171","- %","-71.26%","-24.52%","185,112","6.54","6.51","-4.66","-4.64","0.00","0.00","0.1900","0.19"," -66.30%"," -407.83%","31-Jul-2018","0.125","1.91","-2.68","0.66","-37.27%","0.00%","28-Sep-2018","0.11","1.68","-2.36","0.58","-42.35%","0.00%"
"31-Jul-2018","11-Jun-2018","30-Apr-2018","3","14,170","-5,185","-5,185","-5,185","-","39,022","- %","-36.59%","-13.29%","185,821","7.63","7.63","-2.79","-2.79","0.00","0.00","0.2100","0.21"," -7.18%"," -424.35%","30-Apr-2018","0.185","2.43","-6.63","0.88","-15.08%","0.00%","11-Jun-2018","0.14","1.84","-5.02","0.67","-19.93%","0.00%"
"31-Jul-2018","26-Mar-2018","31-Jan-2018","2","16,654","-4,838","-4,838","-4,838","-","39,022","- %","-29.05%","-12.40%","185,821","8.96","8.96","-2.60","-2.60","0.00","0.00","0.2100","0.21"," -12.62%"," -327.78%","30-Jan-2018","0.19","2.12","-7.30","0.90","-13.70%","0.00%","26-Mar-2018","0.165","1.84","-6.34","0.79","-15.78%","0.00%"
"31-Jul-2018","20-Dec-2017","31-Oct-2017","1","10,656","-4,296","-4,296","-4,296","-","44,597","- %","-40.32%","-9.63%","185,821","5.73","5.73","-2.32","-2.31","0.00","0.00","0.2400","0.24"," -153.00%"," -304.96%","31-Oct-2017","0.255","4.45","-11.03","1.06","-9.07%","0.00%","20-Dec-2017","0.225","3.92","-9.73","0.94","-10.28%","0.00%"
"31-Jul-2017","29-Sep-2017","31-Jul-2017","4","13,621","-1,626","-1,698","-1,698","-","45,159","- %","-12.47%","-3.76%","180,638","7.54","7.33","-0.94","-0.91","0.00","0.00","0.2500","0.24"," -206.21%"," -223.58%","31-Jul-2017","0.255","3.38","-27.13","1.02","-3.69%","0.00%","29-Sep-2017","0.265","3.51","-28.19","1.06","-3.55%","0.00%"
"31-Jul-2017","08-Jun-2017","30-Apr-2017","3","15,625","1,692","1,598","1,598","-","49,022","- %","10.23%","3.26%","181,566","8.61","8.41","0.88","0.86","0.00","0.00","0.2700","0.26"," -24.73%"," 23.86%","28-Apr-2017","0.29","3.37","32.94","1.07","3.04%","0.00%","08-Jun-2017","0.27","3.14","30.66","1.00","3.26%","0.00%"
"31-Jul-2017","21-Mar-2017","31-Jan-2017","2","17,636","2,124","2,124","2,124","-","50,838","- %","12.04%","4.18%","181,566","9.71","9.49","1.18","1.14","0.00","0.00","0.2800","0.27"," 1.34%"," 74.10%","31-Jan-2017","0.305","3.14","26.07","1.09","3.84%","0.00%","21-Mar-2017","0.32","3.29","27.35","1.14","3.66%","0.00%"
"31-Jul-2017","08-Dec-2016","31-Oct-2016","1","13,388","2,096","2,096","2,096","-","47,207","- %","15.66%","4.44%","181,566","7.37","7.20","1.16","1.13","0.00","0.00","0.2600","0.25"," 52.55%"," 81.94%","31-Oct-2016","0.275","3.73","23.82","1.06","4.20%","0.00%","08-Dec-2016","0.305","4.14","26.42","1.17","3.78%","0.00%"
"31-Jul-2016","05-Sep-2016","31-Jul-2016","4","26,007","1,458","1,374","1,374","-","46,297","- %","5.28%","2.97%","149,347","17.41","14.00","0.92","0.74","0.00","0.00","0.3100","0.25"," 6.46%"," 56.31%","29-Jul-2016","0.30","1.72","32.61","0.97","3.07%","0.00%","05-Sep-2016","0.30","1.72","32.61","0.97","3.07%","0.00%"
"31-Jul-2016","20-Jun-2016","30-Apr-2016","3","27,576","1,290","1,290","1,290","-","44,676","- %","4.68%","2.89%","148,923","18.52","14.84","0.87","0.69","0.00","0.00","0.3000","0.24"," 5.79%"," 53.16%","29-Apr-2016","0.275","1.49","31.73","0.92","3.15%","0.00%","20-Jun-2016","0.29","1.57","33.46","0.97","2.99%","0.00%"
