Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,&nbsp;-&nbsp;,CAGR
"Revenue","62,480","62,987","63,065","62,773","26,350","0","-","-"
"YoY %","-0.80%","-0.12%","0.47%","138.23%","0.00%","-","-",""
"Horiz. %","237.12%","239.04%","239.34%","238.23%","100.00%","-","-",""
"PBT","30,029","34,921","34,049","37,610","14,660","0","-","-"
"YoY %","-14.01%","2.56%","-9.47%","156.55%","0.00%","-","-",""
"Horiz. %","204.84%","238.21%","232.26%","256.55%","100.00%","-","-",""
"Tax","0","0","0","0","0","0","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NP","30,029","34,921","34,049","37,610","14,660","0","-","-"
"YoY %","-14.01%","2.56%","-9.47%","156.55%","0.00%","-","-",""
"Horiz. %","204.84%","238.21%","232.26%","256.55%","100.00%","-","-",""
"NP to SH","30,029","34,921","34,049","37,610","14,660","0","-","-"
"YoY %","-14.01%","2.56%","-9.47%","156.55%","0.00%","-","-",""
"Horiz. %","204.84%","238.21%","232.26%","256.55%","100.00%","-","-",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Total Cost","32,450","28,066","29,016","25,163","11,690","0","-","-"
"YoY %","15.62%","-3.27%","15.31%","115.25%","0.00%","-","-",""
"Horiz. %","277.59%","240.09%","248.21%","215.25%","100.00%","-","-",""
"Net Worth","505,198","505,198","509,140","506,967","504,390","-","-","-"
"YoY %","0.00%","-0.77%","0.43%","0.51%","0.00%","-","-",""
"Horiz. %","100.16%","100.16%","100.94%","100.51%","100.00%","-","-",""
"Div","-","0","-","-","5,053","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","34.47    %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Net Worth","505,198","505,198","509,140","506,967","504,390","-","-","-"
"YoY %","0.00%","-0.77%","0.43%","0.51%","0.00%","-","-",""
"Horiz. %","100.16%","100.16%","100.94%","100.51%","100.00%","-","-",""
"NOSH","505,300","505,300","505,300","505,300","505,300","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","-","-",""
"NP Margin","48.06    %","55.44    %","53.99    %","59.91    %","55.64    %","-     %","-   %","-"
"YoY %","-13.31%","2.69%","-9.88%","7.67%","0.00%","-","-",""
"Horiz. %","86.38%","99.64%","97.03%","107.67%","100.00%","-","-",""
