Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,30/06/09,CAGR
"Revenue","2,075,430","2,212,005","2,029,672","1,929,963","2,810,208","1,748,885","1,610,587","1,676,348","1,623,687","1,488,720","1,358,633","1,285,423","4.92%"
"YoY %","-6.17%","8.98%","5.17%","-31.32%","60.69%","8.59%","-3.92%","3.24%","9.07%","9.57%","5.70%","-",""
"Horiz. %","161.46%","172.08%","157.90%","150.14%","218.62%","136.06%","125.30%","130.41%","126.32%","115.82%","105.70%","100.00%",""
"PBT","311,832","399,051","380,766","363,175","549,223","292,399","265,787","288,736","276,981","242,883","204,991","191,178","7.51%"
"YoY %","-21.86%","4.80%","4.84%","-33.87%","87.83%","10.01%","-7.95%","4.24%","14.04%","18.48%","7.23%","-",""
"Horiz. %","163.11%","208.73%","199.17%","189.97%","287.28%","152.95%","139.03%","151.03%","144.88%","127.05%","107.23%","100.00%",""
"Tax","-74,828","-101,684","-98,244","-93,116","-121,963","-78,206","-67,581","-71,132","-69,582","-61,505","-52,300","-49,190","7.55%"
"YoY %","26.41%","-3.50%","-5.51%","23.65%","-55.95%","-15.72%","4.99%","-2.23%","-13.13%","-17.60%","-6.32%","-",""
"Horiz. %","152.12%","206.72%","199.72%","189.30%","247.94%","158.99%","137.39%","144.61%","141.46%","125.04%","106.32%","100.00%",""
"NP","237,004","297,367","282,522","270,059","427,260","214,193","198,206","217,604","207,399","181,378","152,691","141,988","7.50%"
"YoY %","-20.30%","5.25%","4.61%","-36.79%","99.47%","8.07%","-8.91%","4.92%","14.35%","18.79%","7.54%","-",""
"Horiz. %","166.92%","209.43%","198.98%","190.20%","300.91%","150.85%","139.59%","153.26%","146.07%","127.74%","107.54%","100.00%",""
"NP to SH","237,004","297,367","282,522","270,059","427,260","214,193","198,206","217,604","207,399","181,378","152,691","141,988","7.50%"
"YoY %","-20.30%","5.25%","4.61%","-36.79%","99.47%","8.07%","-8.91%","4.92%","14.35%","18.79%","7.54%","-",""
"Horiz. %","166.92%","209.43%","198.98%","190.20%","300.91%","150.85%","139.59%","153.26%","146.07%","127.74%","107.54%","100.00%",""
"Tax Rate","24.00    %","25.48    %","25.80    %","25.64    %","22.21    %","26.75    %","25.43    %","24.64    %","25.12    %","25.32    %","25.51    %","25.73    %","0.03%"
"YoY %","-5.81%","-1.24%","0.62%","15.44%","-16.97%","5.19%","3.21%","-1.91%","-0.79%","-0.74%","-0.86%","-",""
"Horiz. %","93.28%","99.03%","100.27%","99.65%","86.32%","103.96%","98.83%","95.76%","97.63%","98.41%","99.14%","100.00%",""
"Total Cost","1,838,426","1,914,638","1,747,150","1,659,904","2,382,948","1,534,692","1,412,381","1,458,744","1,416,288","1,307,342","1,205,942","1,143,435","4.56%"
"YoY %","-3.98%","9.59%","5.26%","-30.34%","55.27%","8.66%","-3.18%","3.00%","8.33%","8.41%","5.47%","-",""
"Horiz. %","160.78%","167.45%","152.80%","145.17%","208.40%","134.22%","123.52%","127.58%","123.86%","114.33%","105.47%","100.00%",""
"Net Worth","326,265","326,265","371,580","359,496","392,727","377,622","356,474","365,538","380,643","516,582","471,305","441,069","-1.79%"
"YoY %","0.00%","-12.20%","3.36%","-8.46%","4.00%","5.93%","-2.48%","-3.97%","-26.32%","9.61%","6.86%","-",""
"Horiz. %","73.97%","73.97%","84.25%","81.51%","89.04%","85.62%","80.82%","82.88%","86.30%","117.12%","106.86%","100.00%",""
"Div","253,762","290,014","283,972","271,888","438,042","214,489","194,852","206,937","377,622","163,131","135,953","123,861","9.12%"
"YoY %","-12.50%","2.13%","4.44%","-37.93%","104.23%","10.08%","-5.84%","-45.20%","131.48%","19.99%","9.76%","-",""
"Horiz. %","204.88%","234.14%","229.27%","219.51%","353.65%","173.17%","157.31%","167.07%","304.87%","131.70%","109.76%","100.00%",""
"Div Payout %","107.07    %","97.53    %","100.51    %","100.68    %","102.52    %","100.14    %","98.31    %","95.10    %","182.08    %","89.94    %","89.04    %","87.23    %","1.50%"
"YoY %","9.78%","-2.96%","-0.17%","-1.79%","2.38%","1.86%","3.38%","-47.77%","102.45%","1.01%","2.07%","-",""
"Horiz. %","122.74%","111.81%","115.22%","115.42%","117.53%","114.80%","112.70%","109.02%","208.74%","103.11%","102.07%","100.00%",""
"Net Worth","326,265","326,265","371,580","359,496","392,727","377,622","356,474","365,538","380,643","516,582","471,305","441,069","-1.79%"
"YoY %","0.00%","-12.20%","3.36%","-8.46%","4.00%","5.93%","-2.48%","-3.97%","-26.32%","9.61%","6.86%","-",""
"Horiz. %","73.97%","73.97%","84.25%","81.51%","89.04%","85.62%","80.82%","82.88%","86.30%","117.12%","106.86%","100.00%",""
"NOSH","302,098","302,098","302,097","302,098","302,098","302,098","302,097","302,098","302,098","302,095","302,119","302,102","-0.00%"
"YoY %","0.00%","0.00%","-0.00%","0.00%","0.00%","0.00%","-0.00%","0.00%","0.00%","-0.01%","0.01%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.01%","100.00%",""
"NP Margin","11.42    %","13.44    %","13.92    %","13.99    %","15.20    %","12.25    %","12.31    %","12.98    %","12.77    %","12.18    %","11.24    %","11.05    %","2.46%"
"YoY %","-15.03%","-3.45%","-0.50%","-7.96%","24.08%","-0.49%","-5.16%","1.64%","4.84%","8.36%","1.72%","-",""
"Horiz. %","103.35%","121.63%","125.97%","126.61%","137.56%","110.86%","111.40%","117.47%","115.57%","110.23%","101.72%","100.00%",""
"ROE","72.64    %","91.14    %","76.03    %","75.12    %","108.79    %","56.72    %","55.60    %","59.53    %","54.49    %","35.11    %","32.40    %","32.19    %","9.46%"
"YoY %","-20.30%","19.87%","1.21%","-30.95%","91.80%","2.01%","-6.60%","9.25%","55.20%","8.36%","0.65%","-",""
"Horiz. %","225.66%","283.13%","236.19%","233.36%","337.96%","176.20%","172.72%","184.93%","169.28%","109.07%","100.65%","100.00%",""
"RPS","687.01","732.21","671.86","638.85","930.23","578.91","533.14","554.90","537.47","492.80","449.70","425.49","4.92%"
"YoY %","-6.17%","8.98%","5.17%","-31.32%","60.69%","8.58%","-3.92%","3.24%","9.06%","9.58%","5.69%","-",""
"Horiz. %","161.46%","172.09%","157.90%","150.14%","218.63%","136.06%","125.30%","130.41%","126.32%","115.82%","105.69%","100.00%",""
"EPS","78.46","98.43","93.52","89.40","141.43","70.90","65.61","72.03","68.65","60.04","50.54","47.00","7.50%"
"YoY %","-20.29%","5.25%","4.61%","-36.79%","99.48%","8.06%","-8.91%","4.92%","14.34%","18.80%","7.53%","-",""
