Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,CAGR
"Revenue","625,358","625,358","625,358","459,221","428,482","341,163","0","-"
"YoY %","0.00%","0.00%","36.18%","7.17%","25.59%","0.00%","-",""
"Horiz. %","183.30%","183.30%","183.30%","134.60%","125.59%","100.00%","-",""
"PBT","16,902","16,902","16,902","-5,294","2,773","3,231","0","-"
"YoY %","0.00%","0.00%","419.27%","-290.91%","-14.18%","0.00%","-",""
"Horiz. %","523.12%","523.12%","523.12%","-163.85%","85.82%","100.00%","-",""
"Tax","-3,620","-3,619","-3,620","-1,498","-1,443","-1,247","0","-"
"YoY %","-0.03%","0.03%","-141.66%","-3.81%","-15.72%","0.00%","-",""
"Horiz. %","290.30%","290.22%","290.30%","120.13%","115.72%","100.00%","-",""
"NP","13,282","13,283","13,282","-6,792","1,330","1,984","0","-"
"YoY %","-0.01%","0.01%","295.55%","-610.68%","-32.96%","0.00%","-",""
"Horiz. %","669.46%","669.51%","669.46%","-342.34%","67.04%","100.00%","-",""
"NP to SH","12,386","11,847","12,386","-7,981","1,089","1,904","0","-"
"YoY %","4.55%","-4.35%","255.19%","-832.87%","-42.80%","0.00%","-",""
"Horiz. %","650.53%","622.22%","650.53%","-419.17%","57.20%","100.00%","-",""
"Tax Rate","21.42    %","21.41    %","21.42    %","-     %","52.04    %","38.59    %","-     %","-"
"YoY %","0.05%","-0.05%","0.00%","0.00%","34.85%","0.00%","-",""
"Horiz. %","55.51%","55.48%","55.51%","0.00%","134.85%","100.00%","-",""
"Total Cost","612,076","612,075","612,076","466,013","427,152","339,179","0","-"
"YoY %","0.00%","-0.00%","31.34%","9.10%","25.94%","0.00%","-",""
"Horiz. %","180.46%","180.46%","180.46%","137.39%","125.94%","100.00%","-",""
"Net Worth","107,158","107,158","107,158","86,747","91,849","58,933","-","-"
"YoY %","0.00%","0.00%","23.53%","-5.56%","55.85%","0.00%","-",""
"Horiz. %","181.83%","181.83%","181.83%","147.20%","155.85%","100.00%","-",""
"Div","-","0","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Net Worth","107,158","107,158","107,158","86,747","91,849","58,933","-","-"
"YoY %","0.00%","0.00%","23.53%","-5.56%","55.85%","0.00%","-",""
"Horiz. %","181.83%","181.83%","181.83%","147.20%","155.85%","100.00%","-",""
"NOSH","510,277","510,277","510,277","510,277","510,277","453,333","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","12.56%","0.00%","-",""
"Horiz. %","112.56%","112.56%","112.56%","112.56%","112.56%","100.00%","-",""
"NP Margin","2.12    %","2.12    %","2.12    %","-1.48    %","0.31    %","0.58    %","-     %","-"
"YoY %","0.00%","0.00%","243.24%","-577.42%","-46.55%","0.00%","-",""
"Horiz. %","365.52%","365.52%","365.52%","-255.17%","53.45%","100.00%","-",""
"ROE","11.56    %","11.06    %","11.56    %","-9.20    %","1.19    %","3.23    %","-     %","-"
"YoY %","4.52%","-4.33%","225.65%","-873.11%","-63.16%","0.00%","-",""
"Horiz. %","357.89%","342.41%","357.89%","-284.83%","36.84%","100.00%","-",""
"RPS","122.55","122.55","122.55","89.99","83.97","75.26","-","-"
"YoY %","0.00%","0.00%","36.18%","7.17%","11.57%","0.00%","-",""
"Horiz. %","162.84%","162.84%","162.84%","119.57%","111.57%","100.00%","-",""
"EPS","2.43","2.32","2.43","-1.56","0.21","0.42","0.00","-"
"YoY %","4.74%","-4.53%","255.77%","-842.86%","-50.00%","0.00%","-",""
"Horiz. %","578.57%","552.38%","578.57%","-371.43%","50.00%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.2100","0.2100","0.2100","0.1700","0.1800","0.1300","0.0000","-"
"YoY %","0.00%","0.00%","23.53%","-5.56%","38.46%","0.00%","-",""
"Horiz. %","161.54%","161.54%","161.54%","130.77%","138.46%","100.00%","-",""
"RPS","122.55","122.55","122.55","89.99","83.97","66.86","-","-"
"YoY %","0.00%","0.00%","36.18%","7.17%","25.59%","0.00%","-",""
"Horiz. %","183.29%","183.29%","183.29%","134.59%","125.59%","100.00%","-",""
"EPS","2.43","2.32","2.43","-1.56","0.21","0.37","0.00","-"
"YoY %","4.74%","-4.53%","255.77%","-842.86%","-43.24%","0.00%","-",""
"Horiz. %","656.76%","627.03%","656.76%","-421.62%","56.76%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.2100","0.2100","0.2100","0.1700","0.1800","0.1155","0.0000","-"
"YoY %","0.00%","0.00%","23.53%","-5.56%","55.84%","0.00%","-",""
"Horiz. %","181.82%","181.82%","181.82%","147.19%","155.84%","100.00%","-",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","30/06/16","-","-"
"Price","0.1550","0.1550","0.1550","0.1300","0.2600","0.3050","0.0000","-"
"P/RPS","0.13","0.13","0.13","0.14","0.31","0.41","0.00","-"
"YoY %","0.00%","0.00%","-7.14%","-54.84%","-24.39%","0.00%","-",""
"Horiz. %","31.71%","31.71%","31.71%","34.15%","75.61%","100.00%","-",""
"P/EPS","6.39","6.68","6.39","-8.31","121.83","72.62","0.00","-"
"YoY %","-4.34%","4.54%","176.90%","-106.82%","67.76%","0.00%","-",""
"Horiz. %","8.80%","9.20%","8.80%","-11.44%","167.76%","100.00%","-",""
"EY","15.66","14.98","15.66","-12.03","0.82","1.38","0.00","-"
"YoY %","4.54%","-4.34%","230.17%","-1,567.07%","-40.58%","0.00%","-",""
"Horiz. %","1,134.78%","1,085.51%","1,134.78%","-871.74%","59.42%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","0.74","0.74","0.74","0.76","1.44","2.35","0.00","-"
"YoY %","0.00%","0.00%","-2.63%","-47.22%","-38.72%","0.00%","-",""
"Horiz. %","31.49%","31.49%","31.49%","32.34%","61.28%","100.00%","-",""
"Date","AQR","T4Q","30/08/19","19/10/18","30/08/17","30/08/16","-","-"
"Price","0.1700","0.1700","0.1700","0.1550","0.2450","0.2900","0.0000","-"
"P/RPS","0.14","0.14","0.14","0.17","0.29","0.39","0.00","-"
"YoY %","0.00%","0.00%","-17.65%","-41.38%","-25.64%","0.00%","-",""
"Horiz. %","35.90%","35.90%","35.90%","43.59%","74.36%","100.00%","-",""
"P/EPS","7.00","7.32","7.00","-9.91","114.80","69.05","0.00","-"
"YoY %","-4.37%","4.57%","170.64%","-108.63%","66.26%","0.00%","-",""
"Horiz. %","10.14%","10.60%","10.14%","-14.35%","166.26%","100.00%","-",""
"EY","14.28","13.66","14.28","-10.09","0.87","1.45","0.00","-"
"YoY %","4.54%","-4.34%","241.53%","-1,259.77%","-40.00%","0.00%","-",""
"Horiz. %","984.83%","942.07%","984.83%","-695.86%","60.00%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","0.81","0.81","0.81","0.91","1.36","2.23","0.00","-"
"YoY %","0.00%","0.00%","-10.99%","-33.09%","-39.01%","0.00%","-",""
"Horiz. %","36.32%","36.32%","36.32%","40.81%","60.99%","100.00%","-",""

