Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1800","0.1800","0.1700","0.1700","0.1700","0.1600","0.1700","0.1400","0.1400","0.1000","7.87%"
"YoY %","0.00%","5.88%","0.00%","0.00%","6.25%","-5.88%","21.43%","0.00%","40.00%","-",""
"Horiz. %","180.00%","180.00%","170.00%","170.00%","170.00%","160.00%","170.00%","140.00%","140.00%","100.00%",""
"RPS","16.10","17.26","16.05","12.47","8.63","7.36","10.98","12.77","11.76","12.25","3.93%"
"YoY %","-6.72%","7.54%","28.71%","44.50%","17.26%","-32.97%","-14.02%","8.59%","-4.00%","-",""
"Horiz. %","131.43%","140.90%","131.02%","101.80%","70.45%","60.08%","89.63%","104.24%","96.00%","100.00%",""
"EPS","1.23","0.88","0.60","0.23","0.28","-0.48","-0.10","0.76","0.89","1.82","-14.65%"
"YoY %","39.77%","46.67%","160.87%","-17.86%","158.33%","-380.00%","-113.16%","-14.61%","-51.10%","-",""
"Horiz. %","67.58%","48.35%","32.97%","12.64%","15.38%","-26.37%","-5.49%","41.76%","48.90%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1789","0.1789","0.1700","0.1700","0.1700","0.1600","0.1700","0.1400","0.1210","0.0745","12.50%"
"YoY %","0.00%","5.24%","0.00%","0.00%","6.25%","-5.88%","21.43%","15.70%","62.42%","-",""
"Horiz. %","240.13%","240.13%","228.19%","228.19%","228.19%","214.77%","228.19%","187.92%","162.42%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","-","-"
"Price","0.1000","0.1000","0.0850","0.1050","0.0800","0.0950","0.1250","0.1450","0.1700","0.0000","-"
"P/RPS","0.62","0.58","0.53","0.84","0.93","1.29","1.14","1.14","1.25","0.00","-"
"YoY %","6.90%","9.43%","-36.90%","-9.68%","-27.91%","13.16%","0.00%","-8.80%","0.00%","-",""
"Horiz. %","49.60%","46.40%","42.40%","67.20%","74.40%","103.20%","91.20%","91.20%","100.00%","-",""
"P/EPS","8.09","11.33","14.22","45.10","28.58","-19.89","-119.38","19.10","16.50","0.00","-"
"YoY %","-28.60%","-20.32%","-68.47%","57.80%","243.69%","83.34%","-725.03%","15.76%","0.00%","-",""
"Horiz. %","49.03%","68.67%","86.18%","273.33%","173.21%","-120.55%","-723.52%","115.76%","100.00%","-",""
"EY","12.36","8.83","7.03","2.22","3.50","-5.03","-0.84","5.23","6.06","0.00","-"
"YoY %","39.98%","25.60%","216.67%","-36.57%","169.58%","-498.81%","-116.06%","-13.70%","0.00%","-",""
"Horiz. %","203.96%","145.71%","116.01%","36.63%","57.76%","-83.00%","-13.86%","86.30%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.56","0.56","0.50","0.62","0.47","0.59","0.74","1.04","1.21","0.00","-"
"YoY %","0.00%","12.00%","-19.35%","31.91%","-20.34%","-20.27%","-28.85%","-14.05%","0.00%","-",""
"Horiz. %","46.28%","46.28%","41.32%","51.24%","38.84%","48.76%","61.16%","85.95%","100.00%","-",""
"Date","AQR","T4Q","25/02/19","14/02/18","21/02/17","29/02/16","27/02/15","28/02/14","28/02/13","-","-"
"Price","0.1300","0.1300","0.0950","0.1000","0.0850","0.0750","0.1300","0.1650","0.1450","0.0000","-"
"P/RPS","0.80","0.75","0.59","0.80","0.99","1.02","1.18","1.29","1.07","0.00","-"
"YoY %","6.67%","27.12%","-26.25%","-19.19%","-2.94%","-13.56%","-8.53%","20.56%","0.00%","-",""
"Horiz. %","74.77%","70.09%","55.14%","74.77%","92.52%","95.33%","110.28%","120.56%","100.00%","-",""
"P/EPS","10.51","14.73","15.90","42.95","30.37","-15.70","-124.15","21.74","14.07","0.00","-"
"YoY %","-28.65%","-7.36%","-62.98%","41.42%","293.44%","87.35%","-671.07%","54.51%","0.00%","-",""
"Horiz. %","74.70%","104.69%","113.01%","305.26%","215.85%","-111.58%","-882.37%","154.51%","100.00%","-",""
"EY","9.51","6.79","6.29","2.33","3.29","-6.37","-0.81","4.60","7.11","0.00","-"
"YoY %","40.06%","7.95%","169.96%","-29.18%","151.65%","-686.42%","-117.61%","-35.30%","0.00%","-",""
"Horiz. %","133.76%","95.50%","88.47%","32.77%","46.27%","-89.59%","-11.39%","64.70%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.72","0.72","0.56","0.59","0.50","0.47","0.76","1.18","1.04","0.00","-"
"YoY %","0.00%","28.57%","-5.08%","18.00%","6.38%","-38.16%","-35.59%","13.46%","0.00%","-",""
"Horiz. %","69.23%","69.23%","53.85%","56.73%","48.08%","45.19%","73.08%","113.46%","100.00%","-",""

