Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"04/07/2019","1.42","1.55","+0.13 (9.15%)","BUY","KENANGA"
"26/06/2019","1.35","1.55","+0.20 (14.81%)","BUY","KENANGA"
"26/06/2019","1.35","1.66","+0.31 (22.96%)","BUY","AmInvest"
"24/06/2019","1.37","1.55","+0.18 (13.14%)","BUY","KENANGA"
"24/06/2019","1.37","1.66","+0.29 (21.17%)","BUY","AmInvest"
"12/04/2019","1.39","1.66","+0.27 (19.42%)","BUY","AmInvest"
"08/04/2019","1.37","1.66","+0.29 (21.17%)","BUY","AmInvest"
"25/03/2019","1.38","1.25","-0.13 (9.42%)","SELL","KENANGA"
"25/03/2019","1.38","1.66","+0.28 (20.29%)","BUY","AmInvest"

