Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,CAGR
"Revenue","131,375","131,375","131,375","112,668","122,166","126,293","0","-"
"YoY %","0.00%","0.00%","16.60%","-7.77%","-3.27%","0.00%","-",""
"Horiz. %","104.02%","104.02%","104.02%","89.21%","96.73%","100.00%","-",""
"PBT","22,179","22,179","22,179","12,937","19,618","19,271","0","-"
"YoY %","0.00%","0.00%","71.44%","-34.06%","1.80%","0.00%","-",""
"Horiz. %","115.09%","115.09%","115.09%","67.13%","101.80%","100.00%","-",""
"Tax","-5,507","-5,507","-5,507","-2,859","-5,079","-4,921","0","-"
"YoY %","0.00%","0.00%","-92.62%","43.71%","-3.21%","0.00%","-",""
"Horiz. %","111.91%","111.91%","111.91%","58.10%","103.21%","100.00%","-",""
"NP","16,672","16,672","16,672","10,078","14,539","14,350","0","-"
"YoY %","0.00%","0.00%","65.43%","-30.68%","1.32%","0.00%","-",""
"Horiz. %","116.18%","116.18%","116.18%","70.23%","101.32%","100.00%","-",""
"NP to SH","16,616","16,616","16,616","10,217","14,680","14,435","0","-"
"YoY %","0.00%","0.00%","62.63%","-30.40%","1.70%","0.00%","-",""
"Horiz. %","115.11%","115.11%","115.11%","70.78%","101.70%","100.00%","-",""
"Tax Rate","24.83    %","24.83    %","24.83    %","22.10    %","25.89    %","25.54    %","-     %","-"
"YoY %","0.00%","0.00%","12.35%","-14.64%","1.37%","0.00%","-",""
"Horiz. %","97.22%","97.22%","97.22%","86.53%","101.37%","100.00%","-",""
"Total Cost","114,703","114,703","114,703","102,590","107,627","111,943","0","-"
"YoY %","0.00%","0.00%","11.81%","-4.68%","-3.86%","0.00%","-",""
"Horiz. %","102.47%","102.47%","102.47%","91.64%","96.14%","100.00%","-",""
"Net Worth","165,580","165,580","165,580","159,846","163,560","148,943","-","-"
"YoY %","0.00%","0.00%","3.59%","-2.27%","9.81%","0.00%","-",""
"Horiz. %","111.17%","111.17%","111.17%","107.32%","109.81%","100.00%","-",""
"Div","10,085","0","10,085","9,200","9,400","7,141","-","-"
"YoY %","0.00%","0.00%","9.62%","-2.12%","31.62%","0.00%","-",""
"Horiz. %","141.21%","0.00%","141.21%","128.82%","131.62%","100.00%","-",""
"Div Payout %","60.70    %","-     %","60.70    %","90.05    %","64.03    %","49.48    %","-     %","-"
"YoY %","0.00%","0.00%","-32.59%","40.64%","29.41%","0.00%","-",""
"Horiz. %","122.68%","0.00%","122.68%","181.99%","129.41%","100.00%","-",""
"Net Worth","165,580","165,580","165,580","159,846","163,560","148,943","-","-"
"YoY %","0.00%","0.00%","3.59%","-2.27%","9.81%","0.00%","-",""
"Horiz. %","111.17%","111.17%","111.17%","107.32%","109.81%","100.00%","-",""
"NOSH","183,367","183,367","183,367","184,007","188,000","178,546","-","-"
"YoY %","0.00%","0.00%","-0.35%","-2.12%","5.29%","0.00%","-",""
"Horiz. %","102.70%","102.70%","102.70%","103.06%","105.29%","100.00%","-",""
"NP Margin","12.69    %","12.69    %","12.69    %","8.94    %","11.90    %","11.36    %","-     %","-"
"YoY %","0.00%","0.00%","41.95%","-24.87%","4.75%","0.00%","-",""
"Horiz. %","111.71%","111.71%","111.71%","78.70%","104.75%","100.00%","-",""
"ROE","10.04    %","10.04    %","10.04    %","6.39    %","8.98    %","9.69    %","-     %","-"
"YoY %","0.00%","0.00%","57.12%","-28.84%","-7.33%","0.00%","-",""
"Horiz. %","103.61%","103.61%","103.61%","65.94%","92.67%","100.00%","-",""
"RPS","71.65","71.65","71.65","61.23","64.98","70.73","-","-"
"YoY %","0.00%","0.00%","17.02%","-5.77%","-8.13%","0.00%","-",""
"Horiz. %","101.30%","101.30%","101.30%","86.57%","91.87%","100.00%","-",""
"EPS","9.06","9.06","9.06","5.51","7.81","9.64","0.00","-"
"YoY %","0.00%","0.00%","64.43%","-29.45%","-18.98%","0.00%","-",""
"Horiz. %","93.98%","93.98%","93.98%","57.16%","81.02%","100.00%","-",""
"DPS","5.50","0.00","5.50","5.00","5.00","4.00","0.00","-"
"YoY %","0.00%","0.00%","10.00%","0.00%","25.00%","0.00%","-",""
"Horiz. %","137.50%","0.00%","137.50%","125.00%","125.00%","100.00%","-",""
"NAPS","0.9030","0.9030","0.9030","0.8687","0.8700","0.8342","0.0000","-"
"YoY %","0.00%","0.00%","3.95%","-0.15%","4.29%","0.00%","-",""
"Horiz. %","108.25%","108.25%","108.25%","104.14%","104.29%","100.00%","-",""
"RPS","69.88","69.88","69.88","59.93","64.98","67.18","-","-"
"YoY %","0.00%","0.00%","16.60%","-7.77%","-3.27%","0.00%","-",""
"Horiz. %","104.02%","104.02%","104.02%","89.21%","96.73%","100.00%","-",""
"EPS","8.84","8.84","8.84","5.43","7.81","7.68","0.00","-"
"YoY %","0.00%","0.00%","62.80%","-30.47%","1.69%","0.00%","-",""
"Horiz. %","115.10%","115.10%","115.10%","70.70%","101.69%","100.00%","-",""
"DPS","5.36","0.00","5.36","4.89","5.00","3.80","0.00","-"
"YoY %","0.00%","0.00%","9.61%","-2.20%","31.58%","0.00%","-",""
"Horiz. %","141.05%","0.00%","141.05%","128.68%","131.58%","100.00%","-",""
"NAPS","0.8807","0.8807","0.8807","0.8502","0.8700","0.7923","0.0000","-"
"YoY %","0.00%","0.00%","3.59%","-2.28%","9.81%","0.00%","-",""
"Horiz. %","111.16%","111.16%","111.16%","107.31%","109.81%","100.00%","-",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","30/06/16","-","-"
"Price","1.1600","1.1600","1.1600","0.8700","1.6100","1.6000","0.0000","-"
"P/RPS","1.62","1.62","1.62","1.42","2.48","2.26","0.00","-"
"YoY %","0.00%","0.00%","14.08%","-42.74%","9.73%","0.00%","-",""
"Horiz. %","71.68%","71.68%","71.68%","62.83%","109.73%","100.00%","-",""
"P/EPS","12.80","12.80","12.80","15.67","20.62","19.79","0.00","-"
"YoY %","0.00%","0.00%","-18.32%","-24.01%","4.19%","0.00%","-",""
"Horiz. %","64.68%","64.68%","64.68%","79.18%","104.19%","100.00%","-",""
"EY","7.81","7.81","7.81","6.38","4.85","5.05","0.00","-"
"YoY %","0.00%","0.00%","22.41%","31.55%","-3.96%","0.00%","-",""
"Horiz. %","154.65%","154.65%","154.65%","126.34%","96.04%","100.00%","-",""
"DY","4.74","0.00","4.74","5.75","3.11","2.50","0.00","-"
"YoY %","0.00%","0.00%","-17.57%","84.89%","24.40%","0.00%","-",""
"Horiz. %","189.60%","0.00%","189.60%","230.00%","124.40%","100.00%","-",""
"P/NAPS","1.28","1.28","1.28","1.00","1.85","1.92","0.00","-"
"YoY %","0.00%","0.00%","28.00%","-45.95%","-3.65%","0.00%","-",""
"Horiz. %","66.67%","66.67%","66.67%","52.08%","96.35%","100.00%","-",""
"Date","AQR","T4Q","23/08/19","23/08/18","23/08/17","25/08/16","-","-"
