Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","0","0","0","14,086","194,152","230,337","297,840","412,286","386,032","335,921","301,023","-"
"YoY %","0.00%","0.00%","0.00%","-92.74%","-15.71%","-22.66%","-27.76%","6.80%","14.92%","11.59%","-",""
"Horiz. %","0.00%","0.00%","0.00%","4.68%","64.50%","76.52%","98.94%","136.96%","128.24%","111.59%","100.00%",""
"PBT","-16,724","-144,897","-142,427","-86,708","-62,350","26,564","57,623","104,313","94,824","90,098","82,272","-"
"YoY %","88.46%","-1.73%","-64.26%","-39.07%","-334.72%","-53.90%","-44.76%","10.01%","5.25%","9.51%","-",""
"Horiz. %","-20.33%","-176.12%","-173.12%","-105.39%","-75.79%","32.29%","70.04%","126.79%","115.26%","109.51%","100.00%",""
"Tax","-4","0","1","1","-2,806","-9,751","-15,913","-26,634","-24,968","-23,039","-21,042","-"
"YoY %","0.00%","0.00%","0.00%","100.04%","71.22%","38.72%","40.25%","-6.67%","-8.37%","-9.49%","-",""
"Horiz. %","0.02%","-0.00%","-0.00%","-0.00%","13.34%","46.34%","75.62%","126.58%","118.66%","109.49%","100.00%",""
"NP","-16,728","-144,897","-142,426","-86,707","-65,156","16,813","41,710","77,679","69,856","67,059","61,230","-"
"YoY %","88.46%","-1.73%","-64.26%","-33.08%","-487.53%","-59.69%","-46.30%","11.20%","4.17%","9.52%","-",""
"Horiz. %","-27.32%","-236.64%","-232.61%","-141.61%","-106.41%","27.46%","68.12%","126.86%","114.09%","109.52%","100.00%",""
"NP to SH","-16,728","-144,897","-142,426","-86,707","-65,156","16,813","41,710","77,679","69,856","67,059","61,230","-"
"YoY %","88.46%","-1.73%","-64.26%","-33.08%","-487.53%","-59.69%","-46.30%","11.20%","4.17%","9.52%","-",""
"Horiz. %","-27.32%","-236.64%","-232.61%","-141.61%","-106.41%","27.46%","68.12%","126.86%","114.09%","109.52%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","36.71    %","27.62    %","25.53    %","26.33    %","25.57    %","25.58    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","32.91%","8.19%","-3.04%","2.97%","-0.04%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","143.51%","107.97%","99.80%","102.93%","99.96%","100.00%",""
"Total Cost","16,728","144,897","142,426","100,793","259,308","213,524","256,130","334,607","316,176","268,862","239,793","-6.30%"
"YoY %","-88.46%","1.73%","41.31%","-61.13%","21.44%","-16.63%","-23.45%","5.83%","17.60%","12.12%","-",""
"Horiz. %","6.98%","60.43%","59.40%","42.03%","108.14%","89.05%","106.81%","139.54%","131.85%","112.12%","100.00%",""
"Net Worth","263,248","263,248","263,248","410,890","513,071","497,155","462,956","379,380","315,349","205,145","151,309","7.16%"
"YoY %","0.00%","0.00%","-35.93%","-19.92%","3.20%","7.39%","22.03%","20.30%","53.72%","35.58%","-",""
"Horiz. %","173.98%","173.98%","173.98%","271.56%","339.09%","328.57%","305.97%","250.73%","208.41%","135.58%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","263,248","263,248","263,248","410,890","513,071","497,155","462,956","379,380","315,349","205,145","151,309","7.16%"
"YoY %","0.00%","0.00%","-35.93%","-19.92%","3.20%","7.39%","22.03%","20.30%","53.72%","35.58%","-",""
"Horiz. %","173.98%","173.98%","173.98%","271.56%","339.09%","328.57%","305.97%","250.73%","208.41%","135.58%","100.00%",""
"NOSH","398,860","398,860","398,860","398,923","397,729","397,724","399,100","399,347","399,177","336,303","336,243","2.16%"
"YoY %","0.00%","0.00%","-0.02%","0.30%","0.00%","-0.34%","-0.06%","0.04%","18.70%","0.02%","-",""
"Horiz. %","118.62%","118.62%","118.62%","118.64%","118.29%","118.28%","118.69%","118.77%","118.72%","100.02%","100.00%",""
"NP Margin","0.00    %","0.00    %","0.00    %","-615.55    %","-33.56    %","7.30    %","14.00    %","18.84    %","18.10    %","19.96    %","20.34    %","-"
"YoY %","0.00%","0.00%","0.00%","-1,734.18%","-559.73%","-47.86%","-25.69%","4.09%","-9.32%","-1.87%","-",""
"Horiz. %","0.00%","0.00%","0.00%","-3,026.30%","-165.00%","35.89%","68.83%","92.63%","88.99%","98.13%","100.00%",""
"ROE","-6.35    %","-55.04    %","-54.10    %","-21.10    %","-12.70    %","3.38    %","9.01    %","20.48    %","22.15    %","32.69    %","40.47    %","-"
"YoY %","88.46%","-1.74%","-156.40%","-66.14%","-475.74%","-62.49%","-56.01%","-7.54%","-32.24%","-19.22%","-",""
"Horiz. %","-15.69%","-136.00%","-133.68%","-52.14%","-31.38%","8.35%","22.26%","50.61%","54.73%","80.78%","100.00%",""
"RPS","-","-","-","3.53","48.82","57.91","74.63","103.24","96.71","99.89","89.53","-"
"YoY %","0.00%","0.00%","0.00%","-92.77%","-15.70%","-22.40%","-27.71%","6.75%","-3.18%","11.57%","-",""
"Horiz. %","0.00%","0.00%","0.00%","3.94%","54.53%","64.68%","83.36%","115.31%","108.02%","111.57%","100.00%",""
"EPS","-4.20","-36.33","-35.71","-21.74","-16.38","4.22","10.45","19.45","17.50","19.94","18.21","-"
"YoY %","88.44%","-1.74%","-64.26%","-32.72%","-488.15%","-59.62%","-46.27%","11.14%","-12.24%","9.50%","-",""
"Horiz. %","-23.06%","-199.51%","-196.10%","-119.38%","-89.95%","23.17%","57.39%","106.81%","96.10%","109.50%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.6600","0.6600","0.6600","1.0300","1.2900","1.2500","1.1600","0.9500","0.7900","0.6100","0.4500","4.90%"
"YoY %","0.00%","0.00%","-35.92%","-20.16%","3.20%","7.76%","22.11%","20.25%","29.51%","35.56%","-",""
"Horiz. %","146.67%","146.67%","146.67%","228.89%","286.67%","277.78%","257.78%","211.11%","175.56%","135.56%","100.00%",""
"RPS","-","-","-","3.52","48.54","57.58","74.46","103.07","96.51","83.98","75.26","-"
"YoY %","0.00%","0.00%","0.00%","-92.75%","-15.70%","-22.67%","-27.76%","6.80%","14.92%","11.59%","-",""
"Horiz. %","0.00%","0.00%","0.00%","4.68%","64.50%","76.51%","98.94%","136.95%","128.24%","111.59%","100.00%",""
"EPS","-4.18","-36.22","-35.61","-21.68","-16.29","4.20","10.43","19.42","17.46","16.76","15.31","-"
"YoY %","88.46%","-1.71%","-64.25%","-33.09%","-487.86%","-59.73%","-46.29%","11.23%","4.18%","9.47%","-",""
"Horiz. %","-27.30%","-236.58%","-232.59%","-141.61%","-106.40%","27.43%","68.13%","126.85%","114.04%","109.47%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.6581","0.6581","0.6581","1.0272","1.2827","1.2429","1.1574","0.9485","0.7884","0.5129","0.3783","7.16%"
"YoY %","0.00%","0.00%","-35.93%","-19.92%","3.20%","7.39%","22.02%","20.31%","53.71%","35.58%","-",""
"Horiz. %","173.96%","173.96%","173.96%","271.53%","339.07%","328.55%","305.95%","250.73%","208.41%","135.58%","100.00%",""
"Date","AQR","T4Q","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","-","-","-"
"Price","0.0200","0.0200","0.0150","0.0250","0.0850","0.1950","0.2950","0.3200","0.3700","0.0000","0.0000","-"
"P/RPS","0.00","0.00","0.00","0.71","0.17","0.34","0.40","0.31","0.38","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","317.65%","-50.00%","-15.00%","29.03%","-18.42%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","186.84%","44.74%","89.47%","105.26%","81.58%","100.00%","-","-",""
"P/EPS","-0.48","-0.06","-0.04","-0.12","-0.52","4.61","2.82","1.65","2.11","0.00","0.00","-"
"YoY %","-700.00%","-50.00%","66.67%","76.92%","-111.28%","63.48%","70.91%","-21.80%","0.00%","0.00%","-",""
"Horiz. %","-22.75%","-2.84%","-1.90%","-5.69%","-24.64%","218.48%","133.65%","78.20%","100.00%","-","-",""
