F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"T4Q","28-Jun-2019","30-Apr-2019","3","559,474","28,252","20,595","20,595","2,729","376,448","13.25%","3.68%","5.47%","272,789","205.09","204.10","7.55","7.51","1.00","1.00","1.3800","1.37",""," -28.61%","30-Apr-2019","0.68","0.33","9.01","0.49","11.10%","1.47%","28-Jun-2019","0.685","0.33","9.07","0.50","11.02%","1.46%"
"31-Jul-2018","28-Sep-2018","31-Jul-2018","4","546,601","35,976","28,836","28,836","2,729","360,288","9.47%","5.28%","8.00%","272,946","200.26","199.40","10.56","10.52","1.00","1.00","1.3200","1.31",""," -16.28%","31-Jul-2018","0.80","0.40","7.57","0.61","13.21%","1.25%","28-Sep-2018","0.85","0.42","8.05","0.64","12.43%","1.18%"
"31-Jul-2017","29-Sep-2017","31-Jul-2017","4","500,590","46,751","34,442","34,442","2,734","336,315","7.94%","6.88%","10.24%","273,427","183.08","182.62","12.60","12.56","1.00","1.00","1.2300","1.23",""," 13.47%","31-Jul-2017","1.20","0.66","9.53","0.98","10.50%","0.83%","29-Sep-2017","1.13","0.62","8.97","0.92","11.15%","0.88%"
"31-Jul-2016","30-Sep-2016","31-Jul-2016","4","472,731","37,608","30,354","30,354","-","304,087","- %","6.42%","9.98%","273,953","172.56","172.46","11.08","11.07","0.00","0.00","1.1100","1.11",""," 53.27%","29-Jul-2016","0.77","0.45","6.95","0.69","14.39%","0.00%","30-Sep-2016","0.805","0.47","7.27","0.73","13.76%","0.00%"
"31-Jul-2015","30-Sep-2015","31-Jul-2015","4","485,730","26,690","19,804","19,804","5,341","279,392","26.97%","4.08%","7.09%","273,914","177.33","177.20","7.23","7.22","1.95","1.95","1.0200","1.02",""," -31.71%","31-Jul-2015","0.72","0.41","9.96","0.71","10.04%","2.71%","30-Sep-2015","0.64","0.36","8.85","0.63","11.30%","3.05%"
"31-Jul-2014","30-Sep-2014","31-Jul-2014","4","490,132","39,948","28,999","28,999","-","266,095","- %","5.92%","10.90%","271,526","180.51","178.80","10.68","10.58","0.00","0.00","0.9800","0.97",""," -8.27%","31-Jul-2014","1.73","0.96","16.20","1.77","6.17%","0.00%","30-Sep-2014","0.79","0.44","7.40","0.81","13.52%","0.00%"
"31-Jul-2013","30-Sep-2013","31-Jul-2013","4","511,833","38,903","31,614","31,614","-","245,492","- %","6.18%","12.88%","136,384","375.29","186.72","23.18","11.53","0.00","0.00","1.8000","0.90",""," 19.72%","31-Jul-2013","1.14","0.30","4.92","0.63","20.33%","0.00%","30-Sep-2013","1.23","0.33","5.31","0.68","18.85%","0.00%"
"31-Jul-2012","27-Sep-2012","31-Jul-2012","4","456,411","33,295","26,406","26,406","-","221,078","- %","5.79%","11.94%","134,803","338.57","166.50","18.96","9.63","0.00","0.00","1.6400","0.81",""," -24.38%","31-Jul-2012","0.78","0.23","3.98","0.48","25.11%","0.00%","27-Sep-2012","0.83","0.25","4.24","0.51","23.60%","0.00%"
"31-Jul-2011","29-Sep-2011","31-Jul-2011","4","419,177","42,072","34,918","34,918","-","191,929","- %","8.33%","18.19%","132,365","316.68","152.92","26.38","12.74","0.00","0.00","1.4500","0.70",""," 69.28%","29-Jul-2011","0.76","0.24","2.88","0.52","34.71%","0.00%","29-Sep-2011","0.64","0.20","2.43","0.44","41.22%","0.00%"
"31-Jul-2010","29-Sep-2010","31-Jul-2010","4","334,835","27,367","20,627","20,627","-","162,224","- %","6.16%","12.72%","127,735","262.13","122.15","16.15","7.52","0.00","0.00","1.2700","0.59",""," 126.42%","30-Jul-2010","0.65","0.25","4.03","0.51","24.84%","0.00%","29-Sep-2010","0.66","0.25","4.09","0.52","24.47%","0.00%"
"31-Jul-2009","28-Sep-2009","31-Jul-2009","4","319,876","12,795","9,110","9,110","3,474","146,686","38.14%","2.85%","6.21%","128,672","248.60","116.69","7.08","3.32","2.70","1.27","1.1400","0.54",""," -65.84%","31-Jul-2009","0.51","0.21","7.20","0.45","13.88%","5.29%","28-Sep-2009","0.54","0.22","7.63","0.47","13.11%","5.00%"

