Column1,AQR,T4Q,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/03/13,31/03/12,31/03/11,31/03/10,31/03/09,CAGR
"Revenue","141,852","115,189","219,051","682,789","477,604","473,866","398,802","355,339","367,759","383,948","376,421","187,248","1.76%"
"YoY %","23.15%","-47.41%","-67.92%","42.96%","0.79%","18.82%","12.23%","-3.38%","-4.22%","2.00%","101.03%","-",""
"Horiz. %","75.76%","61.52%","116.98%","364.64%","255.06%","253.07%","212.98%","189.77%","196.40%","205.05%","201.03%","100.00%",""
"PBT","2,161","6,378","2,397","-13,439","-24,487","5,609","6,041","6,900","5,434","22,306","7,875","5,639","-9.06%"
"YoY %","-66.11%","166.08%","117.84%","45.12%","-536.57%","-7.15%","-12.45%","26.98%","-75.64%","183.25%","39.65%","-",""
"Horiz. %","38.33%","113.11%","42.51%","-238.32%","-434.24%","99.47%","107.13%","122.36%","96.36%","395.57%","139.65%","100.00%",""
"Tax","-1,161","-39","-782","-475","-6,923","2,444","-3,271","-3,595","-5,333","-5,116","-2,476","-235","14.28%"
"YoY %","-2,877.78%","95.01%","-64.63%","93.14%","-383.27%","174.72%","9.01%","32.59%","-4.24%","-106.62%","-953.62%","-",""
"Horiz. %","494.18%","16.60%","332.77%","202.13%","2,945.96%","-1,040.00%","1,391.91%","1,529.79%","2,269.36%","2,177.02%","1,053.62%","100.00%",""
"NP","1,000","6,339","1,615","-13,914","-31,410","8,053","2,770","3,305","101","17,190","5,399","5,404","-12.55%"
"YoY %","-84.22%","292.51%","111.61%","55.70%","-490.04%","190.72%","-16.19%","3,172.28%","-99.41%","218.39%","-0.09%","-",""
"Horiz. %","18.50%","117.30%","29.89%","-257.48%","-581.24%","149.02%","51.26%","61.16%","1.87%","318.10%","99.91%","100.00%",""
"NP to SH","1,214","6,505","4,929","-11,676","-36,083","6,039","-1,506","-819","-9,486","9,536","364","4,103","2.06%"
"YoY %","-81.33%","31.97%","142.21%","67.64%","-697.50%","501.00%","-83.88%","91.37%","-199.48%","2,519.78%","-91.13%","-",""
"Horiz. %","29.60%","158.54%","120.13%","-284.57%","-879.43%","147.18%","-36.70%","-19.96%","-231.20%","232.42%","8.87%","100.00%",""
"Tax Rate","53.73    %","0.61    %","32.62    %","-     %","-     %","-43.57    %","54.15    %","52.10    %","98.14    %","22.94    %","31.44    %","4.17    %","25.66%"
"YoY %","8,708.20%","-98.13%","0.00%","0.00%","0.00%","-180.46%","3.93%","-46.91%","327.81%","-27.04%","653.96%","-",""
"Horiz. %","1,288.49%","14.63%","782.25%","0.00%","0.00%","-1,044.84%","1,298.56%","1,249.40%","2,353.48%","550.12%","753.96%","100.00%",""
"Total Cost","140,852","108,850","217,436","696,703","509,014","465,813","396,032","352,034","367,658","366,758","371,022","181,844","2.00%"
"YoY %","29.40%","-49.94%","-68.79%","36.87%","9.27%","17.62%","12.50%","-4.25%","0.25%","-1.15%","104.03%","-",""
"Horiz. %","77.46%","59.86%","119.57%","383.13%","279.92%","256.16%","217.79%","193.59%","202.18%","201.69%","204.03%","100.00%",""
"Net Worth","74,774","74,774","71,898","49,983","46,324","62,184","58,001","62,448","61,130","65,203","4,978","64,424","1.23%"
"YoY %","0.00%","4.00%","43.84%","7.90%","-25.50%","7.21%","-7.12%","2.16%","-6.25%","1,209.71%","-92.27%","-",""
"Horiz. %","116.06%","116.06%","111.60%","77.58%","71.91%","96.52%","90.03%","96.93%","94.89%","101.21%","7.73%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","74,774","74,774","71,898","49,983","46,324","62,184","58,001","62,448","61,130","65,203","4,978","64,424","1.23%"
"YoY %","0.00%","4.00%","43.84%","7.90%","-25.50%","7.21%","-7.12%","2.16%","-6.25%","1,209.71%","-92.27%","-",""
"Horiz. %","116.06%","116.06%","111.60%","77.58%","71.91%","96.52%","90.03%","96.93%","94.89%","101.21%","7.73%","100.00%",""
"NOSH","287,594","287,594","287,594","217,320","178,172","101,942","101,756","102,374","101,884","101,880","8,161","103,910","11.97%"
"YoY %","0.00%","0.00%","32.34%","21.97%","74.78%","0.18%","-0.60%","0.48%","0.00%","1,148.31%","-92.15%","-",""
"Horiz. %","276.77%","276.77%","276.77%","209.14%","171.47%","98.11%","97.93%","98.52%","98.05%","98.05%","7.85%","100.00%",""
"NP Margin","0.70    %","5.50    %","0.74    %","-2.04    %","-6.58    %","1.70    %","0.69    %","0.93    %","0.03    %","4.48    %","1.43    %","2.89    %","-14.04%"
"YoY %","-87.27%","643.24%","136.27%","69.00%","-487.06%","146.38%","-25.81%","3,000.00%","-99.33%","213.29%","-50.52%","-",""
"Horiz. %","24.22%","190.31%","25.61%","-70.59%","-227.68%","58.82%","23.88%","32.18%","1.04%","155.02%","49.48%","100.00%",""
"ROE","1.62    %","8.70    %","6.86    %","-23.36    %","-77.89    %","9.71    %","-2.60    %","-1.31    %","-15.52    %","14.63    %","7.31    %","6.37    %","0.83%"
"YoY %","-81.38%","26.82%","129.37%","70.01%","-902.16%","473.46%","-98.47%","91.56%","-206.08%","100.14%","14.76%","-",""
"Horiz. %","25.43%","136.58%","107.69%","-366.72%","-1,222.76%","152.43%","-40.82%","-20.57%","-243.64%","229.67%","114.76%","100.00%",""
"RPS","49.32","40.05","76.17","314.19","268.06","464.84","391.92","347.10","360.96","376.86","4,612.19","180.20","-9.12%"
"YoY %","23.15%","-47.42%","-75.76%","17.21%","-42.33%","18.61%","12.91%","-3.84%","-4.22%","-91.83%","2,459.48%","-",""
"Horiz. %","27.37%","22.23%","42.27%","174.36%","148.76%","257.96%","217.49%","192.62%","200.31%","209.13%","2,559.48%","100.00%",""
"EPS","0.43","2.26","1.71","-5.37","-20.25","5.61","-1.48","-0.80","-9.31","9.36","0.36","4.03","-9.08%"
"YoY %","-80.97%","32.16%","131.84%","73.48%","-460.96%","479.05%","-85.00%","91.41%","-199.47%","2,500.00%","-91.07%","-",""
"Horiz. %","10.67%","56.08%","42.43%","-133.25%","-502.48%","139.21%","-36.72%","-19.85%","-231.02%","232.26%","8.93%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.2600","0.2600","0.2500","0.2300","0.2600","0.6100","0.5700","0.6100","0.6000","0.6400","0.6100","0.6200","-9.59%"
"YoY %","0.00%","4.00%","8.70%","-11.54%","-57.38%","7.02%","-6.56%","1.67%","-6.25%","4.92%","-1.61%","-",""
"Horiz. %","41.94%","41.94%","40.32%","37.10%","41.94%","98.39%","91.94%","98.39%","96.77%","103.23%","98.39%","100.00%",""
"RPS","48.98","39.78","75.64","235.78","164.92","163.63","137.71","122.70","126.99","132.58","129.98","64.66","1.76%"
"YoY %","23.13%","-47.41%","-67.92%","42.97%","0.79%","18.82%","12.23%","-3.38%","-4.22%","2.00%","101.02%","-",""
"Horiz. %","75.75%","61.52%","116.98%","364.65%","255.06%","253.06%","212.98%","189.76%","196.40%","205.04%","201.02%","100.00%",""
"EPS","0.42","2.25","1.70","-4.03","-12.46","2.09","-0.52","-0.28","-3.28","3.29","0.13","1.42","2.02%"
"YoY %","-81.33%","32.35%","142.18%","67.66%","-696.17%","501.92%","-85.71%","91.46%","-199.70%","2,430.77%","-90.85%","-",""
"Horiz. %","29.58%","158.45%","119.72%","-283.80%","-877.46%","147.18%","-36.62%","-19.72%","-230.99%","231.69%","9.15%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.2582","0.2582","0.2483","0.1726","0.1600","0.2147","0.2003","0.2156","0.2111","0.2252","0.0172","0.2225","1.23%"
"YoY %","0.00%","3.99%","43.86%","7.88%","-25.48%","7.19%","-7.10%","2.13%","-6.26%","1,209.30%","-92.27%","-",""
"Horiz. %","116.04%","116.04%","111.60%","77.57%","71.91%","96.49%","90.02%","96.90%","94.88%","101.21%","7.73%","100.00%",""
"Date","AQR","T4Q","30/03/18","31/03/17","31/03/16","31/03/15","31/03/14","29/03/13","30/03/12","31/03/11","31/03/10","31/03/09","-"
"Price","0.1300","0.1300","0.1350","0.2400","0.2700","0.3100","0.3150","0.2950","0.3700","0.3400","0.3900","0.1800","-"
"P/RPS","0.26","0.32","0.18","0.08","0.10","0.07","0.08","0.08","0.10","0.09","0.01","0.10","6.74%"
"YoY %","-18.75%","77.78%","125.00%","-20.00%","42.86%","-12.50%","0.00%","-20.00%","11.11%","800.00%","-90.00%","-",""
"Horiz. %","260.00%","320.00%","180.00%","80.00%","100.00%","70.00%","80.00%","80.00%","100.00%","90.00%","10.00%","100.00%",""
"P/EPS","30.78","5.75","7.88","-4.47","-1.33","5.23","-21.28","-36.88","-3.97","3.63","8.74","4.56","6.26%"
"YoY %","435.30%","-27.03%","276.29%","-236.09%","-125.43%","124.58%","42.30%","-828.97%","-209.37%","-58.47%","91.67%","-",""
"Horiz. %","675.00%","126.10%","172.81%","-98.03%","-29.17%","114.69%","-466.67%","-808.77%","-87.06%","79.61%","191.67%","100.00%",""
"EY","3.25","17.40","12.70","-22.39","-75.01","19.11","-4.70","-2.71","-25.16","27.53","11.44","21.94","-5.89%"
"YoY %","-81.32%","37.01%","156.72%","70.15%","-492.52%","506.60%","-73.43%","89.23%","-191.39%","140.65%","-47.86%","-",""
"Horiz. %","14.81%","79.31%","57.89%","-102.05%","-341.89%","87.10%","-21.42%","-12.35%","-114.68%","125.48%","52.14%","100.00%",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.50","0.50","0.54","1.04","1.04","0.51","0.55","0.48","0.62","0.53","0.64","0.29","7.15%"
"YoY %","0.00%","-7.41%","-48.08%","0.00%","103.92%","-7.27%","14.58%","-22.58%","16.98%","-17.19%","120.69%","-",""
"Horiz. %","172.41%","172.41%","186.21%","358.62%","358.62%","175.86%","189.66%","165.52%","213.79%","182.76%","220.69%","100.00%",""
"Date","AQR","T4Q","31/05/18","25/05/17","31/05/16","28/05/15","28/05/14","31/05/13","31/05/12","26/05/11","27/05/10","27/05/09","-"
"Price","0.1400","0.1400","0.1250","0.2300","0.2350","0.2250","0.3200","0.3700","0.3400","0.3800","0.3500","0.2700","-"
"P/RPS","0.28","0.35","0.16","0.07","0.09","0.05","0.08","0.11","0.09","0.10","0.01","0.15","0.72%"
"YoY %","-20.00%","118.75%","128.57%","-22.22%","80.00%","-37.50%","-27.27%","22.22%","-10.00%","900.00%","-93.33%","-",""
"Horiz. %","186.67%","233.33%","106.67%","46.67%","60.00%","33.33%","53.33%","73.33%","60.00%","66.67%","6.67%","100.00%",""
"P/EPS","33.15","6.19","7.29","-4.28","-1.16","3.80","-21.62","-46.25","-3.65","4.06","7.85","6.84","0.71%"
"YoY %","435.54%","-15.09%","270.33%","-268.97%","-130.53%","117.58%","53.25%","-1,167.12%","-189.90%","-48.28%","14.77%","-",""
"Horiz. %","484.65%","90.50%","106.58%","-62.57%","-16.96%","55.56%","-316.08%","-676.17%","-53.36%","59.36%","114.77%","100.00%",""
