Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"21/08/2019","1.57","1.85","+0.28 (17.83%)","BUY","HLG"
"21/08/2019","1.57","1.95","+0.38 (24.20%)","BUY","AmInvest"
"05/07/2019","1.62","2.00","+0.38 (23.46%)","BUY","HLG"
"20/06/2019","1.68","2.00","+0.32 (19.05%)","BUY","HLG"
"14/06/2019","1.78","2.05","+0.27 (15.17%)","BUY","AmInvest"
"16/05/2019","1.72","2.15","+0.43 (25.00%)","TRADING BUY","Rakuten"
"16/05/2019","1.76","2.15","+0.39 (22.16%)","TRADING BUY","KENANGA"
"29/03/2019","1.62","2.05","+0.43 (26.54%)","BUY","HLG"
"15/03/2019","1.60","2.05","+0.45 (28.13%)","BUY","HLG"
"15/03/2019","1.60","2.05","+0.45 (28.13%)","BUY","AmInvest"

