F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2018","27-Aug-2018","30-Jun-2018","2","561,912","203,452","157,558","157,558","-","2,634,589","- %","28.04%","5.98%","1,017,216","55.24","54.16","15.44","15.19","0.00","0.00","2.5900","2.54"," 8.63%"," -18.48%","29-Jun-2018","0.84","1.52","5.42","0.32","18.44%","0.00%","27-Aug-2018","0.855","1.55","5.52","0.33","18.12%","0.00%"
"31-Dec-2018","28-May-2018","31-Mar-2018","1","529,872","186,652","145,044","145,044","-","2,610,047","- %","27.37%","5.56%","1,023,548","51.77","51.07","14.16","13.98","0.00","0.00","2.5500","2.52"," -34.16%"," -33.39%","30-Mar-2018","0.95","1.84","6.70","0.37","14.92%","0.00%","28-May-2018","0.91","1.76","6.42","0.36","15.57%","0.00%"
"31-Dec-2017","28-Feb-2018","31-Dec-2017","4","697,548","281,683","220,306","220,306","-","2,563,055","- %","31.58%","8.60%","1,025,222","68.04","67.23","21.49","21.23","0.00","0.00","2.5000","2.47"," 27.62%"," -29.95%","29-Dec-2017","1.07","1.57","4.98","0.43","20.08%","0.00%","28-Feb-2018","1.02","1.50","4.75","0.41","21.07%","0.00%"
"31-Dec-2017","29-Nov-2017","30-Sep-2017","3","597,873","222,558","172,621","172,621","-","2,475,103","- %","28.87%","6.97%","1,027,014","58.21","57.63","16.80","16.64","0.00","0.00","2.4100","2.39"," -10.69%"," -13.97%","29-Sep-2017","1.27","2.18","7.56","0.53","13.23%","0.00%","29-Nov-2017","1.18","2.03","7.02","0.49","14.24%","0.00%"
"31-Dec-2017","28-Aug-2017","30-Jun-2017","2","615,640","248,314","193,274","193,274","-","2,450,426","- %","31.39%","7.89%","1,029,591","59.79","59.34","18.78","18.63","0.00","0.00","2.3800","2.36"," -11.24%"," 1.79%","30-Jun-2017","1.23","2.06","6.55","0.52","15.26%","0.00%","28-Aug-2017","1.24","2.07","6.61","0.52","15.14%","0.00%"
"31-Dec-2017","30-May-2017","31-Mar-2017","1","669,740","280,944","217,752","217,752","-","2,427,768","- %","32.51%","8.97%","1,037,508","64.55","64.55","21.00","20.99","0.00","0.00","2.3400","2.34"," -30.77%"," 25.55%","31-Mar-2017","1.27","1.97","6.05","0.54","16.53%","0.00%","30-May-2017","1.21","1.87","5.77","0.52","17.35%","0.00%"
"31-Dec-2016","27-Feb-2017","31-Dec-2016","4","689,061","386,467","314,517","314,517","-","2,347,465","- %","45.64%","13.40%","1,029,590","66.93","66.41","30.98","30.31","0.00","0.00","2.2800","2.26"," 56.75%"," 17.51%","30-Dec-2016","1.01","1.51","3.31","0.44","30.25%","0.00%","27-Feb-2017","1.13","1.69","3.70","0.50","27.03%","0.00%"
"31-Dec-2016","28-Nov-2016","30-Sep-2016","3","610,273","260,717","200,646","200,646","-","2,169,696","- %","32.88%","9.25%","1,023,442","59.63","58.82","19.85","19.34","0.00","0.00","2.1200","2.09"," 5.67%"," -25.65%","30-Sep-2016","1.11","1.86","5.66","0.52","17.66%","0.00%","28-Nov-2016","1.06","1.78","5.41","0.50","18.50%","0.00%"
"31-Dec-2016","26-Aug-2016","30-Jun-2016","2","586,416","245,664","189,872","189,872","-","2,107,458","- %","32.38%","9.01%","1,003,551","58.43","56.52","18.92","18.30","0.00","0.00","2.1000","2.03"," 9.48%"," -37.45%","30-Jun-2016","1.12","1.92","5.92","0.53","16.89%","0.00%","26-Aug-2016","1.12","1.92","5.92","0.53","16.89%","0.00%"
"31-Dec-2016","26-May-2016","31-Mar-2016","1","615,332","224,484","173,436","173,436","-","2,052,793","- %","28.19%","8.45%","1,001,362","61.45","59.31","17.32","16.72","0.00","0.00","2.0500","1.98"," -35.20%"," -47.43%","31-Mar-2016","1.32","2.15","7.62","0.64","13.12%","0.00%","26-May-2016","1.13","1.84","6.52","0.55","15.33%","0.00%"
"31-Dec-2015","26-Feb-2016","31-Dec-2015","4","686,108","342,373","267,640","267,640","-","1,981,791","- %","39.01%","13.50%","981,085","69.93","66.13","27.28","25.80","0.00","0.00","2.0200","1.91"," -0.82%"," -21.82%","31-Dec-2015","1.33","1.90","4.88","0.66","20.51%","0.00%","26-Feb-2016","1.30","1.86","4.77","0.64","20.98%","0.00%"
"31-Dec-2015","27-Nov-2015","30-Sep-2015","3","787,501","355,269","269,857","269,857","-","1,897,434","- %","34.27%","14.22%","958,300","82.18","75.90","28.16","26.01","0.00","0.00","1.9800","1.83"," -11.10%"," -3.79%","30-Sep-2015","1.54","1.87","5.47","0.78","18.29%","0.00%","27-Nov-2015","1.45","1.76","5.15","0.73","19.42%","0.00%"
"31-Dec-2015","28-Aug-2015","30-Jun-2015","2","881,002","402,016","303,558","303,558","37,826","1,891,327","12.46%","34.46%","16.05%","945,663","93.16","84.92","32.10","29.26","4.00","3.65","2.0000","1.82"," -7.99%"," 8.23%","30-Jun-2015","1.73","1.86","5.39","0.87","18.55%","2.31%","28-Aug-2015","1.43","1.53","4.45","0.72","22.45%","2.80%"
"31-Dec-2015","29-May-2015","31-Mar-2015","1","1,055,324","438,952","329,936","329,936","-","1,804,922","- %","31.26%","18.28%","935,192","112.85","101.72","35.28","31.80","0.00","0.00","1.9300","1.74"," -3.62%"," 35.14%","31-Mar-2015","2.17","1.92","6.15","1.12","16.26%","0.00%","29-May-2015","1.78","1.58","5.05","0.92","19.82%","0.00%"
"31-Dec-2014","27-Feb-2015","31-Dec-2014","4","801,026","431,800","342,317","342,317","21,089","856,214","6.16%","42.73%","39.98%","421,780","189.92","77.21","43.85","32.99","5.00","2.03","2.0300","0.83"," 22.05%"," 88.57%","31-Dec-2014","1.87","0.98","2.30","0.92","43.40%","2.67%","27-Feb-2015","2.19","1.15","2.70","1.08","37.06%","2.28%"
"31-Dec-2014","28-Nov-2014","30-Sep-2014","3","845,926","368,414","280,481","280,481","25,812","1,498,429","9.20%","33.16%","18.72%","387,191","218.48","81.53","72.44","27.03","6.67","2.49","3.8700","1.44"," 0.01%"," 14.99%","30-Sep-2014","4.68","2.14","6.46","1.21","15.48%","1.42%","28-Nov-2014","4.54","2.08","6.27","1.17","15.96%","1.47%"
"31-Dec-2014","26-Aug-2014","30-Jun-2014","2","856,020","368,284","280,464","280,464","-","1,429,755","- %","32.76%","19.62%","386,420","221.53","82.51","72.58","27.03","0.00","0.00","3.7000","1.38"," 14.88%"," 22.43%","30-Jun-2014","2.27","1.02","3.13","0.61","31.97%","0.00%","26-Aug-2014","3.83","1.73","5.28","1.04","18.95%","0.00%"
"31-Dec-2014","28-May-2014","31-Mar-2014","1","831,672","321,476","244,136","244,136","-","1,348,156","- %","29.35%","18.11%","386,291","215.30","80.16","63.20","23.53","0.00","0.00","3.4900","1.30"," 34.49%"," 27.53%","31-Mar-2014","2.11","0.98","3.34","0.60","29.95%","0.00%","28-May-2014","2.16","1.00","3.42","0.62","29.26%","0.00%"
"31-Dec-2013","26-Feb-2014","31-Dec-2013","4","680,004","255,449","181,530","181,530","-","1,290,732","- %","26.70%","14.06%","386,446","175.96","65.54","46.98","17.50","0.00","0.00","3.3400","1.24"," -25.58%"," 42.03%","31-Dec-2013","2.20","1.25","4.68","0.66","21.35%","0.00%","26-Feb-2014","2.42","1.38","5.15","0.72","19.41%","0.00%"
"31-Dec-2013","27-Nov-2013","30-Sep-2013","3","754,558","323,246","243,914","243,914","-","1,290,676","- %","32.33%","18.90%","386,430","195.26","72.73","63.12","23.51","0.00","0.00","3.3400","1.24"," 6.48%"," 97.50%","30-Sep-2013","2.10","1.08","3.33","0.63","30.06%","0.00%","27-Nov-2013","2.04","1.04","3.23","0.61","30.94%","0.00%"
"31-Dec-2013","28-Aug-2013","30-Jun-2013","2","698,240","300,800","229,080","229,080","-","1,221,141","- %","32.81%","18.76%","386,437","180.69","67.30","59.28","22.08","0.00","0.00","3.1600","1.18"," 19.67%"," 127.93%","28-Jun-2013","2.00","1.11","3.37","0.63","29.64%","0.00%","28-Aug-2013","1.93","1.07","3.26","0.61","30.72%","0.00%"
"31-Dec-2013","30-May-2013","31-Mar-2013","1","536,380","250,340","191,428","191,428","-","1,154,902","- %","35.69%","16.58%","386,255","138.87","51.70","49.56","18.45","0.00","0.00","2.9900","1.11"," 49.78%"," 89.36%","29-Mar-2013","2.03","1.46","4.10","0.68","24.41%","0.00%","30-May-2013","2.20","1.58","4.44","0.74","22.53%","0.00%"
"31-Dec-2012","27-Feb-2013","31-Dec-2012","4","402,870","173,018","127,807","127,807","-","1,109,059","- %","31.72%","11.52%","386,431","104.25","38.83","33.08","12.32","0.00","0.00","2.8700","1.07"," 3.48%"," 53.87%","31-Dec-2012","1.44","1.38","4.35","0.50","22.97%","0.00%","27-Feb-2013","1.66","1.59","5.02","0.58","19.92%","0.00%"
"31-Dec-2012","27-Nov-2012","30-Sep-2012","3","368,838","167,128","123,504","123,504","-","1,039,504","- %","33.48%","11.88%","386,433","95.45","35.55","31.96","11.90","0.00","0.00","2.6900","1.00"," 22.88%"," 28.73%","28-Sep-2012","1.40","1.47","4.38","0.52","22.83%","0.00%","27-Nov-2012","1.45","1.52","4.54","0.54","22.04%","0.00%"
"31-Dec-2012","28-Aug-2012","30-Jun-2012","2","315,914","137,198","100,504","100,504","-","997,308","- %","31.81%","10.08%","386,553","81.73","30.45","26.00","9.69","0.00","0.00","2.5800","0.96"," -0.58%"," 19.82%","29-Jun-2012","1.40","1.71","5.38","0.54","18.57%","0.00%","28-Aug-2012","1.42","1.74","5.46","0.55","18.31%","0.00%"
"31-Dec-2012","29-May-2012","31-Mar-2012","1","298,028","138,724","101,092","101,092","-","969,957","- %","33.92%","10.42%","386,437","77.12","28.73","26.16","9.74","0.00","0.00","2.5100","0.93"," 21.71%"," 96.39%","30-Mar-2012","1.41","1.83","5.39","0.56","18.55%","0.00%","29-May-2012","1.35","1.75","5.16","0.54","19.38%","0.00%"
