Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"10/09/2019","4.88","5.47","+0.59 (12.09%)","BUY","MACQUARIE GROUP"
"10/09/2019","4.11","4.25","+0.14 (3.41%)","TRADING SELL","BIMB"
"10/09/2019","4.11","4.25","+0.14 (3.41%)","SELL","AffinHwang"
"06/09/2019","4.80","4.85","+0.05 (1.04%)","HOLD","HLG"
"30/08/2019","5.04","4.00","-1.04 (20.63%)","HOLD","PUBLIC BANK"
"30/08/2019","5.04","4.68","-0.36 (7.14%)","HOLD","MIDF"
"30/08/2019","5.04","5.00","-0.04 (0.79%)","BUY","MACQUARIE GROUP"
"30/08/2019","5.04","4.80","-0.24 (4.76%)","HOLD","KENANGA"
"30/08/2019","5.04","4.95","-0.09 (1.79%)","HOLD","JF APEX"
"30/08/2019","5.04","4.85","-0.19 (3.77%)","HOLD","HLG"

