Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"29/08/2019","6.95","6.66","-0.29 (4.17%)","HOLD","PUBLIC BANK"
"29/08/2019","6.95","7.46","+0.51 (7.34%)","HOLD","MIDF"
"29/08/2019","6.95","6.30","-0.65 (9.35%)","SELL","KENANGA"
"29/08/2019","6.95","6.00","-0.95 (13.67%)","SELL","HLG"
"29/08/2019","6.95","7.15","+0.20 (2.88%)","HOLD","BIMB"
"29/08/2019","6.95","8.50","+1.55 (22.30%)","BUY","AffinHwang"
"31/07/2019","6.88","8.00","+1.12 (16.28%)","BUY","AffinHwang"
"02/07/2019","6.83","6.66","-0.17 (2.49%)","HOLD","PUBLIC BANK"
"06/06/2019","6.85","6.00","-0.85 (12.41%)","SELL","HLG"
"31/05/2019","6.82","6.61","-0.21 (3.08%)","HOLD","PUBLIC BANK"

