Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","132,912","184,152","203,427","176,000","201,476","180,733","150,419","147,208","132,803","122,150","120,378","6.77%"
"YoY %","-27.82%","-9.48%","15.58%","-12.64%","11.48%","20.15%","2.18%","10.85%","8.72%","1.47%","-",""
"Horiz. %","110.41%","152.98%","168.99%","146.21%","167.37%","150.14%","124.96%","122.29%","110.32%","101.47%","100.00%",""
"PBT","-4,184","23,156","37,750","15,493","25,257","36,317","17,295","15,349","8,384","15,329","10,793","16.93%"
"YoY %","-118.07%","-38.66%","143.66%","-38.66%","-30.45%","109.99%","12.68%","83.07%","-45.31%","42.03%","-",""
"Horiz. %","-38.77%","214.55%","349.76%","143.55%","234.01%","336.49%","160.24%","142.21%","77.68%","142.03%","100.00%",""
"Tax","358","-6,452","-9,334","-3,091","-6,076","-4,595","-1,263","-213","3,216","-1,609","-576","41.61%"
"YoY %","105.55%","30.88%","-201.97%","49.13%","-32.23%","-263.82%","-492.96%","-106.62%","299.88%","-179.34%","-",""
"Horiz. %","-62.15%","1,120.14%","1,620.49%","536.63%","1,054.86%","797.74%","219.27%","36.98%","-558.33%","279.34%","100.00%",""
"NP","-3,826","16,704","28,416","12,402","19,181","31,722","16,032","15,136","11,600","13,720","10,217","13.63%"
"YoY %","-122.90%","-41.22%","129.12%","-35.34%","-39.53%","97.87%","5.92%","30.48%","-15.45%","34.29%","-",""
"Horiz. %","-37.45%","163.49%","278.12%","121.39%","187.74%","310.48%","156.91%","148.15%","113.54%","134.29%","100.00%",""
"NP to SH","-3,826","16,704","28,416","12,402","19,181","31,722","16,032","15,136","11,600","13,720","10,217","13.63%"
"YoY %","-122.90%","-41.22%","129.12%","-35.34%","-39.53%","97.87%","5.92%","30.48%","-15.45%","34.29%","-",""
"Horiz. %","-37.45%","163.49%","278.12%","121.39%","187.74%","310.48%","156.91%","148.15%","113.54%","134.29%","100.00%",""
"Tax Rate","-     %","27.86    %","24.73    %","19.95    %","24.06    %","12.65    %","7.30    %","1.39    %","-38.36    %","10.50    %","5.34    %","21.10%"
"YoY %","0.00%","12.66%","23.96%","-17.08%","90.20%","73.29%","425.18%","103.62%","-465.33%","96.63%","-",""
"Horiz. %","0.00%","521.72%","463.11%","373.60%","450.56%","236.89%","136.70%","26.03%","-718.35%","196.63%","100.00%",""
"Total Cost","136,738","167,448","175,011","163,598","182,295","149,011","134,387","132,072","121,203","108,430","110,161","5.95%"
"YoY %","-18.34%","-4.32%","6.98%","-10.26%","22.34%","10.88%","1.75%","8.97%","11.78%","-1.57%","-",""
"Horiz. %","124.13%","152.00%","158.87%","148.51%","165.48%","135.27%","121.99%","119.89%","110.02%","98.43%","100.00%",""
"Net Worth","176,979","176,979","185,043","172,343","159,959","146,543","130,031","122,808","115,584","106,225","101,897","7.74%"
"YoY %","0.00%","-4.36%","7.37%","7.74%","9.15%","12.70%","5.88%","6.25%","8.81%","4.25%","-",""
"Horiz. %","173.68%","173.68%","181.60%","169.14%","156.98%","143.82%","127.61%","120.52%","113.43%","104.25%","100.00%",""
"Div","10,230","13,434","16,633","-","6,192","15,480","8,256","8,256","-","12,717","-","-"
"YoY %","-23.85%","-19.23%","0.00%","0.00%","-60.00%","87.50%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","80.44%","105.64%","130.79%","0.00%","48.69%","121.72%","64.92%","64.92%","0.00%","100.00%","-",""
"Div Payout %","-     %","80.42    %","58.53    %","-     %","32.28    %","48.80    %","51.50    %","54.55    %","-     %","92.69    %","-     %","-"
"YoY %","0.00%","37.40%","0.00%","0.00%","-33.85%","-5.24%","-5.59%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","86.76%","63.15%","0.00%","34.83%","52.65%","55.56%","58.85%","0.00%","100.00%","-",""
"Net Worth","176,979","176,979","185,043","172,343","159,959","146,543","130,031","122,808","115,584","106,225","101,897","7.74%"
"YoY %","0.00%","-4.36%","7.37%","7.74%","9.15%","12.70%","5.88%","6.25%","8.81%","4.25%","-",""
"Horiz. %","173.68%","173.68%","181.60%","169.14%","156.98%","143.82%","127.61%","120.52%","113.43%","104.25%","100.00%",""
"NOSH","102,300","102,300","103,957","103,200","103,200","103,200","103,200","103,200","103,200","99,275","90,979","1.68%"
"YoY %","0.00%","-1.59%","0.73%","0.00%","0.00%","0.00%","0.00%","0.00%","3.95%","9.12%","-",""
"Horiz. %","112.44%","112.44%","114.26%","113.43%","113.43%","113.43%","113.43%","113.43%","113.43%","109.12%","100.00%",""
"NP Margin","-2.88    %","9.07    %","13.97    %","7.05    %","9.52    %","17.55    %","10.66    %","10.28    %","8.73    %","11.23    %","8.49    %","6.42%"
"YoY %","-131.75%","-35.08%","98.16%","-25.95%","-45.75%","64.63%","3.70%","17.75%","-22.26%","32.27%","-",""
"Horiz. %","-33.92%","106.83%","164.55%","83.04%","112.13%","206.71%","125.56%","121.08%","102.83%","132.27%","100.00%",""
"ROE","-2.16    %","9.44    %","15.36    %","7.20    %","11.99    %","21.65    %","12.33    %","12.32    %","10.04    %","12.92    %","10.03    %","5.47%"
"YoY %","-122.88%","-38.54%","113.33%","-39.95%","-44.62%","75.59%","0.08%","22.71%","-22.29%","28.81%","-",""
"Horiz. %","-21.54%","94.12%","153.14%","71.78%","119.54%","215.85%","122.93%","122.83%","100.10%","128.81%","100.00%",""
"RPS","129.92","180.01","195.68","170.54","195.23","175.13","145.75","142.64","128.69","123.04","132.31","5.01%"
"YoY %","-27.83%","-8.01%","14.74%","-12.65%","11.48%","20.16%","2.18%","10.84%","4.59%","-7.01%","-",""
"Horiz. %","98.19%","136.05%","147.90%","128.89%","147.55%","132.36%","110.16%","107.81%","97.26%","92.99%","100.00%",""
"EPS","-3.74","16.33","27.48","12.02","18.59","30.74","15.53","14.67","11.24","13.81","11.23","11.83%"
"YoY %","-122.90%","-40.57%","128.62%","-35.34%","-39.53%","97.94%","5.86%","30.52%","-18.61%","22.97%","-",""
"Horiz. %","-33.30%","145.41%","244.70%","107.03%","165.54%","273.73%","138.29%","130.63%","100.09%","122.97%","100.00%",""
"DPS","10.00","13.00","16.00","0.00","6.00","15.00","8.00","8.00","0.00","12.81","0.00","-"
"YoY %","-23.08%","-18.75%","0.00%","0.00%","-60.00%","87.50%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","78.06%","101.48%","124.90%","0.00%","46.84%","117.10%","62.45%","62.45%","0.00%","100.00%","-",""
"NAPS","1.7300","1.7300","1.7800","1.6700","1.5500","1.4200","1.2600","1.1900","1.1200","1.0700","1.1200","5.96%"
"YoY %","0.00%","-2.81%","6.59%","7.74%","9.15%","12.70%","5.88%","6.25%","4.67%","-4.46%","-",""
"Horiz. %","154.46%","154.46%","158.93%","149.11%","138.39%","126.79%","112.50%","106.25%","100.00%","95.54%","100.00%",""
"RPS","124.51","172.52","190.57","164.88","188.75","169.31","140.92","137.91","124.41","114.43","112.77","6.77%"
"YoY %","-27.83%","-9.47%","15.58%","-12.65%","11.48%","20.15%","2.18%","10.85%","8.72%","1.47%","-",""
"Horiz. %","110.41%","152.98%","168.99%","146.21%","167.38%","150.14%","124.96%","122.29%","110.32%","101.47%","100.00%",""
"EPS","-3.58","15.65","26.62","11.62","17.97","29.72","15.02","14.18","10.87","12.85","9.57","13.63%"
"YoY %","-122.88%","-41.21%","129.09%","-35.34%","-39.54%","97.87%","5.92%","30.45%","-15.41%","34.27%","-",""
"Horiz. %","-37.41%","163.53%","278.16%","121.42%","187.77%","310.55%","156.95%","148.17%","113.58%","134.27%","100.00%",""
"DPS","9.58","12.59","15.58","0.00","5.80","14.50","7.73","7.73","0.00","11.91","0.00","-"
"YoY %","-23.91%","-19.19%","0.00%","0.00%","-60.00%","87.58%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","80.44%","105.71%","130.81%","0.00%","48.70%","121.75%","64.90%","64.90%","0.00%","100.00%","-",""
"NAPS","1.6580","1.6580","1.7335","1.6146","1.4985","1.3729","1.2182","1.1505","1.0828","0.9951","0.9546","7.74%"
