Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","117,522","122,741","135,239","137,488","119,195","0","-","-"
"YoY %","-4.25%","-9.24%","-1.64%","15.35%","0.00%","-","-",""
"Horiz. %","98.60%","102.97%","113.46%","115.35%","100.00%","-","-",""
"PBT","10,904","12,308","13,610","17,062","13,220","0","-","-"
"YoY %","-11.41%","-9.57%","-20.23%","29.06%","0.00%","-","-",""
"Horiz. %","82.48%","93.10%","102.95%","129.06%","100.00%","-","-",""
"Tax","-2,148","-3,335","-3,544","-3,144","-3,837","0","-","-"
"YoY %","35.59%","5.90%","-12.72%","18.06%","0.00%","-","-",""
"Horiz. %","55.98%","86.92%","92.36%","81.94%","100.00%","-","-",""
"NP","8,756","8,973","10,066","13,918","9,383","0","-","-"
"YoY %","-2.42%","-10.86%","-27.68%","48.33%","0.00%","-","-",""
"Horiz. %","93.32%","95.63%","107.28%","148.33%","100.00%","-","-",""
"NP to SH","8,756","8,973","10,066","13,918","9,166","0","-","-"
"YoY %","-2.42%","-10.86%","-27.68%","51.84%","0.00%","-","-",""
"Horiz. %","95.53%","97.89%","109.82%","151.84%","100.00%","-","-",""
"Tax Rate","19.70    %","27.10    %","26.04    %","18.43    %","29.02    %","-     %","-   %","-"
"YoY %","-27.31%","4.07%","41.29%","-36.49%","0.00%","-","-",""
"Horiz. %","67.88%","93.38%","89.73%","63.51%","100.00%","-","-",""
"Total Cost","108,766","113,768","125,173","123,570","109,812","0","-","-"
"YoY %","-4.40%","-9.11%","1.30%","12.53%","0.00%","-","-",""
"Horiz. %","99.05%","103.60%","113.99%","112.53%","100.00%","-","-",""
"Net Worth","105,907","105,907","104,579","102,920","94,619","-","-","-"
"YoY %","0.00%","1.27%","1.61%","8.77%","0.00%","-","-",""
"Horiz. %","111.93%","111.93%","110.53%","108.77%","100.00%","-","-",""
"Div","-","0","8,300","-","3,320","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","250.00%","0.00%","100.00%","-","-",""
"Div Payout %","-     %","-     %","82.46    %","-     %","36.22    %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","227.66%","0.00%","100.00%","-","-",""
"Net Worth","105,907","105,907","104,579","102,920","94,619","-","-","-"
"YoY %","0.00%","1.27%","1.61%","8.77%","0.00%","-","-",""
"Horiz. %","111.93%","111.93%","110.53%","108.77%","100.00%","-","-",""
"NOSH","182,600","182,600","166,000","166,000","166,000","-","-","-"
"YoY %","0.00%","10.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","110.00%","110.00%","100.00%","100.00%","100.00%","-","-",""
"NP Margin","7.45    %","7.31    %","7.44    %","10.12    %","7.87    %","-     %","-   %","-"
"YoY %","1.92%","-1.75%","-26.48%","28.59%","0.00%","-","-",""
"Horiz. %","94.66%","92.88%","94.54%","128.59%","100.00%","-","-",""
"ROE","8.27    %","8.47    %","9.63    %","13.52    %","9.69    %","-     %","-   %","-"
"YoY %","-2.36%","-12.05%","-28.77%","39.53%","0.00%","-","-",""
"Horiz. %","85.35%","87.41%","99.38%","139.53%","100.00%","-","-",""
"RPS","64.36","67.22","81.47","82.82","71.80","-","-","-"
"YoY %","-4.25%","-17.49%","-1.63%","15.35%","0.00%","-","-",""
"Horiz. %","89.64%","93.62%","113.47%","115.35%","100.00%","-","-",""
"EPS","4.82","4.91","6.06","8.38","5.52","0.00","-","-"
"YoY %","-1.83%","-18.98%","-27.68%","51.81%","0.00%","-","-",""
"Horiz. %","87.32%","88.95%","109.78%","151.81%","100.00%","-","-",""
"DPS","0.00","0.00","5.00","0.00","2.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","250.00%","0.00%","100.00%","-","-",""
"NAPS","0.5800","0.5800","0.6300","0.6200","0.5700","0.0000","-","-"
"YoY %","0.00%","-7.94%","1.61%","8.77%","0.00%","-","-",""
"Horiz. %","101.75%","101.75%","110.53%","108.77%","100.00%","-","-",""
"RPS","64.36","67.22","74.06","75.29","65.28","-","-","-"
"YoY %","-4.25%","-9.24%","-1.63%","15.33%","0.00%","-","-",""
"Horiz. %","98.59%","102.97%","113.45%","115.33%","100.00%","-","-",""
"EPS","4.82","4.91","5.51","7.62","5.02","0.00","-","-"
"YoY %","-1.83%","-10.89%","-27.69%","51.79%","0.00%","-","-",""
"Horiz. %","96.02%","97.81%","109.76%","151.79%","100.00%","-","-",""
"DPS","0.00","0.00","4.55","0.00","1.82","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","250.00%","0.00%","100.00%","-","-",""
"NAPS","0.5800","0.5800","0.5727","0.5636","0.5182","0.0000","-","-"
"YoY %","0.00%","1.27%","1.61%","8.76%","0.00%","-","-",""
"Horiz. %","111.93%","111.93%","110.52%","108.76%","100.00%","-","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","-","-","-"
"Price","0.7500","0.7500","0.8350","0.9650","0.9850","0.0000","-","-"
"P/RPS","1.17","1.12","1.02","1.17","1.37","0.00","-","-"
"YoY %","4.46%","9.80%","-12.82%","-14.60%","0.00%","-","-",""
"Horiz. %","85.40%","81.75%","74.45%","85.40%","100.00%","-","-",""
"P/EPS","15.64","15.26","13.77","11.51","17.84","0.00","-","-"
"YoY %","2.49%","10.82%","19.64%","-35.48%","0.00%","-","-",""
"Horiz. %","87.67%","85.54%","77.19%","64.52%","100.00%","-","-",""
"EY","6.39","6.55","7.26","8.69","5.61","0.00","-","-"
"YoY %","-2.44%","-9.78%","-16.46%","54.90%","0.00%","-","-",""
"Horiz. %","113.90%","116.76%","129.41%","154.90%","100.00%","-","-",""
"DY","0.00","0.00","5.99","0.00","2.03","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","295.07%","0.00%","100.00%","-","-",""
"P/NAPS","1.29","1.29","1.33","1.56","1.73","0.00","-","-"
"YoY %","0.00%","-3.01%","-14.74%","-9.83%","0.00%","-","-",""
"Horiz. %","74.57%","74.57%","76.88%","90.17%","100.00%","-","-",""
"Date","AQR","T4Q","26/02/19","26/02/18","21/02/17","-","-","-"
"Price","0.7500","0.7500","0.7500","0.9000","0.9750","0.0000","-","-"
"P/RPS","1.17","1.12","0.92","1.09","1.36","0.00","-","-"
"YoY %","4.46%","21.74%","-15.60%","-19.85%","0.00%","-","-",""
"Horiz. %","86.03%","82.35%","67.65%","80.15%","100.00%","-","-",""
"P/EPS","15.64","15.26","12.37","10.73","17.66","0.00","-","-"
"YoY %","2.49%","23.36%","15.28%","-39.24%","0.00%","-","-",""
"Horiz. %","88.56%","86.41%","70.05%","60.76%","100.00%","-","-",""
"EY","6.39","6.55","8.09","9.32","5.66","0.00","-","-"
"YoY %","-2.44%","-19.04%","-13.20%","64.66%","0.00%","-","-",""
"Horiz. %","112.90%","115.72%","142.93%","164.66%","100.00%","-","-",""
"DY","0.00","0.00","6.67","0.00","2.05","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","325.37%","0.00%","100.00%","-","-",""
"P/NAPS","1.29","1.29","1.19","1.45","1.71","0.00","-","-"
"YoY %","0.00%","8.40%","-17.93%","-15.20%","0.00%","-","-",""
"Horiz. %","75.44%","75.44%","69.59%","84.80%","100.00%","-","-",""

