Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"05/07/2019","3.93","3.75","-0.18 (4.58%)","HOLD","KENANGA"
"28/06/2019","3.72","4.26","+0.54 (14.52%)","BUY","PUBLIC BANK"
"28/06/2019","3.72","3.38","-0.34 (9.14%)","HOLD","MIDF"
"28/06/2019","3.71","3.75","+0.04 (1.08%)","HOLD","KENANGA"
"28/06/2019","3.72","3.40","-0.32 (8.60%)","HOLD","BIMB"
"28/06/2019","3.72","2.91","-0.81 (21.77%)","SELL","AmInvest"
"28/06/2019","3.72","4.08","+0.36 (9.68%)","HOLD","AffinHwang"
"26/06/2019","3.62","4.30","+0.68 (18.78%)","BUY","MACQUARIE GROUP"
"24/06/2019","3.83","3.93","+0.10 (2.61%)","HOLD","PUBLIC BANK"
"24/06/2019","3.83","3.38","-0.45 (11.75%)","HOLD","MIDF"

