Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"Net Worth","42,967","42,967","66,275","506,071","564,931","727,971","532,743","378,841","-29.42%"
"YoY %","0.00%","-35.17%","-86.90%","-10.42%","-22.40%","36.65%","40.62%","-",""
"Horiz. %","11.34%","11.34%","17.49%","133.58%","149.12%","192.16%","140.62%","100.00%",""
"NOSH","1,177,185","1,177,185","1,177,185","1,177,185","1,177,185","1,177,185","579,069","257,715","35.48%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","103.29%","124.69%","-",""
"Horiz. %","456.78%","456.78%","456.78%","456.78%","456.78%","456.78%","224.69%","100.00%",""
"NP Margin","-12.57    %","-230.14    %","-219.18    %","-26.37    %","-64.65    %","-136.28    %","18.61    %","33.92    %","-"
"YoY %","94.54%","-5.00%","-731.17%","59.21%","52.56%","-832.29%","-45.14%","-",""
"Horiz. %","-37.06%","-678.48%","-646.17%","-77.74%","-190.60%","-401.77%","54.86%","100.00%",""
"ROE","-53.29    %","-1,019.67    %","-663.85    %","-11.81    %","-27.04    %","-50.01    %","11.14    %","29.99    %","-"
"YoY %","94.77%","-53.60%","-5,521.08%","56.32%","45.93%","-548.92%","-62.85%","-",""
"Horiz. %","-177.69%","-3,400.03%","-2,213.57%","-39.38%","-90.16%","-166.76%","37.15%","100.00%",""
"RPS","15.62","16.18","16.97","17.38","19.28","22.64","55.07","129.94","-33.43%"
"YoY %","-3.46%","-4.66%","-2.36%","-9.85%","-14.84%","-58.89%","-57.62%","-",""
"Horiz. %","12.02%","12.45%","13.06%","13.38%","14.84%","17.42%","42.38%","100.00%",""
"EPS","1.94","-37.22","-37.37","-5.08","-12.98","-30.90","7.41","44.08","-"
"YoY %","105.21%","0.40%","-635.63%","60.86%","57.99%","-517.00%","-83.19%","-",""
"Horiz. %","4.40%","-84.44%","-84.78%","-11.52%","-29.45%","-70.10%","16.81%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.0365","0.0365","0.0563","0.4299","0.4799","0.6184","0.9200","1.4700","-47.91%"
"YoY %","0.00%","-35.17%","-86.90%","-10.42%","-22.40%","-32.78%","-37.41%","-",""
"Horiz. %","2.48%","2.48%","3.83%","29.24%","32.65%","42.07%","62.59%","100.00%",""
"RPS","15.62","16.18","16.97","17.38","19.28","22.64","27.09","28.45","-9.81%"
"YoY %","-3.46%","-4.66%","-2.36%","-9.85%","-14.84%","-16.43%","-4.78%","-",""
"Horiz. %","54.90%","56.87%","59.65%","61.09%","67.77%","79.58%","95.22%","100.00%",""
"EPS","1.94","-37.22","-37.37","-5.08","-12.98","-30.90","5.04","9.65","-"
"YoY %","105.21%","0.40%","-635.63%","60.86%","57.99%","-713.10%","-47.77%","-",""
"Horiz. %","20.10%","-385.70%","-387.25%","-52.64%","-134.51%","-320.21%","52.23%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.0365","0.0365","0.0563","0.4299","0.4799","0.6184","0.4526","0.3218","-29.42%"
"YoY %","0.00%","-35.17%","-86.90%","-10.42%","-22.40%","36.63%","40.65%","-",""
"Horiz. %","11.34%","11.34%","17.50%","133.59%","149.13%","192.17%","140.65%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","-","-"
"Price","0.0850","0.0850","0.0700","0.2300","0.3650","0.4300","0.7450","0.0000","-"
"P/RPS","0.54","0.53","0.41","1.32","1.89","1.90","1.35","0.00","-"
"YoY %","1.89%","29.27%","-68.94%","-30.16%","-0.53%","40.74%","0.00%","-",""
"Horiz. %","40.00%","39.26%","30.37%","97.78%","140.00%","140.74%","100.00%","-",""
"P/EPS","-4.37","-0.23","-0.19","-4.53","-2.81","-1.39","7.27","0.00","-"
"YoY %","-1,800.00%","-21.05%","95.81%","-61.21%","-102.16%","-119.12%","0.00%","-",""
"Horiz. %","-60.11%","-3.16%","-2.61%","-62.31%","-38.65%","-19.12%","100.00%","-",""
"EY","-22.88","-437.86","-533.92","-22.08","-35.55","-71.93","13.76","0.00","-"
"YoY %","94.77%","17.99%","-2,318.12%","37.89%","50.58%","-622.75%","0.00%","-",""
"Horiz. %","-166.28%","-3,182.12%","-3,880.23%","-160.47%","-258.36%","-522.75%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","2.33","2.33","1.24","0.54","0.76","0.70","0.81","0.00","-"
"YoY %","0.00%","87.90%","129.63%","-28.95%","8.57%","-13.58%","0.00%","-",""
"Horiz. %","287.65%","287.65%","153.09%","66.67%","93.83%","86.42%","100.00%","-",""
"Date","AQR","T4Q","27/02/19","27/02/18","27/02/17","29/02/16","11/03/15","-","-"
"Price","0.0500","0.0500","0.1000","0.2300","0.4650","0.3650","0.7250","0.0000","-"
"P/RPS","0.32","0.31","0.59","1.32","2.41","1.61","1.32","0.00","-"
"YoY %","3.23%","-47.46%","-55.30%","-45.23%","49.69%","21.97%","0.00%","-",""
"Horiz. %","24.24%","23.48%","44.70%","100.00%","182.58%","121.97%","100.00%","-",""
"P/EPS","-2.57","-0.13","-0.27","-4.53","-3.58","-1.18","7.07","0.00","-"
"YoY %","-1,876.92%","51.85%","94.04%","-26.54%","-203.39%","-116.69%","0.00%","-",""
"Horiz. %","-36.35%","-1.84%","-3.82%","-64.07%","-50.64%","-16.69%","100.00%","-",""
"EY","-38.90","-744.36","-373.74","-22.08","-27.90","-84.74","14.14","0.00","-"
"YoY %","94.77%","-99.17%","-1,592.66%","20.86%","67.08%","-699.29%","0.00%","-",""
"Horiz. %","-275.11%","-5,264.21%","-2,643.14%","-156.15%","-197.31%","-599.29%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","1.37","1.37","1.78","0.54","0.97","0.59","0.79","0.00","-"
"YoY %","0.00%","-23.03%","229.63%","-44.33%","64.41%","-25.32%","0.00%","-",""
"Horiz. %","173.42%","173.42%","225.32%","68.35%","122.78%","74.68%","100.00%","-",""

