Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","350,733","350,733","350,733","303,127","366,076","382,456","347,284","472,501","410,515","446,488","190,036","126,226","12.02%"
"YoY %","0.00%","0.00%","15.70%","-17.20%","-4.28%","10.13%","-26.50%","15.10%","-8.06%","134.95%","50.55%","-",""
"Horiz. %","277.86%","277.86%","277.86%","240.15%","290.02%","302.99%","275.13%","374.33%","325.22%","353.72%","150.55%","100.00%",""
"PBT","21,045","21,045","21,045","1,573","-75","13,911","42,157","55,832","37,916","29,719","19,073","9,976","8.64%"
"YoY %","0.00%","0.00%","1,237.89%","2,197.33%","-100.54%","-67.00%","-24.49%","47.25%","27.58%","55.82%","91.19%","-",""
"Horiz. %","210.96%","210.96%","210.96%","15.77%","-0.75%","139.44%","422.58%","559.66%","380.07%","297.90%","191.19%","100.00%",""
"Tax","-6,886","-6,886","-6,886","-4,945","-6,384","-6,279","-12,751","-16,339","-9,858","-7,436","-4,717","-1,675","17.00%"
"YoY %","0.00%","0.00%","-39.25%","22.54%","-1.67%","50.76%","21.96%","-65.74%","-32.57%","-57.64%","-181.61%","-",""
"Horiz. %","411.10%","411.10%","411.10%","295.22%","381.13%","374.87%","761.25%","975.46%","588.54%","443.94%","281.61%","100.00%",""
"NP","14,159","14,159","14,159","-3,372","-6,459","7,632","29,406","39,493","28,058","22,283","14,356","8,301","6.11%"
"YoY %","0.00%","0.00%","519.90%","47.79%","-184.63%","-74.05%","-25.54%","40.75%","25.92%","55.22%","72.94%","-",""
"Horiz. %","170.57%","170.57%","170.57%","-40.62%","-77.81%","91.94%","354.25%","475.76%","338.01%","268.44%","172.94%","100.00%",""
"NP to SH","15,474","15,474","15,474","-417","-4,300","10,113","30,096","39,215","27,898","22,194","13,522","8,017","7.58%"
"YoY %","0.00%","0.00%","3,810.79%","90.30%","-142.52%","-66.40%","-23.25%","40.57%","25.70%","64.13%","68.67%","-",""
"Horiz. %","193.01%","193.01%","193.01%","-5.20%","-53.64%","126.14%","375.40%","489.15%","347.99%","276.84%","168.67%","100.00%",""
"Tax Rate","32.72    %","32.72    %","32.72    %","314.37    %","-     %","45.14    %","30.25    %","29.26    %","26.00    %","25.02    %","24.73    %","16.79    %","7.69%"
"YoY %","0.00%","0.00%","-89.59%","0.00%","0.00%","49.22%","3.38%","12.54%","3.92%","1.17%","47.29%","-",""
"Horiz. %","194.88%","194.88%","194.88%","1,872.36%","0.00%","268.85%","180.17%","174.27%","154.85%","149.02%","147.29%","100.00%",""
"Total Cost","336,574","336,574","336,574","306,499","372,535","374,824","317,878","433,008","382,457","424,205","175,680","117,925","12.35%"
"YoY %","0.00%","0.00%","9.81%","-17.73%","-0.61%","17.91%","-26.59%","13.22%","-9.84%","141.46%","48.98%","-",""
"Horiz. %","285.41%","285.41%","285.41%","259.91%","315.91%","317.85%","269.56%","367.19%","324.32%","359.72%","148.98%","100.00%",""
"Net Worth","357,155","357,155","357,155","344,888","360,588","367,662","333,893","279,758","173,986","160,500","135,368","71,187","19.61%"
"YoY %","0.00%","0.00%","3.56%","-4.35%","-1.92%","10.11%","19.35%","60.79%","8.40%","18.57%","90.16%","-",""
"Horiz. %","501.71%","501.71%","501.71%","484.48%","506.54%","516.47%","469.04%","392.99%","244.41%","225.46%","190.16%","100.00%",""
"Div","-","0","-","-","-","-","11,748","5,827","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","101.60%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","201.60%","100.00%","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","39.04    %","14.86    %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","162.72%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","262.72%","100.00%","-","-","-","-",""
"Net Worth","357,155","357,155","357,155","344,888","360,588","367,662","333,893","279,758","173,986","160,500","135,368","71,187","19.61%"
"YoY %","0.00%","0.00%","3.56%","-4.35%","-1.92%","10.11%","19.35%","60.79%","8.40%","18.57%","90.16%","-",""
"Horiz. %","501.71%","501.71%","501.71%","484.48%","506.54%","516.47%","469.04%","392.99%","244.41%","225.46%","190.16%","100.00%",""
"NOSH","445,276","445,276","445,276","460,958","476,339","479,289","451,879","291,385","224,440","216,512","211,943","122,715","15.39%"
"YoY %","0.00%","0.00%","-3.40%","-3.23%","-0.62%","6.07%","55.08%","29.83%","3.66%","2.16%","72.71%","-",""
"Horiz. %","362.85%","362.85%","362.85%","375.63%","388.17%","390.57%","368.23%","237.45%","182.90%","176.43%","172.71%","100.00%",""
"NP Margin","4.04    %","4.04    %","4.04    %","-1.11    %","-1.76    %","2.00    %","8.47    %","8.36    %","6.83    %","4.99    %","7.55    %","6.58    %","-5.27%"
"YoY %","0.00%","0.00%","463.96%","36.93%","-188.00%","-76.39%","1.32%","22.40%","36.87%","-33.91%","14.74%","-",""
"Horiz. %","61.40%","61.40%","61.40%","-16.87%","-26.75%","30.40%","128.72%","127.05%","103.80%","75.84%","114.74%","100.00%",""
"ROE","4.33    %","4.33    %","4.33    %","-0.12    %","-1.19    %","2.75    %","9.01    %","14.02    %","16.03    %","13.83    %","9.99    %","11.26    %","-10.07%"
"YoY %","0.00%","0.00%","3,708.33%","89.92%","-143.27%","-69.48%","-35.73%","-12.54%","15.91%","38.44%","-11.28%","-",""
"Horiz. %","38.45%","38.45%","38.45%","-1.07%","-10.57%","24.42%","80.02%","124.51%","142.36%","122.82%","88.72%","100.00%",""
"RPS","78.77","78.77","78.77","65.76","76.85","79.80","76.85","162.16","182.91","206.22","89.66","102.86","-2.92%"
"YoY %","0.00%","0.00%","19.78%","-14.43%","-3.70%","3.84%","-52.61%","-11.34%","-11.30%","130.00%","-12.83%","-",""
"Horiz. %","76.58%","76.58%","76.58%","63.93%","74.71%","77.58%","74.71%","157.65%","177.82%","200.49%","87.17%","100.00%",""
"EPS","3.48","3.48","3.48","-0.09","-0.90","2.11","6.66","9.15","12.43","10.26","6.38","4.14","-1.91%"
"YoY %","0.00%","0.00%","3,966.67%","90.00%","-142.65%","-68.32%","-27.21%","-26.39%","21.15%","60.82%","54.11%","-",""
"Horiz. %","84.06%","84.06%","84.06%","-2.17%","-21.74%","50.97%","160.87%","221.01%","300.24%","247.83%","154.11%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","2.60","2.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","30.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","130.00%","100.00%","-","-","-","-",""
"NAPS","0.8021","0.8021","0.8021","0.7482","0.7570","0.7671","0.7389","0.9601","0.7752","0.7413","0.6387","0.5801","3.66%"
"YoY %","0.00%","0.00%","7.20%","-1.16%","-1.32%","3.82%","-23.04%","23.85%","4.57%","16.06%","10.10%","-",""
"Horiz. %","138.27%","138.27%","138.27%","128.98%","130.49%","132.24%","127.37%","165.51%","133.63%","127.79%","110.10%","100.00%",""
