Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,30/06/09,CAGR
"Revenue","70,041","71,805","81,187","66,016","73,603","105,404","108,423","105,168","76,484","86,403","76,567","83,017","-0.25%"
"YoY %","-2.46%","-11.56%","22.98%","-10.31%","-30.17%","-2.78%","3.10%","37.50%","-11.48%","12.85%","-7.77%","-",""
"Horiz. %","84.37%","86.49%","97.80%","79.52%","88.66%","126.97%","130.60%","126.68%","92.13%","104.08%","92.23%","100.00%",""
"PBT","1,469","1,388","7,073","8,062","11,312","12,876","11,323","9,293","6,535","10,167","10,310","8,528","-2.06%"
"YoY %","5.86%","-80.38%","-12.27%","-28.73%","-12.15%","13.72%","21.84%","42.20%","-35.72%","-1.39%","20.90%","-",""
"Horiz. %","17.23%","16.28%","82.94%","94.54%","132.65%","150.98%","132.77%","108.97%","76.63%","119.22%","120.90%","100.00%",""
"Tax","-542","-792","-1,339","-2,336","-2,007","-2,872","-2,181","-1,790","-1,440","-2,069","-2,032","-1,762","-3.00%"
"YoY %","31.48%","40.85%","42.68%","-16.39%","30.12%","-31.68%","-21.84%","-24.31%","30.40%","-1.82%","-15.32%","-",""
"Horiz. %","30.80%","44.95%","75.99%","132.58%","113.90%","163.00%","123.78%","101.59%","81.73%","117.42%","115.32%","100.00%",""
"NP","926","596","5,734","5,726","9,305","10,004","9,142","7,503","5,095","8,098","8,278","6,766","-1.82%"
"YoY %","55.48%","-89.61%","0.14%","-38.46%","-6.99%","9.43%","21.84%","47.26%","-37.08%","-2.17%","22.35%","-",""
"Horiz. %","13.70%","8.81%","84.75%","84.63%","137.53%","147.86%","135.12%","110.89%","75.30%","119.69%","122.35%","100.00%",""
"NP to SH","926","596","5,734","5,726","9,305","10,004","9,142","7,503","5,095","8,098","8,278","6,766","-1.82%"
"YoY %","55.48%","-89.61%","0.14%","-38.46%","-6.99%","9.43%","21.84%","47.26%","-37.08%","-2.17%","22.35%","-",""
"Horiz. %","13.70%","8.81%","84.75%","84.63%","137.53%","147.86%","135.12%","110.89%","75.30%","119.69%","122.35%","100.00%",""
"Tax Rate","36.93    %","57.06    %","18.93    %","28.98    %","17.74    %","22.31    %","19.26    %","19.26    %","22.04    %","20.35    %","19.71    %","20.66    %","-0.97%"
"YoY %","-35.28%","201.43%","-34.68%","63.36%","-20.48%","15.84%","0.00%","-12.61%","8.30%","3.25%","-4.60%","-",""
"Horiz. %","178.75%","276.19%","91.63%","140.27%","85.87%","107.99%","93.22%","93.22%","106.68%","98.50%","95.40%","100.00%",""
"Total Cost","69,114","71,209","75,453","60,290","64,298","95,400","99,281","97,665","71,389","78,305","68,289","76,251","-0.12%"
"YoY %","-2.94%","-5.62%","25.15%","-6.23%","-32.60%","-3.91%","1.65%","36.81%","-8.83%","14.67%","-10.44%","-",""
"Horiz. %","90.64%","93.39%","98.95%","79.07%","84.32%","125.11%","130.20%","128.08%","93.62%","102.69%","89.56%","100.00%",""
"Net Worth","129,600","129,600","131,199","129,600","125,600","119,200","110,399","103,999","99,200","96,023","91,177","86,374","4.75%"
"YoY %","0.00%","-1.22%","1.23%","3.18%","5.37%","7.97%","6.15%","4.84%","3.31%","5.31%","5.56%","-",""
"Horiz. %","150.04%","150.04%","151.90%","150.04%","145.41%","138.00%","127.82%","120.41%","114.85%","111.17%","105.56%","100.00%",""
"Div","-","2,800","2,800","2,800","2,800","2,800","2,800","2,800","2,800","2,800","2,799","2,799","0.00%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-0.02%","0.05%","0.01%","-",""
"Horiz. %","0.00%","100.03%","100.03%","100.03%","100.03%","100.03%","100.03%","100.03%","100.03%","100.05%","100.01%","100.00%",""
"Div Payout %","-     %","469.80    %","48.83    %","48.90    %","30.09    %","27.99    %","30.63    %","37.32    %","54.96    %","34.58    %","33.82    %","41.37    %","1.86%"
"YoY %","0.00%","862.11%","-0.14%","62.51%","7.50%","-8.62%","-17.93%","-32.10%","58.94%","2.25%","-18.25%","-",""
"Horiz. %","0.00%","1,135.61%","118.03%","118.20%","72.73%","67.66%","74.04%","90.21%","132.85%","83.59%","81.75%","100.00%",""
"Net Worth","129,600","129,600","131,199","129,600","125,600","119,200","110,399","103,999","99,200","96,023","91,177","86,374","4.75%"
"YoY %","0.00%","-1.22%","1.23%","3.18%","5.37%","7.97%","6.15%","4.84%","3.31%","5.31%","5.56%","-",""
"Horiz. %","150.04%","150.04%","151.90%","150.04%","145.41%","138.00%","127.82%","120.41%","114.85%","111.17%","105.56%","100.00%",""
"NOSH","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,019","79,980","79,976","0.00%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-0.02%","0.05%","0.01%","-",""
"Horiz. %","100.03%","100.03%","100.03%","100.03%","100.03%","100.03%","100.03%","100.03%","100.03%","100.05%","100.01%","100.00%",""
"NP Margin","1.32    %","0.83    %","7.06    %","8.67    %","12.64    %","9.49    %","8.43    %","7.13    %","6.66    %","9.37    %","10.81    %","8.15    %","-1.58%"
"YoY %","59.04%","-88.24%","-18.57%","-31.41%","33.19%","12.57%","18.23%","7.06%","-28.92%","-13.32%","32.64%","-",""
"Horiz. %","16.20%","10.18%","86.63%","106.38%","155.09%","116.44%","103.44%","87.48%","81.72%","114.97%","132.64%","100.00%",""
"ROE","0.72    %","0.46    %","4.37    %","4.42    %","7.41    %","8.39    %","8.28    %","7.21    %","5.14    %","8.43    %","9.08    %","7.83    %","-6.27%"
"YoY %","56.52%","-89.47%","-1.13%","-40.35%","-11.68%","1.33%","14.84%","40.27%","-39.03%","-7.16%","15.96%","-",""
"Horiz. %","9.20%","5.87%","55.81%","56.45%","94.64%","107.15%","105.75%","92.08%","65.64%","107.66%","115.96%","100.00%",""
"RPS","87.55","89.76","101.48","82.52","92.00","131.76","135.53","131.46","95.61","107.98","95.73","103.80","-0.25%"
"YoY %","-2.46%","-11.55%","22.98%","-10.30%","-30.18%","-2.78%","3.10%","37.50%","-11.46%","12.80%","-7.77%","-",""
"Horiz. %","84.34%","86.47%","97.76%","79.50%","88.63%","126.94%","130.57%","126.65%","92.11%","104.03%","92.23%","100.00%",""
"EPS","1.16","0.75","7.17","7.16","11.63","12.51","11.43","9.38","6.37","10.12","10.35","8.46","-1.82%"
"YoY %","54.67%","-89.54%","0.14%","-38.44%","-7.03%","9.45%","21.86%","47.25%","-37.06%","-2.22%","22.34%","-",""
"Horiz. %","13.71%","8.87%","84.75%","84.63%","137.47%","147.87%","135.11%","110.87%","75.30%","119.62%","122.34%","100.00%",""
"DPS","0.00","3.50","3.50","3.50","3.50","3.50","3.50","3.50","3.50","3.50","3.50","3.50","-"
