Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","1,263,677","1,263,677","1,263,677","1,081,602","996,193","1,643,188","1,077,849","1,245,502","799,156","613,596","0","-"
"YoY %","0.00%","0.00%","16.83%","8.57%","-39.37%","52.45%","-13.46%","55.85%","30.24%","0.00%","-",""
"Horiz. %","205.95%","205.95%","205.95%","176.27%","162.35%","267.80%","175.66%","202.98%","130.24%","100.00%","-",""
"PBT","505,850","505,850","505,850","656,061","929,364","645,286","460,704","577,914","414,179","481,798","0","-"
"YoY %","0.00%","0.00%","-22.90%","-29.41%","44.02%","40.07%","-20.28%","39.53%","-14.03%","0.00%","-",""
"Horiz. %","104.99%","104.99%","104.99%","136.17%","192.89%","133.93%","95.62%","119.95%","85.97%","100.00%","-",""
"Tax","-94,252","-94,252","-94,252","-129,283","-218,726","-157,253","-103,864","-172,232","-88,629","-78,887","0","-"
"YoY %","0.00%","0.00%","27.10%","40.89%","-39.09%","-51.40%","39.70%","-94.33%","-12.35%","0.00%","-",""
"Horiz. %","119.48%","119.48%","119.48%","163.88%","277.26%","199.34%","131.66%","218.33%","112.35%","100.00%","-",""
"NP","411,598","411,598","411,598","526,778","710,638","488,033","356,840","405,682","325,550","402,911","0","-"
"YoY %","0.00%","0.00%","-21.86%","-25.87%","45.61%","36.77%","-12.04%","24.61%","-19.20%","0.00%","-",""
"Horiz. %","102.16%","102.16%","102.16%","130.74%","176.38%","121.13%","88.57%","100.69%","80.80%","100.00%","-",""
"NP to SH","378,916","378,916","378,916","491,182","676,726","417,016","316,122","362,832","301,300","384,806","0","-"
"YoY %","0.00%","0.00%","-22.86%","-27.42%","62.28%","31.92%","-12.87%","20.42%","-21.70%","0.00%","-",""
"Horiz. %","98.47%","98.47%","98.47%","127.64%","175.86%","108.37%","82.15%","94.29%","78.30%","100.00%","-",""
"Tax Rate","18.63    %","18.63    %","18.63    %","19.71    %","23.54    %","24.37    %","22.54    %","29.80    %","21.40    %","16.37    %","-     %","-"
"YoY %","0.00%","0.00%","-5.48%","-16.27%","-3.41%","8.12%","-24.36%","39.25%","30.73%","0.00%","-",""
"Horiz. %","113.81%","113.81%","113.81%","120.40%","143.80%","148.87%","137.69%","182.04%","130.73%","100.00%","-",""
"Total Cost","852,079","852,079","852,079","554,824","285,555","1,155,155","721,009","839,820","473,606","210,685","0","-"
"YoY %","0.00%","0.00%","53.58%","94.30%","-75.28%","60.21%","-14.15%","77.32%","124.79%","0.00%","-",""
"Horiz. %","404.43%","404.43%","404.43%","263.34%","135.54%","548.29%","342.22%","398.61%","224.79%","100.00%","-",""
"Net Worth","4,683,094","4,683,094","4,683,094","4,280,790","3,817,347","3,048,104","2,651,613","2,363,472","2,021,736","0","-","-"
"YoY %","0.00%","0.00%","9.40%","12.14%","25.24%","14.95%","12.19%","16.90%","0.00%","0.00%","-",""
"Horiz. %","231.64%","231.64%","231.64%","211.74%","188.82%","150.77%","131.16%","116.90%","100.00%","-","-",""
"Div","258,123","258,123","258,123","259,967","244,701","220,877","179,536","168,819","147,035","-","-","-"
"YoY %","0.00%","0.00%","-0.71%","6.24%","10.79%","23.03%","6.35%","14.82%","0.00%","0.00%","-",""
"Horiz. %","175.55%","175.55%","175.55%","176.81%","166.42%","150.22%","122.10%","114.82%","100.00%","-","-",""
"Div Payout %","68.12    %","68.12    %","68.12    %","52.93    %","36.16    %","52.97    %","56.79    %","46.53    %","48.80    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","28.70%","46.38%","-31.73%","-6.73%","22.05%","-4.65%","0.00%","0.00%","-",""
"Horiz. %","139.59%","139.59%","139.59%","108.46%","74.10%","108.55%","116.37%","95.35%","100.00%","-","-",""
"Net Worth","4,683,094","4,683,094","4,683,094","4,280,790","3,817,347","3,048,104","2,651,613","2,363,472","2,021,736","0","-","-"
"YoY %","0.00%","0.00%","9.40%","12.14%","25.24%","14.95%","12.19%","16.90%","0.00%","0.00%","-",""
"Horiz. %","231.64%","231.64%","231.64%","211.74%","188.82%","150.77%","131.16%","116.90%","100.00%","-","-",""
"NOSH","1,843,738","1,843,738","1,843,738","1,733,113","1,631,345","1,472,514","1,381,048","1,298,611","1,225,294","276,838","-","-"
"YoY %","0.00%","0.00%","6.38%","6.24%","10.79%","6.62%","6.35%","5.98%","342.60%","0.00%","-",""
"Horiz. %","666.00%","666.00%","666.00%","626.04%","589.28%","531.90%","498.86%","469.09%","442.60%","100.00%","-",""
"NP Margin","32.57    %","32.57    %","32.57    %","48.70    %","71.34    %","29.70    %","33.11    %","32.57    %","40.74    %","65.66    %","-     %","-"
"YoY %","0.00%","0.00%","-33.12%","-31.74%","140.20%","-10.30%","1.66%","-20.05%","-37.95%","0.00%","-",""
"Horiz. %","49.60%","49.60%","49.60%","74.17%","108.65%","45.23%","50.43%","49.60%","62.05%","100.00%","-",""
"ROE","8.09    %","8.09    %","8.09    %","11.47    %","17.73    %","13.68    %","11.92    %","15.35    %","14.90    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","-29.47%","-35.31%","29.61%","14.77%","-22.35%","3.02%","0.00%","0.00%","-",""
"Horiz. %","54.30%","54.30%","54.30%","76.98%","118.99%","91.81%","80.00%","103.02%","100.00%","-","-",""
"RPS","68.54","68.54","68.54","62.41","61.07","111.59","78.05","95.91","65.22","221.64","-","-"
"YoY %","0.00%","0.00%","9.82%","2.19%","-45.27%","42.97%","-18.62%","47.06%","-70.57%","0.00%","-",""
"Horiz. %","30.92%","30.92%","30.92%","28.16%","27.55%","50.35%","35.21%","43.27%","29.43%","100.00%","-",""
"EPS","21.26","20.55","21.26","29.26","43.07","28.32","22.89","27.94","24.59","139.00","0.00","-"
"YoY %","3.45%","-3.34%","-27.34%","-32.06%","52.08%","23.72%","-18.07%","13.62%","-82.31%","0.00%","-",""
"Horiz. %","15.29%","14.78%","15.29%","21.05%","30.99%","20.37%","16.47%","20.10%","17.69%","100.00%","-",""
"DPS","14.00","14.00","14.00","15.00","15.00","15.00","13.00","13.00","12.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","-6.67%","0.00%","0.00%","15.38%","0.00%","8.33%","0.00%","0.00%","-",""
"Horiz. %","116.67%","116.67%","116.67%","125.00%","125.00%","125.00%","108.33%","108.33%","100.00%","-","-",""
"NAPS","2.5400","2.5400","2.5400","2.4700","2.3400","2.0700","1.9200","1.8200","1.6500","0.0000","1.5100","6.71%"
"YoY %","0.00%","0.00%","2.83%","5.56%","13.04%","7.81%","5.49%","10.30%","0.00%","0.00%","-",""
"Horiz. %","168.21%","168.21%","168.21%","163.58%","154.97%","137.09%","127.15%","120.53%","109.27%","0.00%","100.00%",""
"RPS","64.24","64.24","64.24","54.98","50.64","83.53","54.79","63.31","40.62","31.19","-","-"
"YoY %","0.00%","0.00%","16.84%","8.57%","-39.38%","52.45%","-13.46%","55.86%","30.23%","0.00%","-",""
