Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"12/09/2019","1.34","1.25","-0.09 (6.72%)","HOLD","AmInvest"
"23/08/2019","1.38","1.62","+0.24 (17.39%)","BUY","PUBLIC BANK"
"23/08/2019","1.38","1.54","+0.16 (11.59%)","BUY","MIDF"
"23/08/2019","1.38","1.40","+0.02 (1.45%)","HOLD","KENANGA"
"23/08/2019","1.38","1.58","+0.20 (14.49%)","BUY","HLG"
"22/08/2019","1.38","1.05","-0.33 (23.91%)","SELL","AmInvest"
"20/08/2019","1.38","1.45","+0.07 (5.07%)","HOLD","PUBLIC BANK"
"20/08/2019","1.38","1.54","+0.16 (11.59%)","BUY","MIDF"
"20/08/2019","1.38","1.40","+0.02 (1.45%)","HOLD","KENANGA"
"20/08/2019","1.38","1.66","+0.28 (20.29%)","BUY","HLG"

