Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"20/08/2019","2.06","2.21","+0.15 (7.28%)","BUY","MIDF"
"20/08/2019","2.02","1.45","-0.57 (28.22%)","SELL","KENANGA"
"20/08/2019","2.06","2.16","+0.10 (4.85%)","BUY","HLG"
"20/08/2019","2.06","1.20","-0.86 (41.75%)","SELL","AmInvest"
"19/08/2019","2.08","2.25","+0.17 (8.17%)","BUY","AffinHwang"
"05/07/2019","2.11","1.45","-0.66 (31.28%)","SELL","KENANGA"
"01/07/2019","2.05","2.21","+0.16 (7.80%)","BUY","MIDF"
"01/07/2019","2.05","1.45","-0.60 (29.27%)","SELL","KENANGA"
"01/07/2019","2.05","2.24","+0.19 (9.27%)","BUY","HLG"
"01/07/2019","2.05","2.15","+0.10 (4.88%)","HOLD","BIMB"

