Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"28/08/2019","5.04","5.45","+0.41 (8.13%)","HOLD","KENANGA"
"28/08/2019","5.13","5.60","+0.47 (9.16%)","BUY","JF APEX"
"28/08/2019","5.04","5.20","+0.16 (3.17%)","HOLD","HLG"
"28/08/2019","5.13","5.50","+0.37 (7.21%)","HOLD","AmInvest"
"28/08/2019","5.13","5.20","+0.07 (1.36%)","HOLD","AffinHwang"
"27/08/2019","5.05","5.35","+0.30 (5.94%)","HOLD","MIDF"
"20/08/2019","5.33","5.50","+0.17 (3.19%)","HOLD","AmInvest"
"06/08/2019","5.13","5.20","+0.07 (1.36%)","HOLD","HLG"
"17/07/2019","5.40","5.89","+0.49 (9.07%)","HOLD","AmInvest"
"29/05/2019","5.30","4.75","-0.55 (10.38%)","SELL","HLG"

