Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Revenue","167,818","222,468","287,213","299,531","242,567","268,656","293,505","-0.54%"
"YoY %","-24.57%","-22.54%","-4.11%","23.48%","-9.71%","-8.47%","-",""
"Horiz. %","57.18%","75.80%","97.86%","102.05%","82.64%","91.53%","100.00%",""
"PBT","-160,230","-123,132","-34,425","17,817","15,152","32,765","28,835","-"
"YoY %","-30.13%","-257.68%","-293.21%","17.59%","-53.76%","13.63%","-",""
"Horiz. %","-555.68%","-427.02%","-119.39%","61.79%","52.55%","113.63%","100.00%",""
"Tax","616","6,563","3,782","-4,302","-4,908","-8,462","-7,426","-"
"YoY %","-90.61%","73.53%","187.91%","12.35%","42.00%","-13.95%","-",""
"Horiz. %","-8.30%","-88.38%","-50.93%","57.93%","66.09%","113.95%","100.00%",""
"NP","-159,614","-116,569","-30,643","13,515","10,244","24,303","21,409","-"
"YoY %","-36.93%","-280.41%","-326.73%","31.93%","-57.85%","13.52%","-",""
"Horiz. %","-745.55%","-544.49%","-143.13%","63.13%","47.85%","113.52%","100.00%",""
"NP to SH","-157,104","-111,911","-26,931","14,299","11,278","25,157","21,546","-"
"YoY %","-40.38%","-315.55%","-288.34%","26.79%","-55.17%","16.76%","-",""
"Horiz. %","-729.16%","-519.40%","-124.99%","66.36%","52.34%","116.76%","100.00%",""
"Tax Rate","-     %","-     %","-     %","24.15    %","32.39    %","25.83    %","25.75    %","-"
"YoY %","0.00%","0.00%","0.00%","-25.44%","25.40%","0.31%","-",""
"Horiz. %","0.00%","0.00%","0.00%","93.79%","125.79%","100.31%","100.00%",""
"Total Cost","327,432","339,037","317,856","286,016","232,323","244,353","272,096","3.96%"
"YoY %","-3.42%","6.66%","11.13%","23.11%","-4.92%","-10.20%","-",""
"Horiz. %","120.34%","124.60%","116.82%","105.12%","85.38%","89.80%","100.00%",""
"Net Worth","103,616","103,616","179,299","217,443","192,400","187,081","94,534","17.34%"
"YoY %","0.00%","-42.21%","-17.54%","13.02%","2.84%","97.90%","-",""
"Horiz. %","109.61%","109.61%","189.67%","230.01%","203.52%","197.90%","100.00%",""
"Div","-","0","-","2,651","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"Div Payout %","-     %","-     %","-     %","18.55    %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"Net Worth","103,616","103,616","179,299","217,443","192,400","187,081","94,534","17.34%"
"YoY %","0.00%","-42.21%","-17.54%","13.02%","2.84%","97.90%","-",""
"Horiz. %","109.61%","109.61%","189.67%","230.01%","203.52%","197.90%","100.00%",""
"NOSH","545,350","545,350","543,331","530,350","520,000","519,670","393,893","8.37%"
"YoY %","0.00%","0.37%","2.45%","1.99%","0.06%","31.93%","-",""
"Horiz. %","138.45%","138.45%","137.94%","134.64%","132.02%","131.93%","100.00%",""
"NP Margin","-95.11    %","-52.40    %","-10.67    %","4.51    %","4.22    %","9.05    %","7.29    %","-"
"YoY %","-81.51%","-391.10%","-336.59%","6.87%","-53.37%","24.14%","-",""
"Horiz. %","-1,304.66%","-718.79%","-146.36%","61.87%","57.89%","124.14%","100.00%",""
"ROE","-151.62    %","-108.01    %","-15.02    %","6.58    %","5.86    %","13.45    %","22.79    %","-"
"YoY %","-40.38%","-619.11%","-328.27%","12.29%","-56.43%","-40.98%","-",""
"Horiz. %","-665.29%","-473.94%","-65.91%","28.87%","25.71%","59.02%","100.00%",""
"RPS","30.77","40.79","52.86","56.48","46.65","51.70","74.51","-8.22%"
"YoY %","-24.56%","-22.83%","-6.41%","21.07%","-9.77%","-30.61%","-",""
"Horiz. %","41.30%","54.74%","70.94%","75.80%","62.61%","69.39%","100.00%",""
"EPS","-28.80","-20.52","-4.96","2.73","2.17","5.63","5.47","-"
"YoY %","-40.35%","-313.71%","-281.68%","25.81%","-61.46%","2.93%","-",""
"Horiz. %","-526.51%","-375.14%","-90.68%","49.91%","39.67%","102.93%","100.00%",""
"DPS","0.00","0.00","0.00","0.50","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"NAPS","0.1900","0.1900","0.3300","0.4100","0.3700","0.3600","0.2400","8.28%"
"YoY %","0.00%","-42.42%","-19.51%","10.81%","2.78%","50.00%","-",""
"Horiz. %","79.17%","79.17%","137.50%","170.83%","154.17%","150.00%","100.00%",""
"RPS","28.52","37.81","48.82","50.91","41.23","45.66","49.89","-0.54%"
"YoY %","-24.57%","-22.55%","-4.11%","23.48%","-9.70%","-8.48%","-",""
"Horiz. %","57.17%","75.79%","97.86%","102.04%","82.64%","91.52%","100.00%",""
"EPS","-26.70","-19.02","-4.58","2.43","1.92","4.28","3.66","-"
"YoY %","-40.38%","-315.28%","-288.48%","26.56%","-55.14%","16.94%","-",""
"Horiz. %","-729.51%","-519.67%","-125.14%","66.39%","52.46%","116.94%","100.00%",""
"DPS","0.00","0.00","0.00","0.45","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"NAPS","0.1761","0.1761","0.3047","0.3696","0.3270","0.3180","0.1607","17.33%"
"YoY %","0.00%","-42.21%","-17.56%","13.03%","2.83%","97.88%","-",""
"Horiz. %","109.58%","109.58%","189.61%","229.99%","203.48%","197.88%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-"
"Price","0.2000","0.2000","0.1000","0.5600","0.5700","0.6750","0.0000","-"
"P/RPS","0.65","0.49","0.19","0.99","1.22","1.31","0.00","-"
"YoY %","32.65%","157.89%","-80.81%","-18.85%","-6.87%","0.00%","-",""
"Horiz. %","49.62%","37.40%","14.50%","75.57%","93.13%","100.00%","-",""
"P/EPS","-0.69","-0.97","-2.02","20.77","26.28","13.94","0.00","-"
"YoY %","28.87%","51.98%","-109.73%","-20.97%","88.52%","0.00%","-",""
"Horiz. %","-4.95%","-6.96%","-14.49%","149.00%","188.52%","100.00%","-",""
"EY","-144.04","-102.60","-49.57","4.81","3.80","7.17","0.00","-"
"YoY %","-40.39%","-106.98%","-1,130.56%","26.58%","-47.00%","0.00%","-",""
"Horiz. %","-2,008.93%","-1,430.96%","-691.35%","67.09%","53.00%","100.00%","-",""
"DY","0.00","0.00","0.00","0.89","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"P/NAPS","1.05","1.05","0.30","1.37","1.54","1.88","0.00","-"
"YoY %","0.00%","250.00%","-78.10%","-11.04%","-18.09%","0.00%","-",""
"Horiz. %","55.85%","55.85%","15.96%","72.87%","81.91%","100.00%","-",""
"Date","AQR","T4Q","28/02/19","28/02/18","28/02/17","23/02/16","-","-"
"Price","0.1750","0.1750","0.1450","0.5000","0.5750","0.6500","0.0000","-"
"P/RPS","0.57","0.43","0.27","0.89","1.23","1.26","0.00","-"
"YoY %","32.56%","59.26%","-69.66%","-27.64%","-2.38%","0.00%","-",""
"Horiz. %","45.24%","34.13%","21.43%","70.63%","97.62%","100.00%","-",""
"P/EPS","-0.61","-0.85","-2.93","18.55","26.51","13.43","0.00","-"
"YoY %","28.24%","70.99%","-115.80%","-30.03%","97.39%","0.00%","-",""
"Horiz. %","-4.54%","-6.33%","-21.82%","138.12%","197.39%","100.00%","-",""
"EY","-164.62","-117.26","-34.18","5.39","3.77","7.45","0.00","-"
"YoY %","-40.39%","-243.07%","-734.14%","42.97%","-49.40%","0.00%","-",""
"Horiz. %","-2,209.66%","-1,573.96%","-458.79%","72.35%","50.60%","100.00%","-",""
"DY","0.00","0.00","0.00","1.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"P/NAPS","0.92","0.92","0.44","1.22","1.55","1.81","0.00","-"
"YoY %","0.00%","109.09%","-63.93%","-21.29%","-14.36%","0.00%","-",""
"Horiz. %","50.83%","50.83%","24.31%","67.40%","85.64%","100.00%","-",""

