Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Revenue","1,760,420","2,063,542","2,256,835","2,076,290","1,788,844","1,916,859","-","-"
"YoY %","-14.69%","-8.56%","8.70%","16.07%","-6.68%","0.00%","-",""
"Horiz. %","91.84%","107.65%","117.74%","108.32%","93.32%","100.00%","-",""
"PBT","162,654","175,521","183,066","174,177","153,672","140,750","-","-"
"YoY %","-7.33%","-4.12%","5.10%","13.34%","9.18%","0.00%","-",""
"Horiz. %","115.56%","124.70%","130.06%","123.75%","109.18%","100.00%","-",""
"Tax","-33,444","-37,585","-38,034","-36,227","-30,039","-13,012","-","-"
"YoY %","11.02%","1.18%","-4.99%","-20.60%","-130.86%","0.00%","-",""
"Horiz. %","257.02%","288.85%","292.30%","278.41%","230.86%","100.00%","-",""
"NP","129,210","137,936","145,032","137,950","123,633","127,738","-","-"
"YoY %","-6.33%","-4.89%","5.13%","11.58%","-3.21%","0.00%","-",""
"Horiz. %","101.15%","107.98%","113.54%","107.99%","96.79%","100.00%","-",""
"NP to SH","128,406","137,189","144,693","137,812","123,508","127,164","-","-"
"YoY %","-6.40%","-5.19%","4.99%","11.58%","-2.88%","0.00%","-",""
"Horiz. %","100.98%","107.88%","113.78%","108.37%","97.12%","100.00%","-",""
"Tax Rate","20.56    %","21.41    %","20.78    %","20.80    %","19.55    %","9.24    %","-     %","-"
"YoY %","-3.97%","3.03%","-0.10%","6.39%","111.58%","0.00%","-",""
"Horiz. %","222.51%","231.71%","224.89%","225.11%","211.58%","100.00%","-",""
"Total Cost","1,631,210","1,925,606","2,111,803","1,938,340","1,665,211","1,789,121","-","-"
"YoY %","-15.29%","-8.82%","8.95%","16.40%","-6.93%","0.00%","-",""
"Horiz. %","91.17%","107.63%","118.04%","108.34%","93.07%","100.00%","-",""
"Net Worth","605,998","605,998","594,433","555,665","491,445","452,286","-","-"
"YoY %","0.00%","1.95%","6.98%","13.07%","8.66%","0.00%","-",""
"Horiz. %","133.99%","133.99%","131.43%","122.86%","108.66%","100.00%","-",""
"Div","90,255","90,356","90,457","90,457","84,063","-","-","-"
"YoY %","-0.11%","-0.11%","0.00%","7.61%","0.00%","0.00%","-",""
"Horiz. %","107.37%","107.49%","107.61%","107.61%","100.00%","-","-",""
"Div Payout %","70.29    %","65.86    %","62.52    %","65.64    %","68.06    %","-     %","-     %","-"
"YoY %","6.73%","5.34%","-4.75%","-3.56%","0.00%","0.00%","-",""
"Horiz. %","103.28%","96.77%","91.86%","96.44%","100.00%","-","-",""
"Net Worth","605,998","605,998","594,433","555,665","491,445","452,286","-","-"
"YoY %","0.00%","1.95%","6.98%","13.07%","8.66%","0.00%","-",""
"Horiz. %","133.99%","133.99%","131.43%","122.86%","108.66%","100.00%","-",""
"NOSH","1,289,359","1,289,359","1,292,246","1,292,246","1,292,246","1,292,246","-","-"
"YoY %","0.00%","-0.22%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","99.78%","99.78%","100.00%","100.00%","100.00%","100.00%","-",""
"NP Margin","7.34    %","6.68    %","6.43    %","6.64    %","6.91    %","6.66    %","-     %","-"
"YoY %","9.88%","3.89%","-3.16%","-3.91%","3.75%","0.00%","-",""
"Horiz. %","110.21%","100.30%","96.55%","99.70%","103.75%","100.00%","-",""
"ROE","21.19    %","22.64    %","24.34    %","24.80    %","25.13    %","28.12    %","-     %","-"
"YoY %","-6.40%","-6.98%","-1.85%","-1.31%","-10.63%","0.00%","-",""
"Horiz. %","75.36%","80.51%","86.56%","88.19%","89.37%","100.00%","-",""
"RPS","136.53","160.04","174.64","160.67","138.32","148.34","-","-"
"YoY %","-14.69%","-8.36%","8.69%","16.16%","-6.75%","0.00%","-",""
"Horiz. %","92.04%","107.89%","117.73%","108.31%","93.25%","100.00%","-",""
"EPS","9.94","10.64","11.20","10.66","9.55","9.84","-","-"
"YoY %","-6.58%","-5.00%","5.07%","11.62%","-2.95%","0.00%","-",""
"Horiz. %","101.02%","108.13%","113.82%","108.33%","97.05%","100.00%","-",""
"DPS","7.00","7.00","7.00","7.00","6.50","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","7.69%","0.00%","0.00%","-",""
"Horiz. %","107.69%","107.69%","107.69%","107.69%","100.00%","-","-",""
"NAPS","0.4700","0.4700","0.4600","0.4300","0.3800","0.3500","0.2900","12.22%"
"YoY %","0.00%","2.17%","6.98%","13.16%","8.57%","20.69%","-",""
"Horiz. %","162.07%","162.07%","158.62%","148.28%","131.03%","120.69%","100.00%",""
"RPS","136.23","159.69","174.64","160.67","138.32","148.34","-","-"
"YoY %","-14.69%","-8.56%","8.69%","16.16%","-6.75%","0.00%","-",""
"Horiz. %","91.84%","107.65%","117.73%","108.31%","93.25%","100.00%","-",""
"EPS","9.94","10.62","11.20","10.66","9.55","9.84","-","-"
"YoY %","-6.40%","-5.18%","5.07%","11.62%","-2.95%","0.00%","-",""
"Horiz. %","101.02%","107.93%","113.82%","108.33%","97.05%","100.00%","-",""
"DPS","6.98","6.99","7.00","7.00","6.50","0.00","-","-"
"YoY %","-0.14%","-0.14%","0.00%","7.69%","0.00%","0.00%","-",""
"Horiz. %","107.38%","107.54%","107.69%","107.69%","100.00%","-","-",""
"NAPS","0.4689","0.4689","0.4600","0.4300","0.3800","0.3500","0.2900","12.22%"
"YoY %","0.00%","1.93%","6.98%","13.16%","8.57%","20.69%","-",""
"Horiz. %","161.69%","161.69%","158.62%","148.28%","131.03%","120.69%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-"
"Price","2.0100","2.0100","1.3300","2.5100","1.7000","1.4000","0.0000","-"
"P/RPS","1.47","1.26","0.76","1.56","1.23","0.94","0.00","-"
"YoY %","16.67%","65.79%","-51.28%","26.83%","30.85%","0.00%","-",""
"Horiz. %","156.38%","134.04%","80.85%","165.96%","130.85%","100.00%","-",""
