Column1,AQR,T4Q,31/01/19,31/01/18,31/01/17,31/01/16,31/01/15,31/01/14,31/01/13,31/01/12,CAGR
"Revenue","6,529,840","5,879,463","4,568,439","5,894,998","7,651,323","10,184,031","9,943,019","8,378,776","6,912,414","2,556,402","8.64%"
"YoY %","11.06%","28.70%","-22.50%","-22.95%","-24.87%","2.42%","18.67%","21.21%","170.40%","-",""
"Horiz. %","255.43%","229.99%","178.71%","230.60%","299.30%","398.37%","388.95%","327.76%","270.40%","100.00%",""
"PBT","-313,416","-2,315,496","-2,574,900","-2,323,589","385,248","-712,639","1,615,962","1,207,757","829,750","519,534","-"
"YoY %","86.46%","10.07%","-10.82%","-703.14%","154.06%","-144.10%","33.80%","45.56%","59.71%","-",""
"Horiz. %","-60.33%","-445.69%","-495.62%","-447.24%","74.15%","-137.17%","311.04%","232.47%","159.71%","100.00%",""
"Tax","-123,892","2,546,078","2,778,267","-181,226","-179,084","-78,806","-182,502","-84,060","-165,969","-73,488","-"
"YoY %","-104.87%","-8.36%","1,633.04%","-1.20%","-127.25%","56.82%","-117.11%","49.35%","-125.85%","-",""
"Horiz. %","168.59%","-3,464.62%","-3,780.57%","246.61%","243.69%","107.24%","248.34%","114.39%","225.85%","100.00%",""
"NP","-437,308","230,582","203,367","-2,504,815","206,164","-791,445","1,433,460","1,123,697","663,781","446,046","-10.61%"
"YoY %","-289.65%","13.38%","108.12%","-1,314.96%","126.05%","-155.21%","27.57%","69.29%","48.81%","-",""
"Horiz. %","-98.04%","51.69%","45.59%","-561.56%","46.22%","-177.44%","321.37%","251.92%","148.81%","100.00%",""
"NP to SH","-436,384","234,185","207,549","-2,503,473","208,316","-791,555","1,432,752","1,086,914","524,596","281,727","-4.27%"
"YoY %","-286.34%","12.83%","108.29%","-1,301.77%","126.32%","-155.25%","31.82%","107.19%","86.21%","-",""
"Horiz. %","-154.90%","83.12%","73.67%","-888.62%","73.94%","-280.97%","508.56%","385.80%","186.21%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","46.49    %","-     %","11.29    %","6.96    %","20.00    %","14.14    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","62.21%","-65.20%","41.44%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","328.78%","0.00%","79.84%","49.22%","141.44%","100.00%",""
"Total Cost","6,967,148","5,648,881","4,365,072","8,399,813","7,445,159","10,975,476","8,509,559","7,255,079","6,248,633","2,110,356","10.93%"
"YoY %","23.34%","29.41%","-48.03%","12.82%","-32.17%","28.98%","17.29%","16.11%","196.09%","-",""
"Horiz. %","330.14%","267.67%","206.84%","398.03%","352.79%","520.08%","403.23%","343.78%","296.09%","100.00%",""
"Net Worth","13,865,297","13,865,297","5,475,859","9,452,928","13,060,299","12,186,959","12,034,398","9,766,140","6,357,222","-","-"
"YoY %","0.00%","153.21%","-42.07%","-27.62%","7.17%","1.27%","23.23%","53.62%","0.00%","-",""
"Horiz. %","218.10%","218.10%","86.14%","148.70%","205.44%","191.70%","189.30%","153.62%","100.00%","-",""
"Div","-","31,470","31,470","-","59,636","80,649","260,445","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-26.05%","-69.03%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","12.08%","12.08%","0.00%","22.90%","30.97%","100.00%","-","-","-",""
"Div Payout %","-     %","13.44    %","15.16    %","-     %","28.63    %","-     %","18.18    %","-     %","-     %","-     %","-"
"YoY %","0.00%","-11.35%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","73.93%","83.39%","0.00%","157.48%","0.00%","100.00%","-","-","-",""
"Net Worth","13,865,297","13,865,297","5,475,859","9,452,928","13,060,299","12,186,959","12,034,398","9,766,140","6,357,222","-","-"
"YoY %","0.00%","153.21%","-42.07%","-27.62%","7.17%","1.27%","23.23%","53.62%","0.00%","-",""
"Horiz. %","218.10%","218.10%","86.14%","148.70%","205.44%","191.70%","189.30%","153.62%","100.00%","-",""
"NOSH","15,937,124","15,937,124","6,294,091","5,945,238","5,963,607","5,974,000","5,987,262","5,744,788","5,005,687","-","-"
"YoY %","0.00%","153.21%","5.87%","-0.31%","-0.17%","-0.22%","4.22%","14.77%","0.00%","-",""
"Horiz. %","318.38%","318.38%","125.74%","118.77%","119.14%","119.34%","119.61%","114.77%","100.00%","-",""
"NP Margin","-6.70    %","3.92    %","4.45    %","-42.49    %","2.69    %","-7.77    %","14.42    %","13.41    %","9.60    %","17.45    %","-17.72%"
"YoY %","-270.92%","-11.91%","110.47%","-1,679.55%","134.62%","-153.88%","7.53%","39.69%","-44.99%","-",""
"Horiz. %","-38.40%","22.46%","25.50%","-243.50%","15.42%","-44.53%","82.64%","76.85%","55.01%","100.00%",""
"ROE","-3.15    %","1.69    %","3.79    %","-26.48    %","1.60    %","-6.50    %","11.91    %","11.13    %","8.25    %","-     %","-"
"YoY %","-286.39%","-55.41%","114.31%","-1,755.00%","124.62%","-154.58%","7.01%","34.91%","0.00%","-",""
"Horiz. %","-38.18%","20.48%","45.94%","-320.97%","19.39%","-78.79%","144.36%","134.91%","100.00%","-",""
"RPS","40.97","36.89","72.58","99.15","128.30","170.47","166.07","145.85","138.09","-","-"
"YoY %","11.06%","-49.17%","-26.80%","-22.72%","-24.74%","2.65%","13.86%","5.62%","0.00%","-",""
"Horiz. %","29.67%","26.71%","52.56%","71.80%","92.91%","123.45%","120.26%","105.62%","100.00%","-",""
"EPS","-2.72","1.47","-44.91","-42.10","3.50","-13.25","23.93","18.92","10.48","0.00","-"
"YoY %","-285.03%","103.27%","-6.67%","-1,302.86%","126.42%","-155.37%","26.48%","80.53%","0.00%","-",""
"Horiz. %","-25.95%","14.03%","-428.53%","-401.72%","33.40%","-126.43%","228.34%","180.53%","100.00%","-",""
"DPS","0.00","0.20","0.50","0.00","1.00","1.35","4.35","0.00","0.00","0.00","-"
"YoY %","0.00%","-60.00%","0.00%","0.00%","-25.93%","-68.97%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","4.60%","11.49%","0.00%","22.99%","31.03%","100.00%","-","-","-",""
"NAPS","0.8700","0.8700","0.8700","1.5900","2.1900","2.0400","2.0100","1.7000","1.2700","0.0000","-"
"YoY %","0.00%","0.00%","-45.28%","-27.40%","7.35%","1.49%","18.24%","33.86%","0.00%","-",""
"Horiz. %","68.50%","68.50%","68.50%","125.20%","172.44%","160.63%","158.27%","133.86%","100.00%","-",""
"RPS","40.87","36.80","28.59","36.89","47.88","63.73","62.23","52.44","43.26","16.00","8.64%"
"YoY %","11.06%","28.72%","-22.50%","-22.95%","-24.87%","2.41%","18.67%","21.22%","170.37%","-",""
"Horiz. %","255.44%","230.00%","178.69%","230.56%","299.25%","398.31%","388.94%","327.75%","270.38%","100.00%",""
"EPS","-2.73","1.47","1.30","-15.67","1.30","-4.95","8.97","6.80","3.28","1.76","-4.23%"
"YoY %","-285.71%","13.08%","108.30%","-1,305.38%","126.26%","-155.18%","31.91%","107.32%","86.36%","-",""
"Horiz. %","-155.11%","83.52%","73.86%","-890.34%","73.86%","-281.25%","509.66%","386.36%","186.36%","100.00%",""
"DPS","0.00","0.20","0.20","0.00","0.37","0.50","1.63","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-26.00%","-69.33%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","12.27%","12.27%","0.00%","22.70%","30.67%","100.00%","-","-","-",""
"NAPS","0.8677","0.8677","0.3427","0.5916","0.8173","0.7627","0.7531","0.6112","0.3979","0.0000","-"
"YoY %","0.00%","153.20%","-42.07%","-27.62%","7.16%","1.27%","23.22%","53.61%","0.00%","-",""
"Horiz. %","218.07%","218.07%","86.13%","148.68%","205.40%","191.68%","189.27%","153.61%","100.00%","-",""
"Date","AQR","T4Q","31/01/19","30/01/18","31/01/17","29/01/16","30/01/15","30/01/14","31/01/13","-","-"
"Price","0.3250","0.3250","0.2650","0.7550","1.7200","1.8800","2.6700","4.3900","2.9200","0.0000","-"
"P/RPS","0.79","0.88","0.37","0.76","1.34","1.10","1.61","3.01","2.11","0.00","-"
"YoY %","-10.23%","137.84%","-51.32%","-43.28%","21.82%","-31.68%","-46.51%","42.65%","0.00%","-",""
"Horiz. %","37.44%","41.71%","17.54%","36.02%","63.51%","52.13%","76.30%","142.65%","100.00%","-",""
"P/EPS","-11.87","22.12","8.04","-1.79","49.24","-14.19","11.16","23.20","27.86","0.00","-"
"YoY %","-153.66%","175.12%","549.16%","-103.64%","447.00%","-227.15%","-51.90%","-16.73%","0.00%","-",""
"Horiz. %","-42.61%","79.40%","28.86%","-6.42%","176.74%","-50.93%","40.06%","83.27%","100.00%","-",""
"EY","-8.43","4.52","12.44","-55.77","2.03","-7.05","8.96","4.31","3.59","0.00","-"
"YoY %","-286.50%","-63.67%","122.31%","-2,847.29%","128.79%","-178.68%","107.89%","20.06%","0.00%","-",""
"Horiz. %","-234.82%","125.91%","346.52%","-1,553.48%","56.55%","-196.38%","249.58%","120.06%","100.00%","-",""
"DY","0.00","0.61","1.89","0.00","0.58","0.72","1.63","0.00","0.00","0.00","-"
"YoY %","0.00%","-67.72%","0.00%","0.00%","-19.44%","-55.83%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","37.42%","115.95%","0.00%","35.58%","44.17%","100.00%","-","-","-",""
"P/NAPS","0.37","0.37","0.30","0.47","0.79","0.92","1.33","2.58","2.30","0.00","-"
"YoY %","0.00%","23.33%","-36.17%","-40.51%","-14.13%","-30.83%","-48.45%","12.17%","0.00%","-",""
"Horiz. %","16.09%","16.09%","13.04%","20.43%","34.35%","40.00%","57.83%","112.17%","100.00%","-",""
"Date","AQR","T4Q","25/03/19","28/03/18","31/03/17","25/03/16","24/03/15","24/03/14","21/03/13","-","-"
"Price","0.2950","0.2950","0.3400","0.4950","1.8700","1.9100","2.3000","4.3000","3.0400","0.0000","-"
"P/RPS","0.72","0.80","0.47","0.50","1.46","1.12","1.38","2.95","2.20","0.00","-"
"YoY %","-10.00%","70.21%","-6.00%","-65.75%","30.36%","-18.84%","-53.22%","34.09%","0.00%","-",""
"Horiz. %","32.73%","36.36%","21.36%","22.73%","66.36%","50.91%","62.73%","134.09%","100.00%","-",""
"P/EPS","-10.77","20.08","10.31","-1.18","53.53","-14.42","9.61","22.73","29.01","0.00","-"
"YoY %","-153.64%","94.76%","973.73%","-102.20%","471.22%","-250.05%","-57.72%","-21.65%","0.00%","-",""
"Horiz. %","-37.13%","69.22%","35.54%","-4.07%","184.52%","-49.71%","33.13%","78.35%","100.00%","-",""
"EY","-9.28","4.98","9.70","-85.07","1.87","-6.94","10.40","4.40","3.45","0.00","-"
"YoY %","-286.35%","-48.66%","111.40%","-4,649.20%","126.95%","-166.73%","136.36%","27.54%","0.00%","-",""
"Horiz. %","-268.99%","144.35%","281.16%","-2,465.80%","54.20%","-201.16%","301.45%","127.54%","100.00%","-",""
"DY","0.00","0.67","1.47","0.00","0.53","0.71","1.89","0.00","0.00","0.00","-"
"YoY %","0.00%","-54.42%","0.00%","0.00%","-25.35%","-62.43%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","35.45%","77.78%","0.00%","28.04%","37.57%","100.00%","-","-","-",""
"P/NAPS","0.34","0.34","0.39","0.31","0.85","0.94","1.14","2.53","2.39","0.00","-"
"YoY %","0.00%","-12.82%","25.81%","-63.53%","-9.57%","-17.54%","-54.94%","5.86%","0.00%","-",""
