Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"15/08/2019","7.16","6.81","-0.35 (4.89%)","HOLD","MIDF"
"15/08/2019","7.16","7.60","+0.44 (6.15%)","HOLD","KENANGA"
"15/08/2019","7.16","6.99","-0.17 (2.37%)","HOLD","HLG"
"15/08/2019","7.16","6.65","-0.51 (7.12%)","HOLD","AmInvest"
"15/08/2019","7.16","6.82","-0.34 (4.75%)","HOLD","AffinHwang"
"14/08/2019","7.17","6.65","-0.52 (7.25%)","HOLD","AmInvest"
"03/06/2019","6.95","6.70","-0.25 (3.60%)","HOLD","HLG"
"27/05/2019","6.61","6.81","+0.20 (3.03%)","HOLD","MIDF"
"27/05/2019","6.61","6.65","+0.04 (0.61%)","HOLD","KENANGA"
"27/05/2019","6.61","6.65","+0.04 (0.61%)","HOLD","AmInvest"

