Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,30/09/14,CAGR
"Revenue","28,382","28,021","36,958","40,068","21,984","32,591","0","-"
"YoY %","1.29%","-24.18%","-7.76%","82.26%","-32.55%","0.00%","-",""
"Horiz. %","87.09%","85.98%","113.40%","122.94%","67.45%","100.00%","-",""
"PBT","762","891","5,337","7,552","-2,654","9,142","0","-"
"YoY %","-14.40%","-83.31%","-29.33%","384.55%","-129.03%","0.00%","-",""
"Horiz. %","8.34%","9.75%","58.38%","82.61%","-29.03%","100.00%","-",""
"Tax","-93","-88","-40","-1","-81","-35","0","-"
"YoY %","-6.06%","-120.00%","-3,900.00%","98.77%","-131.43%","0.00%","-",""
"Horiz. %","266.67%","251.43%","114.29%","2.86%","231.43%","100.00%","-",""
"NP","669","803","5,297","7,551","-2,735","9,107","0","-"
"YoY %","-16.65%","-84.84%","-29.85%","376.09%","-130.03%","0.00%","-",""
"Horiz. %","7.35%","8.82%","58.16%","82.91%","-30.03%","100.00%","-",""
"NP to SH","669","803","5,297","7,551","-2,735","9,107","0","-"
"YoY %","-16.65%","-84.84%","-29.85%","376.09%","-130.03%","0.00%","-",""
"Horiz. %","7.35%","8.82%","58.16%","82.91%","-30.03%","100.00%","-",""
"Tax Rate","12.24    %","9.88    %","0.75    %","0.01    %","-     %","0.38    %","-     %","-"
"YoY %","23.89%","1,217.33%","7,400.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","3,221.05%","2,600.00%","197.37%","2.63%","0.00%","100.00%","-",""
"Total Cost","27,713","27,218","31,661","32,517","24,719","23,484","0","-"
"YoY %","1.82%","-14.03%","-2.63%","31.55%","5.26%","0.00%","-",""
"Horiz. %","118.01%","115.90%","134.82%","138.46%","105.26%","100.00%","-",""
"Net Worth","76,809","76,809","76,798","74,604","66,169","67,328","-","-"
"YoY %","0.00%","0.01%","2.94%","12.75%","-1.72%","0.00%","-",""
"Horiz. %","114.08%","114.08%","114.07%","110.81%","98.28%","100.00%","-",""
"Div","-","1,097","1,097","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","100.00%","-","-","-","-",""
"Div Payout %","-     %","136.63    %","20.71    %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","559.73%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","659.73%","100.00%","-","-","-","-",""
"Net Worth","76,809","76,809","76,798","74,604","66,169","67,328","-","-"
"YoY %","0.00%","0.01%","2.94%","12.75%","-1.72%","0.00%","-",""
"Horiz. %","114.08%","114.08%","114.07%","110.81%","98.28%","100.00%","-",""
"NOSH","548,636","548,636","548,562","438,850","441,129","354,357","-","-"
"YoY %","0.00%","0.01%","25.00%","-0.52%","24.49%","0.00%","-",""
"Horiz. %","154.83%","154.83%","154.80%","123.84%","124.49%","100.00%","-",""
"NP Margin","2.36    %","2.87    %","14.33    %","18.85    %","-12.44    %","27.94    %","-     %","-"
"YoY %","-17.77%","-79.97%","-23.98%","251.53%","-144.52%","0.00%","-",""
"Horiz. %","8.45%","10.27%","51.29%","67.47%","-44.52%","100.00%","-",""
"ROE","0.87    %","1.05    %","6.90    %","10.12    %","-4.13    %","13.53    %","-     %","-"
"YoY %","-17.14%","-84.78%","-31.82%","345.04%","-130.52%","0.00%","-",""
"Horiz. %","6.43%","7.76%","51.00%","74.80%","-30.52%","100.00%","-",""
"RPS","5.17","5.11","6.74","9.13","4.98","9.20","-","-"
"YoY %","1.17%","-24.18%","-26.18%","83.33%","-45.87%","0.00%","-",""
"Horiz. %","56.20%","55.54%","73.26%","99.24%","54.13%","100.00%","-",""
"EPS","0.12","0.15","0.97","1.72","-0.62","2.57","0.00","-"
"YoY %","-20.00%","-84.54%","-43.60%","377.42%","-124.12%","0.00%","-",""
"Horiz. %","4.67%","5.84%","37.74%","66.93%","-24.12%","100.00%","-",""
"DPS","0.00","0.20","0.20","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","100.00%","-","-","-","-",""
"NAPS","0.1400","0.1400","0.1400","0.1700","0.1500","0.1900","0.0000","-"
"YoY %","0.00%","0.00%","-17.65%","13.33%","-21.05%","0.00%","-",""
"Horiz. %","73.68%","73.68%","73.68%","89.47%","78.95%","100.00%","-",""
"RPS","5.17","5.10","6.73","7.29","4.00","5.93","-","-"
"YoY %","1.37%","-24.22%","-7.68%","82.25%","-32.55%","0.00%","-",""
"Horiz. %","87.18%","86.00%","113.49%","122.93%","67.45%","100.00%","-",""
"EPS","0.12","0.15","0.96","1.37","-0.50","1.66","0.00","-"
"YoY %","-20.00%","-84.37%","-29.93%","374.00%","-130.12%","0.00%","-",""
"Horiz. %","7.23%","9.04%","57.83%","82.53%","-30.12%","100.00%","-",""
"DPS","0.00","0.20","0.20","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","100.00%","-","-","-","-",""
"NAPS","0.1398","0.1398","0.1398","0.1358","0.1204","0.1225","0.0000","-"
"YoY %","0.00%","0.00%","2.95%","12.79%","-1.71%","0.00%","-",""
"Horiz. %","114.12%","114.12%","114.12%","110.86%","98.29%","100.00%","-",""
"Date","AQR","T4Q","28/09/18","29/09/17","30/09/16","30/09/15","-","-"
"Price","0.1800","0.1800","0.3550","0.6050","0.2600","0.4950","0.0000","-"
"P/RPS","3.48","3.52","5.27","6.63","5.22","5.38","0.00","-"
"YoY %","-1.14%","-33.21%","-20.51%","27.01%","-2.97%","0.00%","-",""
"Horiz. %","64.68%","65.43%","97.96%","123.23%","97.03%","100.00%","-",""
"P/EPS","147.54","122.98","36.76","35.16","-41.94","19.26","0.00","-"
"YoY %","19.97%","234.55%","4.55%","183.83%","-317.76%","0.00%","-",""
"Horiz. %","766.04%","638.53%","190.86%","182.55%","-217.76%","100.00%","-",""
"EY","0.68","0.81","2.72","2.84","-2.38","5.19","0.00","-"
"YoY %","-16.05%","-70.22%","-4.23%","219.33%","-145.86%","0.00%","-",""
"Horiz. %","13.10%","15.61%","52.41%","54.72%","-45.86%","100.00%","-",""
"DY","0.00","1.11","0.56","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","98.21%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","198.21%","100.00%","-","-","-","-",""
"P/NAPS","1.29","1.29","2.54","3.56","1.73","2.61","0.00","-"
"YoY %","0.00%","-49.21%","-28.65%","105.78%","-33.72%","0.00%","-",""
"Horiz. %","49.43%","49.43%","97.32%","136.40%","66.28%","100.00%","-",""
"Date","AQR","T4Q","23/11/18","16/11/17","18/11/16","13/11/15","-","-"
"Price","0.3000","0.3000","0.2950","0.6600","0.2050","0.5850","0.0000","-"
"P/RPS","5.80","5.87","4.38","7.23","4.11","6.36","0.00","-"
"YoY %","-1.19%","34.02%","-39.42%","75.91%","-35.38%","0.00%","-",""
"Horiz. %","91.19%","92.30%","68.87%","113.68%","64.62%","100.00%","-",""
"P/EPS","245.90","204.97","30.55","38.36","-33.06","22.76","0.00","-"
"YoY %","19.97%","570.93%","-20.36%","216.03%","-245.25%","0.00%","-",""
"Horiz. %","1,080.40%","900.57%","134.23%","168.54%","-145.25%","100.00%","-",""
"EY","0.41","0.49","3.27","2.61","-3.02","4.39","0.00","-"
"YoY %","-16.33%","-85.02%","25.29%","186.42%","-168.79%","0.00%","-",""
"Horiz. %","9.34%","11.16%","74.49%","59.45%","-68.79%","100.00%","-",""
"DY","0.00","0.67","0.68","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","-1.47%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","98.53%","100.00%","-","-","-","-",""
"P/NAPS","2.14","2.14","2.11","3.88","1.37","3.08","0.00","-"
"YoY %","0.00%","1.42%","-45.62%","183.21%","-55.52%","0.00%","-",""
"Horiz. %","69.48%","69.48%","68.51%","125.97%","44.48%","100.00%","-",""

