Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","500,258","500,258","500,258","456,994","369,625","461,206","494,270","469,070","449,656","448,710","401,769","404,418","2.39%"
"YoY %","0.00%","0.00%","9.47%","23.64%","-19.86%","-6.69%","5.37%","4.32%","0.21%","11.68%","-0.66%","-",""
"Horiz. %","123.70%","123.70%","123.70%","113.00%","91.40%","114.04%","122.22%","115.99%","111.19%","110.95%","99.34%","100.00%",""
"PBT","43,126","43,126","43,126","53,922","33,277","5,501","16,756","23,293","12,506","30,479","23,559","26,432","5.59%"
"YoY %","0.00%","0.00%","-20.02%","62.04%","504.93%","-67.17%","-28.06%","86.25%","-58.97%","29.37%","-10.87%","-",""
"Horiz. %","163.16%","163.16%","163.16%","204.00%","125.90%","20.81%","63.39%","88.12%","47.31%","115.31%","89.13%","100.00%",""
"Tax","-10,763","-10,763","-10,763","-12,239","-8,564","429","-4,630","-874","-2,866","-6,464","-7,762","-6,938","5.00%"
"YoY %","0.00%","0.00%","12.06%","-42.91%","-2,096.27%","109.27%","-429.75%","69.50%","55.66%","16.72%","-11.88%","-",""
"Horiz. %","155.13%","155.13%","155.13%","176.41%","123.44%","-6.18%","66.73%","12.60%","41.31%","93.17%","111.88%","100.00%",""
"NP","32,363","32,363","32,363","41,683","24,713","5,930","12,126","22,419","9,640","24,015","15,797","19,494","5.79%"
"YoY %","0.00%","0.00%","-22.36%","68.67%","316.75%","-51.10%","-45.91%","132.56%","-59.86%","52.02%","-18.96%","-",""
"Horiz. %","166.02%","166.02%","166.02%","213.82%","126.77%","30.42%","62.20%","115.00%","49.45%","123.19%","81.04%","100.00%",""
"NP to SH","32,363","32,363","32,363","41,683","24,713","5,930","12,126","22,419","9,640","24,015","15,797","19,494","5.79%"
"YoY %","0.00%","0.00%","-22.36%","68.67%","316.75%","-51.10%","-45.91%","132.56%","-59.86%","52.02%","-18.96%","-",""
"Horiz. %","166.02%","166.02%","166.02%","213.82%","126.77%","30.42%","62.20%","115.00%","49.45%","123.19%","81.04%","100.00%",""
"Tax Rate","24.96    %","24.96    %","24.96    %","22.70    %","25.74    %","-7.80    %","27.63    %","3.75    %","22.92    %","21.21    %","32.95    %","26.25    %","-0.56%"
"YoY %","0.00%","0.00%","9.96%","-11.81%","430.00%","-128.23%","636.80%","-83.64%","8.06%","-35.63%","25.52%","-",""
"Horiz. %","95.09%","95.09%","95.09%","86.48%","98.06%","-29.71%","105.26%","14.29%","87.31%","80.80%","125.52%","100.00%",""
"Total Cost","467,895","467,895","467,895","415,311","344,912","455,276","482,144","446,651","440,016","424,695","385,972","384,924","2.19%"
"YoY %","0.00%","0.00%","12.66%","20.41%","-24.24%","-5.57%","7.95%","1.51%","3.61%","10.03%","0.27%","-",""
"Horiz. %","121.56%","121.56%","121.56%","107.89%","89.61%","118.28%","125.26%","116.04%","114.31%","110.33%","100.27%","100.00%",""
"Net Worth","508,535","508,535","508,535","483,698","452,105","431,669","432,526","425,920","408,681","403,616","375,615","374,276","3.46%"
"YoY %","0.00%","0.00%","5.13%","6.99%","4.73%","-0.20%","1.55%","4.22%","1.25%","7.45%","0.36%","-",""
"Horiz. %","135.87%","135.87%","135.87%","129.24%","120.79%","115.33%","115.56%","113.80%","109.19%","107.84%","100.36%","100.00%",""
"Div","7,843","7,843","7,843","9,804","4,357","-","6,536","5,446","6,538","6,545","6,402","6,325","2.42%"
"YoY %","0.00%","0.00%","-20.00%","125.00%","0.00%","0.00%","20.02%","-16.71%","-0.10%","2.23%","1.21%","-",""
"Horiz. %","124.00%","124.00%","124.00%","155.00%","68.89%","0.00%","103.34%","86.10%","103.37%","103.47%","101.21%","100.00%",""
"Div Payout %","24.24    %","24.24    %","24.24    %","23.52    %","17.63    %","-     %","53.91    %","24.29    %","67.83    %","27.25    %","40.53    %","32.45    %","-3.19%"
"YoY %","0.00%","0.00%","3.06%","33.41%","0.00%","0.00%","121.94%","-64.19%","148.92%","-32.77%","24.90%","-",""
"Horiz. %","74.70%","74.70%","74.70%","72.48%","54.33%","0.00%","166.13%","74.85%","209.03%","83.98%","124.90%","100.00%",""
"Net Worth","508,535","508,535","508,535","483,698","452,105","431,669","432,526","425,920","408,681","403,616","375,615","374,276","3.46%"
"YoY %","0.00%","0.00%","5.13%","6.99%","4.73%","-0.20%","1.55%","4.22%","1.25%","7.45%","0.36%","-",""
"Horiz. %","135.87%","135.87%","135.87%","129.24%","120.79%","115.33%","115.56%","113.80%","109.19%","107.84%","100.36%","100.00%",""
"NOSH","130,729","130,729","130,729","108,941","108,941","109,007","108,948","108,931","108,981","109,085","106,708","105,429","2.42%"
"YoY %","0.00%","0.00%","20.00%","0.00%","-0.06%","0.05%","0.02%","-0.05%","-0.10%","2.23%","1.21%","-",""
"Horiz. %","124.00%","124.00%","124.00%","103.33%","103.33%","103.39%","103.34%","103.32%","103.37%","103.47%","101.21%","100.00%",""
"NP Margin","6.47    %","6.47    %","6.47    %","9.12    %","6.69    %","1.29    %","2.45    %","4.78    %","2.14    %","5.35    %","3.93    %","4.82    %","3.32%"
"YoY %","0.00%","0.00%","-29.06%","36.32%","418.60%","-47.35%","-48.74%","123.36%","-60.00%","36.13%","-18.46%","-",""
"Horiz. %","134.23%","134.23%","134.23%","189.21%","138.80%","26.76%","50.83%","99.17%","44.40%","111.00%","81.54%","100.00%",""
"ROE","6.36    %","6.36    %","6.36    %","8.62    %","5.47    %","1.37    %","2.80    %","5.26    %","2.36    %","5.95    %","4.21    %","5.21    %","2.24%"
"YoY %","0.00%","0.00%","-26.22%","57.59%","299.27%","-51.07%","-46.77%","122.88%","-60.34%","41.33%","-19.19%","-",""
"Horiz. %","122.07%","122.07%","122.07%","165.45%","104.99%","26.30%","53.74%","100.96%","45.30%","114.20%","80.81%","100.00%",""
"RPS","382.67","382.67","382.67","419.49","339.29","423.10","453.67","430.61","412.60","411.34","376.51","383.59","-0.03%"
"YoY %","0.00%","0.00%","-8.78%","23.64%","-19.81%","-6.74%","5.36%","4.36%","0.31%","9.25%","-1.85%","-",""
"Horiz. %","99.76%","99.76%","99.76%","109.36%","88.45%","110.30%","118.27%","112.26%","107.56%","107.23%","98.15%","100.00%",""
"EPS","24.76","24.76","24.76","38.26","22.68","5.44","11.13","20.58","8.85","22.02","14.80","18.49","3.30%"
"YoY %","0.00%","0.00%","-35.28%","68.69%","316.91%","-51.12%","-45.92%","132.54%","-59.81%","48.78%","-19.96%","-",""
"Horiz. %","133.91%","133.91%","133.91%","206.92%","122.66%","29.42%","60.19%","111.30%","47.86%","119.09%","80.04%","100.00%",""
"DPS","6.00","6.00","6.00","9.00","4.00","0.00","6.00","5.00","6.00","6.00","6.00","6.00","-"
"YoY %","0.00%","0.00%","-33.33%","125.00%","0.00%","0.00%","20.00%","-16.67%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","150.00%","66.67%","0.00%","100.00%","83.33%","100.00%","100.00%","100.00%","100.00%",""
"NAPS","3.8900","3.8900","3.8900","4.4400","4.1500","3.9600","3.9700","3.9100","3.7500","3.7000","3.5200","3.5500","1.02%"
"YoY %","0.00%","0.00%","-12.39%","6.99%","4.80%","-0.25%","1.53%","4.27%","1.35%","5.11%","-0.85%","-",""
"Horiz. %","109.58%","109.58%","109.58%","125.07%","116.90%","111.55%","111.83%","110.14%","105.63%","104.23%","99.15%","100.00%",""
"RPS","379.88","379.88","379.88","347.02","280.68","350.22","375.33","356.19","341.45","340.73","305.09","307.10","2.39%"
"YoY %","0.00%","0.00%","9.47%","23.64%","-19.86%","-6.69%","5.37%","4.32%","0.21%","11.68%","-0.65%","-",""
"Horiz. %","123.70%","123.70%","123.70%","113.00%","91.40%","114.04%","122.22%","115.99%","111.19%","110.95%","99.35%","100.00%",""
"EPS","24.58","24.58","24.58","31.65","18.77","4.50","9.21","17.02","7.32","18.24","12.00","14.80","5.79%"
"YoY %","0.00%","0.00%","-22.34%","68.62%","317.11%","-51.14%","-45.89%","132.51%","-59.87%","52.00%","-18.92%","-",""
"Horiz. %","166.08%","166.08%","166.08%","213.85%","126.82%","30.41%","62.23%","115.00%","49.46%","123.24%","81.08%","100.00%",""
"DPS","5.96","5.96","5.96","7.45","3.31","0.00","4.96","4.14","4.97","4.97","4.86","4.80","2.43%"
"YoY %","0.00%","0.00%","-20.00%","125.08%","0.00%","0.00%","19.81%","-16.70%","0.00%","2.26%","1.25%","-",""
"Horiz. %","124.17%","124.17%","124.17%","155.21%","68.96%","0.00%","103.33%","86.25%","103.54%","103.54%","101.25%","100.00%",""
"NAPS","3.8616","3.8616","3.8616","3.6730","3.4331","3.2779","3.2844","3.2343","3.1034","3.0649","2.8523","2.8421","3.46%"
"YoY %","0.00%","0.00%","5.13%","6.99%","4.73%","-0.20%","1.55%","4.22%","1.26%","7.45%","0.36%","-",""
"Horiz. %","135.87%","135.87%","135.87%","129.24%","120.79%","115.33%","115.56%","113.80%","109.19%","107.84%","100.36%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","30/12/10","31/12/09","-"
"Price","1.4800","1.4800","1.4800","2.3800","1.6600","1.4800","1.7000","1.5700","1.3000","1.4600","1.7300","1.6500","-"
"P/RPS","0.39","0.39","0.39","0.57","0.49","0.35","0.37","0.36","0.32","0.35","0.46","0.43","-1.08%"
"YoY %","0.00%","0.00%","-31.58%","16.33%","40.00%","-5.41%","2.78%","12.50%","-8.57%","-23.91%","6.98%","-",""
"Horiz. %","90.70%","90.70%","90.70%","132.56%","113.95%","81.40%","86.05%","83.72%","74.42%","81.40%","106.98%","100.00%",""
"P/EPS","5.98","5.98","5.98","6.22","7.32","27.21","15.27","7.63","14.70","6.63","11.69","8.92","-4.34%"
"YoY %","0.00%","0.00%","-3.86%","-15.03%","-73.10%","78.19%","100.13%","-48.10%","121.72%","-43.28%","31.05%","-",""
"Horiz. %","67.04%","67.04%","67.04%","69.73%","82.06%","305.04%","171.19%","85.54%","164.80%","74.33%","131.05%","100.00%",""
"EY","16.73","16.73","16.73","16.08","13.67","3.68","6.55","13.11","6.80","15.08","8.56","11.21","4.55%"
"YoY %","0.00%","0.00%","4.04%","17.63%","271.47%","-43.82%","-50.04%","92.79%","-54.91%","76.17%","-23.64%","-",""
