Column1,AQR,T4Q,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","205,281","196,382","205,281","382,578","481,384","443,572","344,413","0","-"
"YoY %","4.53%","-4.34%","-46.34%","-20.53%","8.52%","28.79%","0.00%","-",""
"Horiz. %","59.60%","57.02%","59.60%","111.08%","139.77%","128.79%","100.00%","-",""
"PBT","-49,078","-39,510","-49,078","79,643","123,410","113,301","86,436","0","-"
"YoY %","-24.22%","19.50%","-161.62%","-35.46%","8.92%","31.08%","0.00%","-",""
"Horiz. %","-56.78%","-45.71%","-56.78%","92.14%","142.78%","131.08%","100.00%","-",""
"Tax","-28,037","-27,933","-28,037","-37,335","-32,699","-33,646","-22,246","0","-"
"YoY %","-0.37%","0.37%","24.90%","-14.18%","2.81%","-51.25%","0.00%","-",""
"Horiz. %","126.03%","125.56%","126.03%","167.83%","146.99%","151.25%","100.00%","-",""
"NP","-77,115","-67,443","-77,115","42,308","90,711","79,655","64,190","0","-"
"YoY %","-14.34%","12.54%","-282.27%","-53.36%","13.88%","24.09%","0.00%","-",""
"Horiz. %","-120.14%","-105.07%","-120.14%","65.91%","141.32%","124.09%","100.00%","-",""
"NP to SH","-77,115","-67,443","-77,115","42,308","90,711","79,655","64,190","0","-"
"YoY %","-14.34%","12.54%","-282.27%","-53.36%","13.88%","24.09%","0.00%","-",""
"Horiz. %","-120.14%","-105.07%","-120.14%","65.91%","141.32%","124.09%","100.00%","-",""
"Tax Rate","-     %","-     %","-     %","46.88    %","26.50    %","29.70    %","25.74    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","76.91%","-10.77%","15.38%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","182.13%","102.95%","115.38%","100.00%","-",""
"Total Cost","282,396","263,825","282,396","340,270","390,673","363,917","280,223","0","-"
"YoY %","7.04%","-6.58%","-17.01%","-12.90%","7.35%","29.87%","0.00%","-",""
"Horiz. %","100.78%","94.15%","100.78%","121.43%","139.42%","129.87%","100.00%","-",""
"Net Worth","449,837","456,819","449,837","525,872","265,103","36,676,829","18,763,231","-","-"
"YoY %","-1.53%","1.55%","-14.46%","98.36%","-99.28%","95.47%","0.00%","-",""
"Horiz. %","2.40%","2.43%","2.40%","2.80%","1.41%","195.47%","100.00%","-",""
"Div","-","0","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"Net Worth","449,837","456,819","449,837","525,872","265,103","36,676,829","18,763,231","-","-"
"YoY %","-1.53%","1.55%","-14.46%","98.36%","-99.28%","95.47%","0.00%","-",""
"Horiz. %","2.40%","2.43%","2.40%","2.80%","1.41%","195.47%","100.00%","-",""
"NOSH","1,285,250","1,305,200","1,285,250","1,143,200","599,781","60,693,079","49,376,924","-","-"
"YoY %","-1.53%","1.55%","12.43%","90.60%","-99.01%","22.92%","0.00%","-",""
"Horiz. %","2.60%","2.64%","2.60%","2.32%","1.21%","122.92%","100.00%","-",""
"NP Margin","-37.57    %","-34.34    %","-37.57    %","11.06    %","18.84    %","17.96    %","18.64    %","-     %","-"
"YoY %","-9.41%","8.60%","-439.69%","-41.30%","4.90%","-3.65%","0.00%","-",""
"Horiz. %","-201.56%","-184.23%","-201.56%","59.33%","101.07%","96.35%","100.00%","-",""
"ROE","-17.14    %","-14.76    %","-17.14    %","8.05    %","34.22    %","0.22    %","0.34    %","-     %","-"
"YoY %","-16.12%","13.89%","-312.92%","-76.48%","15,454.55%","-35.29%","0.00%","-",""
"Horiz. %","-5,041.18%","-4,341.18%","-5,041.18%","2,367.65%","10,064.71%","64.71%","100.00%","-",""
"RPS","15.97","15.05","15.97","33.47","80.26","0.73","0.70","-","-"
"YoY %","6.11%","-5.76%","-52.29%","-58.30%","10,894.52%","4.29%","0.00%","-",""
"Horiz. %","2,281.43%","2,150.00%","2,281.43%","4,781.43%","11,465.71%","104.29%","100.00%","-",""
"EPS","-6.00","-5.17","-6.00","4.00","8.00","13.44","0.13","0.00","-"
"YoY %","-16.05%","13.83%","-250.00%","-50.00%","-40.48%","10,238.46%","0.00%","-",""
"Horiz. %","-4,615.38%","-3,976.92%","-4,615.38%","3,076.92%","6,153.85%","10,338.46%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.3500","0.3500","0.3500","0.4600","0.4420","0.6043","0.3800","0.0000","-"
"YoY %","0.00%","0.00%","-23.91%","4.07%","-26.86%","59.03%","0.00%","-",""
"Horiz. %","92.11%","92.11%","92.11%","121.05%","116.32%","159.03%","100.00%","-",""
"RPS","15.07","14.42","15.07","28.09","35.34","32.57","25.29","-","-"
"YoY %","4.51%","-4.31%","-46.35%","-20.51%","8.50%","28.79%","0.00%","-",""
"Horiz. %","59.59%","57.02%","59.59%","111.07%","139.74%","128.79%","100.00%","-",""
"EPS","-5.66","-4.95","-5.66","3.11","6.66","5.85","4.71","0.00","-"
"YoY %","-14.34%","12.54%","-281.99%","-53.30%","13.85%","24.20%","0.00%","-",""
"Horiz. %","-120.17%","-105.10%","-120.17%","66.03%","141.40%","124.20%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.3303","0.3354","0.3303","0.3861","0.1946","26.9293","13.7765","0.0000","-"
"YoY %","-1.52%","1.54%","-14.45%","98.41%","-99.28%","95.47%","0.00%","-",""
"Horiz. %","2.40%","2.43%","2.40%","2.80%","1.41%","195.47%","100.00%","-",""
"Date","AQR","T4Q","30/12/16","31/12/15","31/12/14","31/12/13","-","-","-"
"Price","0.0250","0.0250","0.0250","0.0800","0.2700","0.3750","0.0000","0.0000","-"
"P/RPS","0.16","0.17","0.16","0.24","0.34","51.31","0.00","0.00","-"
"YoY %","-5.88%","6.25%","-33.33%","-29.41%","-99.34%","0.00%","0.00%","-",""
"Horiz. %","0.31%","0.33%","0.31%","0.47%","0.66%","100.00%","-","-",""
"P/EPS","-0.42","-0.48","-0.42","2.16","1.79","285.73","0.00","0.00","-"
"YoY %","12.50%","-14.29%","-119.44%","20.67%","-99.37%","0.00%","0.00%","-",""
"Horiz. %","-0.15%","-0.17%","-0.15%","0.76%","0.63%","100.00%","-","-",""
"EY","-240.00","-206.69","-240.00","46.26","56.01","0.35","0.00","0.00","-"
"YoY %","-16.12%","13.88%","-618.81%","-17.41%","15,902.86%","0.00%","0.00%","-",""
"Horiz. %","-68,571.43%","-59,054.29%","-68,571.43%","13,217.14%","16,002.86%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","0.07","0.07","0.07","0.17","0.61","0.62","0.00","0.00","-"
"YoY %","0.00%","0.00%","-58.82%","-72.13%","-1.61%","0.00%","0.00%","-",""
"Horiz. %","11.29%","11.29%","11.29%","27.42%","98.39%","100.00%","-","-",""
"Date","AQR","T4Q","28/02/17","29/02/16","16/02/15","26/02/14","-","-","-"
"Price","0.0250","0.0250","0.0250","0.0650","0.2300","0.2900","0.0000","0.0000","-"
"P/RPS","0.16","0.17","0.16","0.19","0.29","39.68","0.00","0.00","-"
"YoY %","-5.88%","6.25%","-15.79%","-34.48%","-99.27%","0.00%","0.00%","-",""
"Horiz. %","0.40%","0.43%","0.40%","0.48%","0.73%","100.00%","-","-",""
"P/EPS","-0.42","-0.48","-0.42","1.76","1.52","220.97","0.00","0.00","-"
"YoY %","12.50%","-14.29%","-123.86%","15.79%","-99.31%","0.00%","0.00%","-",""
"Horiz. %","-0.19%","-0.22%","-0.19%","0.80%","0.69%","100.00%","-","-",""
"EY","-240.00","-206.69","-240.00","56.94","65.76","0.45","0.00","0.00","-"
"YoY %","-16.12%","13.88%","-521.50%","-13.41%","14,513.33%","0.00%","0.00%","-",""
"Horiz. %","-53,333.34%","-45,931.11%","-53,333.34%","12,653.33%","14,613.33%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","0.07","0.07","0.07","0.14","0.52","0.48","0.00","0.00","-"
"YoY %","0.00%","0.00%","-50.00%","-73.08%","8.33%","0.00%","0.00%","-",""
