Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","35,334","40,531","95,133","32,454","60,385","68,109","41,305","41,297","38,757","25,822","20.46%"
"YoY %","-12.82%","-57.40%","193.13%","-46.25%","-11.34%","64.89%","0.02%","6.55%","50.09%","-",""
"Horiz. %","136.84%","156.96%","368.42%","125.68%","233.85%","263.76%","159.96%","159.93%","150.09%","100.00%",""
"PBT","-7,140","-12,705","-8,802","1,419","-6,712","939","-5,025","2,826","4,219","1,849","-"
"YoY %","43.80%","-44.34%","-720.30%","121.14%","-814.80%","118.69%","-277.81%","-33.02%","128.18%","-",""
"Horiz. %","-386.15%","-687.13%","-476.04%","76.74%","-363.01%","50.78%","-271.77%","152.84%","228.18%","100.00%",""
"Tax","0","30","30","-695","786","-42","731","-1,541","-773","-615","-"
"YoY %","0.00%","0.00%","104.32%","-188.42%","1,971.43%","-105.75%","147.44%","-99.35%","-25.69%","-",""
"Horiz. %","-0.00%","-4.88%","-4.88%","113.01%","-127.80%","6.83%","-118.86%","250.57%","125.69%","100.00%",""
"NP","-7,140","-12,675","-8,772","724","-5,926","897","-4,294","1,285","3,446","1,234","-"
"YoY %","43.67%","-44.49%","-1,311.60%","112.22%","-760.65%","120.89%","-434.16%","-62.71%","179.25%","-",""
"Horiz. %","-578.61%","-1,027.15%","-710.86%","58.67%","-480.23%","72.69%","-347.97%","104.13%","279.25%","100.00%",""
"NP to SH","-7,022","-11,872","-7,900","606","-6,103","897","-4,294","1,285","3,446","1,234","-"
"YoY %","40.85%","-50.28%","-1,403.63%","109.93%","-780.38%","120.89%","-434.16%","-62.71%","179.25%","-",""
"Horiz. %","-569.04%","-962.07%","-640.19%","49.11%","-494.57%","72.69%","-347.97%","104.13%","279.25%","100.00%",""
"Tax Rate","-     %","-     %","-     %","48.98    %","-     %","4.47    %","-     %","54.53    %","18.32    %","33.26    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","197.65%","-44.92%","-",""
"Horiz. %","0.00%","0.00%","0.00%","147.26%","0.00%","13.44%","0.00%","163.95%","55.08%","100.00%",""
"Total Cost","42,474","53,206","103,905","31,730","66,311","67,212","45,599","40,012","35,311","24,588","22.84%"
