Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,&nbsp;-&nbsp;,CAGR
"Revenue","44,946","44,946","44,946","35,534","35,960","0","-","-"
"YoY %","0.00%","0.00%","26.49%","-1.18%","0.00%","-","-",""
"Horiz. %","124.99%","124.99%","124.99%","98.82%","100.00%","-","-",""
"PBT","16,591","16,591","16,591","10,694","12,987","0","-","-"
"YoY %","0.00%","0.00%","55.14%","-17.66%","0.00%","-","-",""
"Horiz. %","127.75%","127.75%","127.75%","82.34%","100.00%","-","-",""
"Tax","-3,927","-3,927","-3,927","-2,683","-2,767","0","-","-"
"YoY %","0.00%","0.00%","-46.37%","3.04%","0.00%","-","-",""
"Horiz. %","141.92%","141.92%","141.92%","96.96%","100.00%","-","-",""
"NP","12,664","12,664","12,664","8,011","10,220","0","-","-"
"YoY %","0.00%","0.00%","58.08%","-21.61%","0.00%","-","-",""
"Horiz. %","123.91%","123.91%","123.91%","78.39%","100.00%","-","-",""
"NP to SH","11,807","11,807","11,807","7,527","10,220","0","-","-"
"YoY %","0.00%","0.00%","56.86%","-26.35%","0.00%","-","-",""
"Horiz. %","115.53%","115.53%","115.53%","73.65%","100.00%","-","-",""
"Tax Rate","23.67    %","23.67    %","23.67    %","25.09    %","21.31    %","-     %","-   %","-"
"YoY %","0.00%","0.00%","-5.66%","17.74%","0.00%","-","-",""
"Horiz. %","111.07%","111.07%","111.07%","117.74%","100.00%","-","-",""
"Total Cost","32,282","32,282","32,282","27,523","25,740","0","-","-"
"YoY %","0.00%","0.00%","17.29%","6.93%","0.00%","-","-",""
"Horiz. %","125.42%","125.42%","125.42%","106.93%","100.00%","-","-",""
"Net Worth","80,190","80,190","80,190","70,758","63,904","-","-","-"
"YoY %","0.00%","0.00%","13.33%","10.73%","0.00%","-","-",""
"Horiz. %","125.48%","125.48%","125.48%","110.73%","100.00%","-","-",""
"Div","5,190","5,186","5,190","5,180","3,501","-","-","-"
"YoY %","0.08%","-0.08%","0.20%","47.93%","0.00%","-","-",""
"Horiz. %","148.22%","148.11%","148.22%","147.93%","100.00%","-","-",""
"Div Payout %","43.96    %","43.92    %","43.96    %","68.82    %","34.26    %","-     %","-   %","-"
"YoY %","0.09%","-0.09%","-36.12%","100.88%","0.00%","-","-",""
"Horiz. %","128.31%","128.20%","128.31%","200.88%","100.00%","-","-",""
"Net Worth","80,190","80,190","80,190","70,758","63,904","-","-","-"
"YoY %","0.00%","0.00%","13.33%","10.73%","0.00%","-","-",""
"Horiz. %","125.48%","125.48%","125.48%","110.73%","100.00%","-","-",""
"NOSH","519,030","519,030","519,030","518,000","350,164","-","-","-"
"YoY %","0.00%","0.00%","0.20%","47.93%","0.00%","-","-",""
"Horiz. %","148.22%","148.22%","148.22%","147.93%","100.00%","-","-",""
"NP Margin","28.18    %","28.18    %","28.18    %","22.54    %","28.42    %","-     %","-   %","-"
"YoY %","0.00%","0.00%","25.02%","-20.69%","0.00%","-","-",""
"Horiz. %","99.16%","99.16%","99.16%","79.31%","100.00%","-","-",""
"ROE","14.72    %","14.72    %","14.72    %","10.64    %","15.99    %","-     %","-   %","-"
"YoY %","0.00%","0.00%","38.35%","-33.46%","0.00%","-","-",""
"Horiz. %","92.06%","92.06%","92.06%","66.54%","100.00%","-","-",""
"RPS","8.66","8.66","8.66","6.86","10.27","-","-","-"
"YoY %","0.00%","0.00%","26.24%","-33.20%","0.00%","-","-",""
"Horiz. %","84.32%","84.32%","84.32%","66.80%","100.00%","-","-",""
"EPS","2.28","2.27","2.28","1.45","2.92","0.00","-","-"
"YoY %","0.44%","-0.44%","57.24%","-50.34%","0.00%","-","-",""
"Horiz. %","78.08%","77.74%","78.08%","49.66%","100.00%","-","-",""
"DPS","1.00","1.00","1.00","1.00","1.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","-","-",""
"NAPS","0.1545","0.1545","0.1545","0.1366","0.1825","0.1281","-","6.45%"
"YoY %","0.00%","0.00%","13.10%","-25.15%","42.47%","-","-",""
"Horiz. %","120.61%","120.61%","120.61%","106.64%","142.47%","100.00%","-",""
"RPS","8.64","8.64","8.64","6.83","6.91","-","-","-"
"YoY %","0.00%","0.00%","26.50%","-1.16%","0.00%","-","-",""
"Horiz. %","125.04%","125.04%","125.04%","98.84%","100.00%","-","-",""
"EPS","2.27","2.27","2.27","1.45","1.96","0.00","-","-"
"YoY %","0.00%","0.00%","56.55%","-26.02%","0.00%","-","-",""
"Horiz. %","115.82%","115.82%","115.82%","73.98%","100.00%","-","-",""
"DPS","1.00","1.00","1.00","1.00","0.67","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","49.25%","0.00%","-","-",""
"Horiz. %","149.25%","149.25%","149.25%","149.25%","100.00%","-","-",""
"NAPS","0.1542","0.1542","0.1542","0.1360","0.1229","0.1281","-","6.38%"
"YoY %","0.00%","0.00%","13.38%","10.66%","-4.06%","-","-",""
"Horiz. %","120.37%","120.37%","120.37%","106.17%","95.94%","100.00%","-",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","-","-","-"
"Price","0.3250","0.3250","0.3250","0.2950","0.8550","0.0000","-","-"
"P/RPS","3.75","3.75","3.75","4.30","8.33","0.00","-","-"
"YoY %","0.00%","0.00%","-12.79%","-48.38%","0.00%","-","-",""
"Horiz. %","45.02%","45.02%","45.02%","51.62%","100.00%","-","-",""
"P/EPS","14.29","14.29","14.29","20.30","29.29","0.00","-","-"
"YoY %","0.00%","0.00%","-29.61%","-30.69%","0.00%","-","-",""
"Horiz. %","48.79%","48.79%","48.79%","69.31%","100.00%","-","-",""
"EY","7.00","7.00","7.00","4.93","3.41","0.00","-","-"
"YoY %","0.00%","0.00%","41.99%","44.57%","0.00%","-","-",""
"Horiz. %","205.28%","205.28%","205.28%","144.57%","100.00%","-","-",""
"DY","3.08","3.08","3.08","3.39","1.17","0.00","-","-"
"YoY %","0.00%","0.00%","-9.14%","189.74%","0.00%","-","-",""
"Horiz. %","263.25%","263.25%","263.25%","289.74%","100.00%","-","-",""
"P/NAPS","2.10","2.10","2.10","2.16","4.68","0.00","-","-"
"YoY %","0.00%","0.00%","-2.78%","-53.85%","0.00%","-","-",""
"Horiz. %","44.87%","44.87%","44.87%","46.15%","100.00%","-","-",""
"Date","AQR","T4Q","13/08/19","15/08/18","15/08/17","-","-","-"
"Price","0.3250","0.3250","0.3250","0.3800","0.8000","0.0000","-","-"
"P/RPS","3.75","3.75","3.75","5.54","7.79","0.00","-","-"
"YoY %","0.00%","0.00%","-32.31%","-28.88%","0.00%","-","-",""
