Column1,AQR,T4Q,31/07/17,31/07/16,31/07/15,31/07/14,31/07/13,31/07/12,31/07/11,31/07/10,31/07/09,31/07/08,CAGR
"Revenue","64,641","62,782","80,165","76,901","90,028","104,768","109,173","111,091","101,635","103,684","84,702","74,283","0.85%"
"YoY %","2.96%","-21.68%","4.24%","-14.58%","-14.07%","-4.03%","-1.73%","9.30%","-1.98%","22.41%","14.03%","-",""
"Horiz. %","87.02%","84.52%","107.92%","103.52%","121.20%","141.04%","146.97%","149.55%","136.82%","139.58%","114.03%","100.00%",""
"PBT","-1,166","-1,664","1,968","-2,536","-229","10,172","31,586","14,708","11,737","12,661","348","-1,491","-"
"YoY %","29.89%","-184.55%","177.60%","-1,007.42%","-102.25%","-67.80%","114.75%","25.31%","-7.30%","3,538.22%","123.34%","-",""
"Horiz. %","78.25%","111.60%","-131.99%","170.09%","15.36%","-682.23%","-2,118.44%","-986.45%","-787.19%","-849.16%","-23.34%","100.00%",""
"Tax","-50","80","-717","344","-896","-1,181","-2,386","-3,922","-3,165","-3,277","-112","-2,027","-10.90%"
"YoY %","-163.33%","111.16%","-308.43%","138.39%","24.13%","50.50%","39.16%","-23.92%","3.42%","-2,825.89%","94.47%","-",""
"Horiz. %","2.50%","-3.95%","35.37%","-16.97%","44.20%","58.26%","117.71%","193.49%","156.14%","161.67%","5.53%","100.00%",""
"NP","-1,217","-1,584","1,251","-2,192","-1,125","8,991","29,200","10,786","8,572","9,384","236","-3,518","-"
"YoY %","23.15%","-226.62%","157.07%","-94.84%","-112.51%","-69.21%","170.72%","25.83%","-8.65%","3,876.27%","106.71%","-",""
"Horiz. %","34.60%","45.03%","-35.56%","62.31%","31.98%","-255.57%","-830.02%","-306.59%","-243.66%","-266.74%","-6.71%","100.00%",""
"NP to SH","-1,217","-1,584","1,251","-2,288","-1,074","9,113","28,800","10,916","8,650","9,396","232","-3,674","-"
"YoY %","23.15%","-226.62%","154.68%","-113.04%","-111.79%","-68.36%","163.83%","26.20%","-7.94%","3,950.00%","106.31%","-",""
"Horiz. %","33.13%","43.11%","-34.05%","62.28%","29.23%","-248.04%","-783.89%","-297.11%","-235.44%","-255.74%","-6.31%","100.00%",""
"Tax Rate","-     %","-     %","36.43    %","-     %","-     %","11.61    %","7.55    %","26.67    %","26.97    %","25.88    %","32.18    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","53.77%","-71.69%","-1.11%","4.21%","-19.58%","0.00%","-",""
