Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"06/09/2019","0.73","0.88","+0.15 (20.55%)","BUY","HLG"
"30/08/2019","0.73","0.88","+0.15 (20.55%)","BUY","MIDF"
"30/08/2019","0.73","0.82","+0.09 (12.33%)","BUY","KENANGA"
"30/08/2019","0.73","0.88","+0.15 (20.55%)","BUY","HLG"
"30/08/2019","0.73","0.82","+0.09 (12.33%)","HOLD","AmInvest"
"12/07/2019","0.80","0.80","0.00 (0.00%)","HOLD","HLG"
"04/07/2019","0.82","0.88","+0.06 (7.32%)","HOLD","KENANGA"
"01/07/2019","0.825","0.91","+0.085 (10.30%)","HOLD","AmInvest"
"03/06/2019","0.84","0.88","+0.04 (4.76%)","HOLD","MIDF"
"03/06/2019","0.84","0.88","+0.04 (4.76%)","HOLD","KENANGA"

