Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","143,926","172,587","189,709","145,632","139,004","-","-","-"
"YoY %","-16.61%","-9.03%","30.27%","4.77%","0.00%","-","-",""
"Horiz. %","103.54%","124.16%","136.48%","104.77%","100.00%","-","-",""
"PBT","-3,686","-108,548","-94,589","21,910","19,890","-","-","-"
"YoY %","96.60%","-14.76%","-531.72%","10.16%","0.00%","-","-",""
"Horiz. %","-18.53%","-545.74%","-475.56%","110.16%","100.00%","-","-",""
"Tax","-1,264","-4,307","-8,011","-6,903","-5,873","-","-","-"
"YoY %","70.65%","46.24%","-16.05%","-17.54%","0.00%","-","-",""
"Horiz. %","21.52%","73.34%","136.40%","117.54%","100.00%","-","-",""
"NP","-4,950","-112,855","-102,600","15,007","14,017","-","-","-"
"YoY %","95.61%","-10.00%","-783.68%","7.06%","0.00%","-","-",""
"Horiz. %","-35.31%","-805.13%","-731.97%","107.06%","100.00%","-","-",""
"NP to SH","-4,950","-112,855","-102,600","15,007","14,017","-","-","-"
"YoY %","95.61%","-10.00%","-783.68%","7.06%","0.00%","-","-",""
"Horiz. %","-35.31%","-805.13%","-731.97%","107.06%","100.00%","-","-",""
"Tax Rate","-     %","-     %","-     %","31.51    %","29.53    %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","6.71%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","106.71%","100.00%","-","-",""
"Total Cost","148,876","285,442","292,309","130,625","124,987","-","-","-"
"YoY %","-47.84%","-2.35%","123.78%","4.51%","0.00%","-","-",""
"Horiz. %","119.11%","228.38%","233.87%","104.51%","100.00%","-","-",""
"Net Worth","208,262","208,262","199,932","89,342","67,645","-","-","-"
"YoY %","0.00%","4.17%","123.78%","32.08%","0.00%","-","-",""
"Horiz. %","307.87%","307.87%","295.56%","132.08%","100.00%","-","-",""
"Div","-","0","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Net Worth","208,262","208,262","199,932","89,342","67,645","-","-","-"
"YoY %","0.00%","4.17%","123.78%","32.08%","0.00%","-","-",""
"Horiz. %","307.87%","307.87%","295.56%","132.08%","100.00%","-","-",""
"NOSH","495,862","495,862","464,959","319,081","281,855","-","-","-"
"YoY %","0.00%","6.65%","45.72%","13.21%","0.00%","-","-",""
"Horiz. %","175.93%","175.93%","164.96%","113.21%","100.00%","-","-",""
"NP Margin","-3.44    %","-65.39    %","-54.08    %","10.30    %","10.08    %","-     %","-   %","-"
"YoY %","94.74%","-20.91%","-625.05%","2.18%","0.00%","-","-",""
"Horiz. %","-34.13%","-648.71%","-536.51%","102.18%","100.00%","-","-",""
"ROE","-2.38    %","-54.19    %","-51.32    %","16.80    %","20.72    %","-     %","-   %","-"
"YoY %","95.61%","-5.59%","-405.48%","-18.92%","0.00%","-","-",""
"Horiz. %","-11.49%","-261.53%","-247.68%","81.08%","100.00%","-","-",""
"RPS","29.03","34.81","40.80","45.64","49.32","-","-","-"
"YoY %","-16.60%","-14.68%","-10.60%","-7.46%","0.00%","-","-",""
"Horiz. %","58.86%","70.58%","82.73%","92.54%","100.00%","-","-",""
"EPS","-1.00","-22.76","-22.06","4.70","4.97","-","-","-"
"YoY %","95.61%","-3.17%","-569.36%","-5.43%","0.00%","-","-",""
"Horiz. %","-20.12%","-457.95%","-443.86%","94.57%","100.00%","-","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.4200","0.4200","0.4300","0.2800","0.2400","0.1400","-","45.31%"
"YoY %","0.00%","-2.33%","53.57%","16.67%","71.43%","-","-",""
"Horiz. %","300.00%","300.00%","307.14%","200.00%","171.43%","100.00%","-",""
"RPS","29.03","34.81","38.26","29.37","28.03","-","-","-"
"YoY %","-16.60%","-9.02%","30.27%","4.78%","0.00%","-","-",""
"Horiz. %","103.57%","124.19%","136.50%","104.78%","100.00%","-","-",""
"EPS","-1.00","-22.76","-20.69","3.03","2.83","-","-","-"
"YoY %","95.61%","-10.00%","-782.84%","7.07%","0.00%","-","-",""
"Horiz. %","-35.34%","-804.24%","-731.10%","107.07%","100.00%","-","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.4200","0.4200","0.4032","0.1802","0.1364","0.1400","-","42.23%"
"YoY %","0.00%","4.17%","123.75%","32.11%","-2.57%","-","-",""
"Horiz. %","300.00%","300.00%","288.00%","128.71%","97.43%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","-","-","-"
"Price","1.1600","1.1600","0.8600","1.4800","0.3950","0.0000","-","-"
"P/RPS","4.00","3.33","2.11","3.24","0.80","0.00","-","-"
"YoY %","20.12%","57.82%","-34.88%","305.00%","0.00%","-","-",""
"Horiz. %","500.00%","416.25%","263.75%","405.00%","100.00%","-","-",""
"P/EPS","-116.20","-5.10","-3.90","31.47","7.94","0.00","-","-"
"YoY %","-2,178.43%","-30.77%","-112.39%","296.35%","0.00%","-","-",""
"Horiz. %","-1,463.48%","-64.23%","-49.12%","396.35%","100.00%","-","-",""
"EY","-0.86","-19.62","-25.66","3.18","12.59","0.00","-","-"
"YoY %","95.62%","23.54%","-906.92%","-74.74%","0.00%","-","-",""
"Horiz. %","-6.83%","-155.84%","-203.81%","25.26%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","2.76","2.76","2.00","5.29","1.65","0.00","-","-"
"YoY %","0.00%","38.00%","-62.19%","220.61%","0.00%","-","-",""
"Horiz. %","167.27%","167.27%","121.21%","320.61%","100.00%","-","-",""
"Date","AQR","T4Q","21/02/19","13/02/18","15/02/17","-","-","-"
"Price","0.9400","0.9400","1.0000","1.5900","0.5100","0.0000","-","-"
"P/RPS","3.24","2.70","2.45","3.48","1.03","0.00","-","-"
"YoY %","20.00%","10.20%","-29.60%","237.86%","0.00%","-","-",""
"Horiz. %","314.56%","262.14%","237.86%","337.86%","100.00%","-","-",""
"P/EPS","-94.16","-4.13","-4.53","33.81","10.26","0.00","-","-"
"YoY %","-2,179.90%","8.83%","-113.40%","229.53%","0.00%","-","-",""
"Horiz. %","-917.74%","-40.25%","-44.15%","329.53%","100.00%","-","-",""
"EY","-1.06","-24.21","-22.07","2.96","9.75","0.00","-","-"
"YoY %","95.62%","-9.70%","-845.61%","-69.64%","0.00%","-","-",""
"Horiz. %","-10.87%","-248.31%","-226.36%","30.36%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","2.24","2.24","2.33","5.68","2.13","0.00","-","-"
"YoY %","0.00%","-3.86%","-58.98%","166.67%","0.00%","-","-",""
"Horiz. %","105.16%","105.16%","109.39%","266.67%","100.00%","-","-",""

