Column1,AQR,T4Q,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,30/06/09,30/06/08,CAGR
"Revenue","248,058","273,076","437,670","824,714","688,441","845,145","868,657","748,207","576,678","434,150","327,639","3.68%"
"YoY %","-9.16%","-37.61%","-46.93%","19.79%","-18.54%","-2.71%","16.10%","29.74%","32.83%","32.51%","-",""
"Horiz. %","75.71%","83.35%","133.58%","251.71%","210.12%","257.95%","265.13%","228.36%","176.01%","132.51%","100.00%",""
"PBT","40,558","-372,307","-331,403","207,900","135,764","176,998","162,183","155,673","127,194","110,808","75,842","-"
"YoY %","110.89%","-12.34%","-259.40%","53.13%","-23.30%","9.13%","4.18%","22.39%","14.79%","46.10%","-",""
"Horiz. %","53.48%","-490.90%","-436.96%","274.12%","179.01%","233.38%","213.84%","205.26%","167.71%","146.10%","100.00%",""
"Tax","-4,806","-4,705","-14,418","-48,084","-36,851","-41,175","-37,150","-29,555","-25,741","-18,563","-9,248","5.70%"
"YoY %","-2.15%","67.37%","70.01%","-30.48%","10.50%","-10.83%","-25.70%","-14.82%","-38.67%","-100.72%","-",""
"Horiz. %","51.97%","50.88%","155.90%","519.94%","398.48%","445.23%","401.71%","319.58%","278.34%","200.72%","100.00%",""
"NP","35,752","-377,012","-345,821","159,816","98,913","135,823","125,033","126,118","101,453","92,245","66,594","-"
"YoY %","109.48%","-9.02%","-316.39%","61.57%","-27.18%","8.63%","-0.86%","24.31%","9.98%","38.52%","-",""
"Horiz. %","53.69%","-566.14%","-519.30%","239.99%","148.53%","203.96%","187.75%","189.38%","152.35%","138.52%","100.00%",""
"NP to SH","-7,284","-385,601","-353,191","130,978","97,025","152,868","125,033","126,118","101,453","92,247","66,596","-"
"YoY %","98.11%","-9.18%","-369.66%","34.99%","-36.53%","22.26%","-0.86%","24.31%","9.98%","38.52%","-",""
"Horiz. %","-10.94%","-579.02%","-530.35%","196.68%","145.69%","229.55%","187.75%","189.38%","152.34%","138.52%","100.00%",""
"Tax Rate","11.85    %","-     %","-     %","23.13    %","27.14    %","23.26    %","22.91    %","18.99    %","20.24    %","16.75    %","12.19    %","-"
"YoY %","0.00%","0.00%","0.00%","-14.78%","16.68%","1.53%","20.64%","-6.18%","20.84%","37.41%","-",""
"Horiz. %","97.21%","0.00%","0.00%","189.75%","222.64%","190.81%","187.94%","155.78%","166.04%","137.41%","100.00%",""
"Total Cost","212,306","650,088","783,491","664,898","589,528","709,322","743,624","622,089","475,225","341,905","261,045","14.72%"
"YoY %","-67.34%","-17.03%","17.84%","12.78%","-16.89%","-4.61%","19.54%","30.90%","38.99%","30.98%","-",""
"Horiz. %","81.33%","249.03%","300.14%","254.71%","225.83%","271.72%","284.86%","238.31%","182.05%","130.98%","100.00%",""
"Net Worth","921,821","921,821","881,078","926,748","968,523","871,065","619,677","491,829","344,530","120,135","98,819","31.43%"
"YoY %","0.00%","4.62%","-4.93%","-4.31%","11.19%","40.57%","25.99%","42.75%","186.78%","21.57%","-",""
"Horiz. %","932.83%","932.83%","891.60%","937.82%","980.09%","881.47%","627.08%","497.70%","348.65%","121.57%","100.00%",""
"Div","-","0","-","5,435","-","-","-","-","15,519","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","35.02%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Div Payout %","-     %","-     %","-     %","4.15    %","-     %","-     %","-     %","-     %","15.30    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","27.12%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Net Worth","921,821","921,821","881,078","926,748","968,523","871,065","619,677","491,829","344,530","120,135","98,819","31.43%"
"YoY %","0.00%","4.62%","-4.93%","-4.31%","11.19%","40.57%","25.99%","42.75%","186.78%","21.57%","-",""
"Horiz. %","932.83%","932.83%","891.60%","937.82%","980.09%","881.47%","627.08%","497.70%","348.65%","121.57%","100.00%",""
"NOSH","485,169","485,169","379,775","271,773","310,424","345,660","305,260","311,284","310,388","214,527","214,825","7.38%"
"YoY %","0.00%","27.75%","39.74%","-12.45%","-10.19%","13.23%","-1.94%","0.29%","44.68%","-0.14%","-",""
"Horiz. %","225.84%","225.84%","176.78%","126.51%","144.50%","160.90%","142.10%","144.90%","144.48%","99.86%","100.00%",""
"NP Margin","14.41    %","-138.06    %","-79.01    %","19.38    %","14.37    %","16.07    %","14.39    %","16.86    %","17.59    %","21.25    %","20.33    %","-"
"YoY %","110.44%","-74.74%","-507.69%","34.86%","-10.58%","11.67%","-14.65%","-4.15%","-17.22%","4.53%","-",""
"Horiz. %","70.88%","-679.09%","-388.64%","95.33%","70.68%","79.05%","70.78%","82.93%","86.52%","104.53%","100.00%",""
"ROE","-0.79    %","-41.83    %","-40.09    %","14.13    %","10.02    %","17.55    %","20.18    %","25.64    %","29.45    %","76.79    %","67.39    %","-"
"YoY %","98.11%","-4.34%","-383.72%","41.02%","-42.91%","-13.03%","-21.29%","-12.94%","-61.65%","13.95%","-",""
"Horiz. %","-1.17%","-62.07%","-59.49%","20.97%","14.87%","26.04%","29.95%","38.05%","43.70%","113.95%","100.00%",""
"RPS","51.13","56.28","115.24","303.46","221.77","244.50","284.56","240.36","185.79","202.37","152.51","-3.44%"
"YoY %","-9.15%","-51.16%","-62.02%","36.84%","-9.30%","-14.08%","18.39%","29.37%","-8.19%","32.69%","-",""
"Horiz. %","33.53%","36.90%","75.56%","198.98%","145.41%","160.32%","186.58%","157.60%","121.82%","132.69%","100.00%",""
"EPS","8.00","-79.48","-93.00","47.00","32.00","44.00","41.00","41.00","33.00","43.00","31.00","-"
"YoY %","110.07%","14.54%","-297.87%","46.88%","-27.27%","7.32%","0.00%","24.24%","-23.26%","38.71%","-",""
"Horiz. %","25.81%","-256.39%","-300.00%","151.61%","103.23%","141.94%","132.26%","132.26%","106.45%","138.71%","100.00%",""
"DPS","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","5.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","40.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
