Column1,AQR,T4Q,31/01/18,31/01/17,31/01/16,31/01/15,31/01/14,31/01/13,31/01/12,31/01/11,31/01/10,31/01/09,CAGR
"Revenue","48,250","52,842","56,820","112,993","155,609","204,548","191,435","212,636","637,424","183,395","250,979","301,278","-16.91%"
"YoY %","-8.69%","-7.00%","-49.71%","-27.39%","-23.93%","6.85%","-9.97%","-66.64%","247.57%","-26.93%","-16.70%","-",""
"Horiz. %","16.02%","17.54%","18.86%","37.50%","51.65%","67.89%","63.54%","70.58%","211.57%","60.87%","83.30%","100.00%",""
"PBT","-19,396","-21,650","-22,154","-36,172","19,406","-97,911","23,222","-13,994","-124,418","-153,753","20,121","60,563","-"
"YoY %","10.41%","2.27%","38.75%","-286.40%","119.82%","-521.63%","265.94%","88.75%","19.08%","-864.14%","-66.78%","-",""
"Horiz. %","-32.03%","-35.75%","-36.58%","-59.73%","32.04%","-161.67%","38.34%","-23.11%","-205.44%","-253.87%","33.22%","100.00%",""
"Tax","-1,454","-955","-1,797","1,550","-43,086","-52,090","-15,246","-6,005","-2,993","-13,978","-11,651","152","-"
"YoY %","-52.25%","46.86%","-215.94%","103.60%","17.29%","-241.66%","-153.89%","-100.63%","78.59%","-19.97%","-7,765.13%","-",""
"Horiz. %","-956.58%","-628.29%","-1,182.24%","1,019.74%","-28,346.05%","-34,269.73%","-10,030.26%","-3,950.66%","-1,969.08%","-9,196.05%","-7,665.13%","100.00%",""
"NP","-20,850","-22,605","-23,951","-34,622","-23,680","-150,001","7,976","-19,999","-127,411","-167,731","8,470","60,715","-"
"YoY %","7.76%","5.62%","30.82%","-46.21%","84.21%","-1,980.65%","139.88%","84.30%","24.04%","-2,080.30%","-86.05%","-",""
"Horiz. %","-34.34%","-37.23%","-39.45%","-57.02%","-39.00%","-247.06%","13.14%","-32.94%","-209.85%","-276.26%","13.95%","100.00%",""
"NP to SH","-20,610","-22,377","-23,608","-34,503","-21,257","-141,738","21,975","-20,145","-126,406","-167,088","7,090","59,105","-"
"YoY %","7.90%","5.21%","31.58%","-62.31%","85.00%","-745.00%","209.08%","84.06%","24.35%","-2,456.67%","-88.00%","-",""
"Horiz. %","-34.87%","-37.86%","-39.94%","-58.38%","-35.96%","-239.81%","37.18%","-34.08%","-213.87%","-282.70%","12.00%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","222.02    %","-     %","65.65    %","-     %","-     %","-     %","57.90    %","-0.25    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","23,260.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","-88,808.00%","0.00%","-26,260.00%","0.00%","0.00%","0.00%","-23,160.00%","100.00%",""
"Total Cost","69,100","75,447","80,771","147,615","179,289","354,549","183,459","232,635","764,835","351,126","242,509","240,563","-11.41%"
"YoY %","-8.41%","-6.59%","-45.28%","-17.67%","-49.43%","93.26%","-21.14%","-69.58%","117.82%","44.79%","0.81%","-",""
"Horiz. %","28.72%","31.36%","33.58%","61.36%","74.53%","147.38%","76.26%","96.70%","317.94%","145.96%","100.81%","100.00%",""
"Net Worth","372,417","372,417","384,227","409,954","444,079","419,106","558,775","569,069","532,127","517,918","472,666","391,963","-0.22%"
"YoY %","0.00%","-3.07%","-6.28%","-7.68%","5.96%","-25.00%","-1.81%","6.94%","2.74%","9.57%","20.59%","-",""
"Horiz. %","95.01%","95.01%","98.03%","104.59%","113.30%","106.92%","142.56%","145.18%","135.76%","132.13%","120.59%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","372,417","372,417","384,227","409,954","444,079","419,106","558,775","569,069","532,127","517,918","472,666","391,963","-0.22%"
"YoY %","0.00%","-3.07%","-6.28%","-7.68%","5.96%","-25.00%","-1.81%","6.94%","2.74%","9.57%","20.59%","-",""
"Horiz. %","95.01%","95.01%","98.03%","104.59%","113.30%","106.92%","142.56%","145.18%","135.76%","132.13%","120.59%","100.00%",""
"NOSH","4,217,644","4,217,644","4,217,644","4,217,644","4,225,306","3,852,085","3,991,250","4,064,782","3,800,909","2,877,327","1,969,444","642,563","23.24%"
"YoY %","0.00%","0.00%","0.00%","-0.18%","9.69%","-3.49%","-1.81%","6.94%","32.10%","46.10%","206.50%","-",""
"Horiz. %","656.38%","656.38%","656.38%","656.38%","657.57%","599.49%","621.15%","632.59%","591.52%","447.79%","306.50%","100.00%",""
"NP Margin","-43.21    %","-42.78    %","-42.15    %","-30.64    %","-15.22    %","-73.33    %","4.17    %","-9.41    %","-19.99    %","-91.46    %","3.37    %","20.15    %","-"
"YoY %","-1.01%","-1.49%","-37.57%","-101.31%","79.24%","-1,858.51%","144.31%","52.93%","78.14%","-2,813.95%","-83.28%","-",""
"Horiz. %","-214.44%","-212.31%","-209.18%","-152.06%","-75.53%","-363.92%","20.69%","-46.70%","-99.21%","-453.90%","16.72%","100.00%",""
"ROE","-5.53    %","-6.01    %","-6.14    %","-8.42    %","-4.79    %","-33.82    %","3.93    %","-3.54    %","-23.75    %","-32.26    %","1.50    %","15.08    %","-"
"YoY %","7.99%","2.12%","27.08%","-75.78%","85.84%","-960.56%","211.02%","85.09%","26.38%","-2,250.67%","-90.05%","-",""
"Horiz. %","-36.67%","-39.85%","-40.72%","-55.84%","-31.76%","-224.27%","26.06%","-23.47%","-157.49%","-213.93%","9.95%","100.00%",""
"RPS","1.14","1.25","1.35","2.68","3.68","5.31","4.80","5.23","16.77","6.37","12.74","46.89","-32.56%"
"YoY %","-8.80%","-7.41%","-49.63%","-27.17%","-30.70%","10.62%","-8.22%","-68.81%","163.27%","-50.00%","-72.83%","-",""
"Horiz. %","2.43%","2.67%","2.88%","5.72%","7.85%","11.32%","10.24%","11.15%","35.76%","13.58%","27.17%","100.00%",""
"EPS","-0.48","-0.53","-0.56","-0.82","-0.50","-3.31","0.26","-0.50","-3.33","-5.81","0.36","9.39","-"
"YoY %","9.43%","5.36%","31.71%","-64.00%","84.89%","-1,373.08%","152.00%","84.98%","42.69%","-1,713.89%","-96.17%","-",""
"Horiz. %","-5.11%","-5.64%","-5.96%","-8.73%","-5.32%","-35.25%","2.77%","-5.32%","-35.46%","-61.87%","3.83%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.0883","0.0883","0.0911","0.0972","0.1051","0.1088","0.1400","0.1400","0.1400","0.1800","0.2400","0.6100","-19.03%"
"YoY %","0.00%","-3.07%","-6.28%","-7.52%","-3.40%","-22.29%","0.00%","0.00%","-22.22%","-25.00%","-60.66%","-",""
"Horiz. %","14.48%","14.48%","14.93%","15.93%","17.23%","17.84%","22.95%","22.95%","22.95%","29.51%","39.34%","100.00%",""
"RPS","1.14","1.25","1.35","2.68","3.69","4.84","4.53","5.04","15.10","4.34","5.94","7.14","-16.89%"
"YoY %","-8.80%","-7.41%","-49.63%","-27.37%","-23.76%","6.84%","-10.12%","-66.62%","247.93%","-26.94%","-16.81%","-",""
"Horiz. %","15.97%","17.51%","18.91%","37.54%","51.68%","67.79%","63.45%","70.59%","211.48%","60.78%","83.19%","100.00%",""
"EPS","-0.49","-0.53","-0.56","-0.82","-0.50","-3.36","0.52","-0.48","-2.99","-3.96","0.17","1.40","-"
"YoY %","7.55%","5.36%","31.71%","-64.00%","85.12%","-746.15%","208.33%","83.95%","24.49%","-2,429.41%","-87.86%","-",""
"Horiz. %","-35.00%","-37.86%","-40.00%","-58.57%","-35.71%","-240.00%","37.14%","-34.29%","-213.57%","-282.86%","12.14%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.0882","0.0882","0.0910","0.0971","0.1052","0.0993","0.1323","0.1348","0.1260","0.1227","0.1120","0.0928","-0.22%"
"YoY %","0.00%","-3.08%","-6.28%","-7.70%","5.94%","-24.94%","-1.85%","6.98%","2.69%","9.55%","20.69%","-",""
"Horiz. %","95.04%","95.04%","98.06%","104.63%","113.36%","107.00%","142.56%","145.26%","135.78%","132.22%","120.69%","100.00%",""
"Date","AQR","T4Q","30/01/18","31/01/17","29/01/16","30/01/15","30/01/14","31/01/13","31/01/12","31/01/11","29/01/10","30/01/09","-"
"Price","0.0400","0.0400","0.0400","0.0400","0.0550","0.0800","0.0650","0.0450","0.0600","0.1000","0.1200","0.0500","-"
"P/RPS","3.50","3.19","2.97","1.49","1.49","1.51","1.36","0.86","0.36","1.57","0.94","0.11","44.19%"
"YoY %","9.72%","7.41%","99.33%","0.00%","-1.32%","11.03%","58.14%","138.89%","-77.07%","67.02%","754.55%","-",""
"Horiz. %","3,181.82%","2,900.00%","2,700.00%","1,354.55%","1,354.55%","1,372.73%","1,236.36%","781.82%","327.27%","1,427.27%","854.55%","100.00%",""
"P/EPS","-8.19","-7.54","-7.15","-4.89","-10.93","-2.17","11.81","-9.08","-1.80","-1.72","33.33","0.54","-"
"YoY %","-8.62%","-5.45%","-46.22%","55.26%","-403.69%","-118.37%","230.07%","-404.44%","-4.65%","-105.16%","6,072.22%","-",""
"Horiz. %","-1,516.67%","-1,396.30%","-1,324.07%","-905.56%","-2,024.07%","-401.85%","2,187.04%","-1,681.48%","-333.33%","-318.52%","6,172.22%","100.00%",""
"EY","-12.22","-13.26","-13.99","-20.45","-9.15","-45.99","8.47","-11.01","-55.43","-58.07","3.00","183.97","-"
"YoY %","7.84%","5.22%","31.59%","-123.50%","80.10%","-642.98%","176.93%","80.14%","4.55%","-2,035.67%","-98.37%","-",""
"Horiz. %","-6.64%","-7.21%","-7.60%","-11.12%","-4.97%","-25.00%","4.60%","-5.98%","-30.13%","-31.56%","1.63%","100.00%",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.45","0.45","0.44","0.41","0.52","0.74","0.46","0.32","0.43","0.56","0.50","0.08","20.84%"
"YoY %","0.00%","2.27%","7.32%","-21.15%","-29.73%","60.87%","43.75%","-25.58%","-23.21%","12.00%","525.00%","-",""
"Horiz. %","562.50%","562.50%","550.00%","512.50%","650.00%","925.00%","575.00%","400.00%","537.50%","700.00%","625.00%","100.00%",""
"Date","AQR","T4Q","30/03/18","30/03/17","31/03/16","27/03/15","28/03/14","29/03/13","30/03/12","31/03/11","25/03/10","30/03/09","-"
"Price","0.0350","0.0350","0.0350","0.0450","0.0550","0.0850","0.0700","0.0450","0.0700","0.0900","0.1200","0.0500","-"
"P/RPS","3.06","2.79","2.60","1.68","1.49","1.60","1.46","0.86","0.42","1.41","0.94","0.11","42.08%"
"YoY %","9.68%","7.31%","54.76%","12.75%","-6.88%","9.59%","69.77%","104.76%","-70.21%","50.00%","754.55%","-",""
"Horiz. %","2,781.82%","2,536.36%","2,363.64%","1,527.27%","1,354.55%","1,454.55%","1,327.27%","781.82%","381.82%","1,281.82%","854.55%","100.00%",""
"P/EPS","-7.16","-6.60","-6.25","-5.50","-10.93","-2.31","12.71","-9.08","-2.10","-1.55","33.33","0.54","-"
"YoY %","-8.48%","-5.60%","-13.64%","49.68%","-373.16%","-118.17%","239.98%","-332.38%","-35.48%","-104.65%","6,072.22%","-",""
"Horiz. %","-1,325.93%","-1,222.22%","-1,157.41%","-1,018.52%","-2,024.07%","-427.78%","2,353.70%","-1,681.48%","-388.89%","-287.04%","6,172.22%","100.00%",""
"EY","-13.96","-15.16","-15.99","-18.18","-9.15","-43.29","7.87","-11.01","-47.51","-64.52","3.00","183.97","-"
"YoY %","7.92%","5.19%","12.05%","-98.69%","78.86%","-650.06%","171.48%","76.83%","26.36%","-2,250.67%","-98.37%","-",""
"Horiz. %","-7.59%","-8.24%","-8.69%","-9.88%","-4.97%","-23.53%","4.28%","-5.98%","-25.82%","-35.07%","1.63%","100.00%",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.40","0.40","0.38","0.46","0.52","0.78","0.50","0.32","0.50","0.50","0.50","0.08","18.89%"
