Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,CAGR
"Revenue","311,803","311,803","311,803","399,030","380,752","400,079","340,650","283,848","0","-"
"YoY %","0.00%","0.00%","-21.86%","4.80%","-4.83%","17.45%","20.01%","0.00%","-",""
"Horiz. %","109.85%","109.85%","109.85%","140.58%","134.14%","140.95%","120.01%","100.00%","-",""
"PBT","52,525","52,525","52,525","107,027","110,600","91,591","111,083","96,443","0","-"
"YoY %","0.00%","0.00%","-50.92%","-3.23%","20.75%","-17.55%","15.18%","0.00%","-",""
"Horiz. %","54.46%","54.46%","54.46%","110.97%","114.68%","94.97%","115.18%","100.00%","-",""
"Tax","-15,266","-15,266","-15,266","-35,535","-34,217","-23,306","-30,332","-25,148","0","-"
"YoY %","0.00%","0.00%","57.04%","-3.85%","-46.82%","23.16%","-20.61%","0.00%","-",""
"Horiz. %","60.70%","60.70%","60.70%","141.30%","136.06%","92.68%","120.61%","100.00%","-",""
"NP","37,259","37,259","37,259","71,492","76,383","68,285","80,751","71,295","0","-"
"YoY %","0.00%","0.00%","-47.88%","-6.40%","11.86%","-15.44%","13.26%","0.00%","-",""
"Horiz. %","52.26%","52.26%","52.26%","100.28%","107.14%","95.78%","113.26%","100.00%","-",""
"NP to SH","34,924","34,924","34,924","72,900","76,735","68,340","80,936","71,295","0","-"
"YoY %","0.00%","0.00%","-52.09%","-5.00%","12.28%","-15.56%","13.52%","0.00%","-",""
"Horiz. %","48.99%","48.99%","48.99%","102.25%","107.63%","95.86%","113.52%","100.00%","-",""
"Tax Rate","29.06    %","29.06    %","29.06    %","33.20    %","30.94    %","25.45    %","27.31    %","26.08    %","-     %","-"
"YoY %","0.00%","0.00%","-12.47%","7.30%","21.57%","-6.81%","4.72%","0.00%","-",""
"Horiz. %","111.43%","111.43%","111.43%","127.30%","118.63%","97.58%","104.72%","100.00%","-",""
"Total Cost","274,544","274,544","274,544","327,538","304,369","331,794","259,899","212,553","0","-"
"YoY %","0.00%","0.00%","-16.18%","7.61%","-8.27%","27.66%","22.27%","0.00%","-",""
"Horiz. %","129.16%","129.16%","129.16%","154.10%","143.20%","156.10%","122.27%","100.00%","-",""
"Net Worth","1,315,603","1,315,603","1,315,603","1,236,652","650,630","532,287","472,823","353,097","-","-"
"YoY %","0.00%","0.00%","6.38%","90.07%","22.23%","12.58%","33.91%","0.00%","-",""
"Horiz. %","372.59%","372.59%","372.59%","350.23%","184.26%","150.75%","133.91%","100.00%","-",""
"Div","2,013","2,013","2,013","3,360","-","-","15,878","12,281","-","-"
"YoY %","0.00%","0.00%","-40.08%","0.00%","0.00%","0.00%","29.29%","0.00%","-",""
"Horiz. %","16.40%","16.40%","16.40%","27.36%","0.00%","0.00%","129.29%","100.00%","-",""
"Div Payout %","5.77    %","5.77    %","5.77    %","4.61    %","-     %","-     %","19.62    %","17.23    %","-     %","-"
"YoY %","0.00%","0.00%","25.16%","0.00%","0.00%","0.00%","13.87%","0.00%","-",""
"Horiz. %","33.49%","33.49%","33.49%","26.76%","0.00%","0.00%","113.87%","100.00%","-",""
"Net Worth","1,315,603","1,315,603","1,315,603","1,236,652","650,630","532,287","472,823","353,097","-","-"
"YoY %","0.00%","0.00%","6.38%","90.07%","22.23%","12.58%","33.91%","0.00%","-",""
"Horiz. %","372.59%","372.59%","372.59%","350.23%","184.26%","150.75%","133.91%","100.00%","-",""
"NOSH","1,342,453","1,342,453","1,342,453","1,344,188","394,321","357,239","352,853","307,041","-","-"
"YoY %","0.00%","0.00%","-0.13%","240.89%","10.38%","1.24%","14.92%","0.00%","-",""
"Horiz. %","437.22%","437.22%","437.22%","437.79%","128.43%","116.35%","114.92%","100.00%","-",""
"NP Margin","11.95    %","11.95    %","11.95    %","17.92    %","20.06    %","17.07    %","23.70    %","25.12    %","-     %","-"
"YoY %","0.00%","0.00%","-33.31%","-10.67%","17.52%","-27.97%","-5.65%","0.00%","-",""
"Horiz. %","47.57%","47.57%","47.57%","71.34%","79.86%","67.95%","94.35%","100.00%","-",""
"ROE","2.65    %","2.65    %","2.65    %","5.89    %","11.79    %","12.84    %","17.12    %","20.19    %","-     %","-"
"YoY %","0.00%","0.00%","-55.01%","-50.04%","-8.18%","-25.00%","-15.21%","0.00%","-",""
"Horiz. %","13.13%","13.13%","13.13%","29.17%","58.40%","63.60%","84.79%","100.00%","-",""
"RPS","23.23","23.23","23.23","29.69","96.56","111.99","96.54","92.45","-","-"
