Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","152,530","164,313","129,591","44,823","78,482","75,697","-","19.61%"
"YoY %","-7.17%","26.79%","189.12%","-42.89%","3.68%","-","-",""
"Horiz. %","201.50%","217.07%","171.20%","59.21%","103.68%","100.00%","-",""
"PBT","6,888","-15,282","-25,674","-6,234","5,976","12,137","-","-"
"YoY %","145.07%","40.48%","-311.84%","-204.32%","-50.76%","-","-",""
"Horiz. %","56.75%","-125.91%","-211.53%","-51.36%","49.24%","100.00%","-",""
"Tax","120","60","0","0","-72","-3","-","-"
"YoY %","100.00%","0.00%","0.00%","0.00%","-2,300.00%","-","-",""
"Horiz. %","-4,000.00%","-2,000.00%","-0.00%","-0.00%","2,400.00%","100.00%","-",""
"NP","7,008","-15,222","-25,674","-6,234","5,904","12,134","-","-"
"YoY %","146.04%","40.71%","-311.84%","-205.59%","-51.34%","-","-",""
"Horiz. %","57.76%","-125.45%","-211.59%","-51.38%","48.66%","100.00%","-",""
"NP to SH","8,412","-14,672","-25,536","-6,234","5,904","12,134","-","-"
"YoY %","157.33%","42.54%","-309.62%","-205.59%","-51.34%","-","-",""
"Horiz. %","69.33%","-120.92%","-210.45%","-51.38%","48.66%","100.00%","-",""
"Tax Rate","-1.74    %","-     %","-     %","-     %","1.20    %","0.02    %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","5,900.00%","-","-",""
"Horiz. %","-8,700.00%","0.00%","0.00%","0.00%","6,000.00%","100.00%","-",""
"Total Cost","145,522","179,535","155,265","51,057","72,578","63,563","-","34.64%"
"YoY %","-18.95%","15.63%","204.10%","-29.65%","14.18%","-","-",""
"Horiz. %","228.94%","282.45%","244.27%","80.33%","114.18%","100.00%","-",""
"Net Worth","51,197","51,197","71,676","30,277","35,917","16,408,937","-","-83.63%"
"YoY %","0.00%","-28.57%","136.73%","-15.70%","-99.78%","-","-",""
"Horiz. %","0.31%","0.31%","0.44%","0.18%","0.22%","100.00%","-",""
"Div","-","0","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Net Worth","51,197","51,197","71,676","30,277","35,917","16,408,937","-","-83.63%"
"YoY %","0.00%","-28.57%","136.73%","-15.70%","-99.78%","-","-",""
"Horiz. %","0.31%","0.31%","0.44%","0.18%","0.22%","100.00%","-",""
"NOSH","511,977","511,977","511,977","275,253","224,486","224,288","-","31.64%"
"YoY %","0.00%","0.00%","86.00%","22.61%","0.09%","-","-",""
"Horiz. %","228.27%","228.27%","228.27%","122.72%","100.09%","100.00%","-",""
"NP Margin","4.59    %","-9.26    %","-19.81    %","-13.91    %","7.52    %","16.03    %","-   %","-"
"YoY %","149.57%","53.26%","-42.42%","-284.97%","-53.09%","-","-",""
"Horiz. %","28.63%","-57.77%","-123.58%","-86.77%","46.91%","100.00%","-",""
"ROE","16.43    %","-28.66    %","-35.63    %","-20.59    %","16.44    %","0.07    %","-   %","-"
"YoY %","157.33%","19.56%","-73.05%","-225.24%","23,385.71%","-","-",""
"Horiz. %","23,471.43%","-40,942.86%","-50,900.00%","-29,414.29%","23,485.71%","100.00%","-",""
"RPS","29.79","32.09","25.31","16.28","34.96","33.75","-","-9.14%"
"YoY %","-7.17%","26.79%","55.47%","-53.43%","3.59%","-","-",""
"Horiz. %","88.27%","95.08%","74.99%","48.24%","103.59%","100.00%","-",""
"EPS","1.64","-2.87","-5.44","-2.34","2.63","5.41","-","-"
"YoY %","157.14%","47.24%","-132.48%","-188.97%","-51.39%","-","-",""
"Horiz. %","30.31%","-53.05%","-100.55%","-43.25%","48.61%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.1000","0.1000","0.1400","0.1100","0.1600","73.1600","-","-87.56%"
"YoY %","0.00%","-28.57%","27.27%","-31.25%","-99.78%","-","-",""
"Horiz. %","0.14%","0.14%","0.19%","0.15%","0.22%","100.00%","-",""
"RPS","29.79","32.09","25.31","8.75","15.33","14.79","-","19.59%"
"YoY %","-7.17%","26.79%","189.26%","-42.92%","3.65%","-","-",""
"Horiz. %","201.42%","216.97%","171.13%","59.16%","103.65%","100.00%","-",""
"EPS","1.64","-2.87","-5.44","-1.22","1.15","2.37","-","-"
"YoY %","157.14%","47.24%","-345.90%","-206.09%","-51.48%","-","-",""
"Horiz. %","69.20%","-121.10%","-229.54%","-51.48%","48.52%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.1000","0.1000","0.1400","0.0591","0.0702","32.0501","-","-83.63%"
"YoY %","0.00%","-28.57%","136.89%","-15.81%","-99.78%","-","-",""
"Horiz. %","0.31%","0.31%","0.44%","0.18%","0.22%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","-","-","-","-"
"Price","0.1500","0.1500","0.2050","0.2900","0.0000","0.0000","-","-"
"P/RPS","0.50","0.47","0.81","1.78","0.00","0.00","-","-"
"YoY %","6.38%","-41.98%","-54.49%","0.00%","0.00%","-","-",""
"Horiz. %","28.09%","26.40%","45.51%","100.00%","-","-","-",""
"P/EPS","9.13","-5.23","-4.11","-12.80","0.00","0.00","-","-"
"YoY %","274.57%","-27.25%","67.89%","0.00%","0.00%","-","-",""
"Horiz. %","-71.33%","40.86%","32.11%","100.00%","-","-","-",""
"EY","10.95","-19.11","-24.33","-7.81","0.00","0.00","-","-"
"YoY %","157.30%","21.45%","-211.52%","0.00%","0.00%","-","-",""
"Horiz. %","-140.20%","244.69%","311.52%","100.00%","-","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","1.50","1.50","1.46","2.64","0.00","0.00","-","-"
"YoY %","0.00%","2.74%","-44.70%","0.00%","0.00%","-","-",""
"Horiz. %","56.82%","56.82%","55.30%","100.00%","-","-","-",""
"Date","AQR","T4Q","28/02/19","26/02/18","28/02/17","-","-","-"
"Price","0.2200","0.2200","0.1550","0.2550","0.4650","0.0000","-","-"
"P/RPS","0.74","0.69","0.61","1.57","1.33","0.00","-","-"
"YoY %","7.25%","13.11%","-61.15%","18.05%","0.00%","-","-",""
"Horiz. %","55.64%","51.88%","45.86%","118.05%","100.00%","-","-",""
"P/EPS","13.39","-7.68","-3.11","-11.26","17.68","0.00","-","-"
"YoY %","274.35%","-146.95%","72.38%","-163.69%","0.00%","-","-",""
"Horiz. %","75.74%","-43.44%","-17.59%","-63.69%","100.00%","-","-",""
"EY","7.47","-13.03","-32.18","-8.88","5.66","0.00","-","-"
"YoY %","157.33%","59.51%","-262.39%","-256.89%","0.00%","-","-",""
"Horiz. %","131.98%","-230.21%","-568.55%","-156.89%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","2.20","2.20","1.11","2.32","2.91","0.00","-","-"
"YoY %","0.00%","98.20%","-52.16%","-20.27%","0.00%","-","-",""
"Horiz. %","75.60%","75.60%","38.14%","79.73%","100.00%","-","-",""

