Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"02/09/2019","2.52","4.13","+1.61 (63.89%)","BUY","HLG"
"26/08/2019","2.72","2.80","+0.08 (2.94%)","HOLD","PUBLIC BANK"
"26/08/2019","2.95","2.60","-0.35 (11.86%)","SELL","KENANGA"
"26/08/2019","2.72","3.50","+0.78 (28.68%)","BUY","HLG"
"26/08/2019","2.72","3.18","+0.46 (16.91%)","BUY","AmInvest"
"24/07/2019","2.55","4.15","+1.60 (62.75%)","BUY","HLG"
"23/07/2019","2.41","3.18","+0.77 (31.95%)","BUY","AmInvest"
"04/07/2019","2.30","2.20","-0.10 (4.35%)","HOLD","KENANGA"
"01/07/2019","2.20","3.03","+0.83 (37.73%)","HOLD","HLG"
"13/06/2019","2.15","2.30","+0.15 (6.98%)","BUY","PUBLIC BANK"

