Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"03/09/2019","5.82","7.00","+1.18 (20.27%)","BUY","PUBLIC BANK"
"03/09/2019","5.82","6.66","+0.84 (14.43%)","BUY","MIDF"
"03/09/2019","5.82","4.85","-0.97 (16.67%)","SELL","KENANGA"
"03/09/2019","5.82","6.02","+0.20 (3.44%)","HOLD","HLG"
"03/09/2019","5.82","5.53","-0.29 (4.98%)","HOLD","AmInvest"
"03/09/2019","5.82","6.40","+0.58 (9.97%)","BUY","AffinHwang"
"02/09/2019","5.82","6.30","+0.48 (8.25%)","HOLD","MAYBANK"
"02/09/2019","5.82","6.40","+0.58 (9.97%)","BUY","MACQUARIE GROUP"
"16/07/2019","5.76","6.02","+0.26 (4.51%)","BUY","HLG"
"15/07/2019","5.79","5.58","-0.21 (3.63%)","HOLD","AmInvest"

