F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"30-Jun-2018","28-May-2018","31-Mar-2018","3","81,509","-13,337","-13,337","-13,337","-","100,833","- %","-16.36%","-13.23%","1,231,182","6.62","4.78","-1.00","-0.78","0.00","0.00","0.0819","0.06"," -26.66%"," -287.70%","30-Mar-2018","0.07","1.06","-6.46","0.85","-15.48%","0.00%","28-May-2018","0.06","0.91","-5.54","0.73","-18.05%","0.00%"
"30-Jun-2018","27-Feb-2018","31-Dec-2017","2","50,192","-10,530","-10,530","-10,530","-","102,703","- %","-20.98%","-10.25%","1,000,031","5.02","2.95","-1.05","-0.62","0.00","0.00","0.1027","0.06"," -219.19%"," -621.23%","29-Dec-2017","0.055","1.10","-5.22","0.54","-19.14%","0.00%","27-Feb-2018","0.08","1.59","-7.60","0.78","-13.16%","0.00%"
"30-Jun-2018","24-Nov-2017","30-Sep-2017","1","28,895","-3,299","-3,299","-3,299","-","71,997","- %","-11.42%","-4.58%","990,333","2.92","1.70","-0.33","-0.19","0.00","0.00","0.0727","0.04"," 71.11%"," -82.97%","29-Sep-2017","0.06","2.06","-18.01","0.83","-5.55%","0.00%","24-Nov-2017","0.045","1.54","-13.51","0.62","-7.40%","0.00%"
"30-Jun-2017","29-Aug-2017","30-Jun-2017","4","97,681","-12,773","-12,773","-11,418","-","76,101","- %","-13.08%","-15.00%","946,531","10.32","5.73","-1.21","-0.67","0.00","0.00","0.0804","0.04"," -231.92%"," -34.46%","30-Jun-2017","0.07","0.68","-5.80","0.87","-17.23%","0.00%","29-Aug-2017","0.055","0.53","-4.56","0.68","-21.93%","0.00%"
"30-Jun-2017","26-May-2017","31-Mar-2017","3","73,648","-4,235","-4,235","-3,440","-","84,052","- %","-5.75%","-4.09%","946,531","7.78","4.32","-0.36","-0.20","0.00","0.00","0.0888","0.05"," -135.62%"," 2.33%","31-Mar-2017","0.075","0.96","-20.64","0.84","-4.85%","0.00%","26-May-2017","0.08","1.03","-22.01","0.90","-4.54%","0.00%"
"30-Jun-2017","27-Feb-2017","31-Dec-2016","2","48,167","-1,460","-1,460","-1,460","-","86,002","- %","-3.03%","-1.70%","906,241","5.32","2.83","-0.16","-0.09","0.00","0.00","0.0949","0.05"," 19.02%"," -409.32%","30-Dec-2016","0.07","1.32","-43.45","0.74","-2.30%","0.00%","27-Feb-2017","0.07","1.32","-43.45","0.74","-2.30%","0.00%"
"30-Jun-2017","23-Nov-2016","30-Sep-2016","1","23,754","-1,803","-1,803","-1,803","-","85,730","- %","-7.59%","-2.10%","906,241","2.62","1.39","-0.20","-0.11","0.00","0.00","0.0946","0.05"," 78.77%"," -193.47%","30-Sep-2016","0.065","2.48","-32.67","0.69","-3.06%","0.00%","23-Nov-2016","0.075","2.86","-37.70","0.79","-2.65%","0.00%"
"30-Jun-2016","26-Aug-2016","30-Jun-2016","4","139,248","-8,492","-8,492","-8,492","-","80,265","- %","-6.10%","-10.58%","946,531","14.71","8.17","-0.90","-0.50","0.00","0.00","0.0848","0.05"," -141.11%","  - %","30-Jun-2016","0.085","0.58","-9.47","1.00","-10.55%","0.00%","26-Aug-2016","0.07","0.48","-7.80","0.83","-12.82%","0.00%"
"30-Jun-2016","25-May-2016","31-Mar-2016","3","112,282","-3,522","-3,522","-3,522","-","85,187","- %","-3.14%","-4.13%","946,531","11.86","6.59","-0.37","-0.21","0.00","0.00","0.0900","0.05"," -846.19%"," 75.70%","31-Mar-2016","0.055","0.46","-14.78","0.61","-6.77%","0.00%","25-May-2016","0.085","0.72","-22.84","0.94","-4.38%","0.00%"
"31-Mar-2016","24-Feb-2016","31-Dec-2015","2","87,053","472","472","472","-","89,174","- %","0.54%","0.53%","906,241","9.61","5.11","0.05","0.03","0.00","0.00","0.0984","0.05"," -75.53%"," 292.65%","31-Dec-2015","0.06","0.62","115.20","0.61","0.87%","0.00%","24-Feb-2016","0.065","0.68","124.80","0.66","0.80%","0.00%"
