Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,CAGR
"Revenue","2,197,514","2,211,742","2,197,514","2,792,610","4,185,361","3,024,940","1,906,491","1,454,445","0","-"
"YoY %","-0.64%","0.65%","-21.31%","-33.28%","38.36%","58.67%","31.08%","0.00%","-",""
"Horiz. %","151.09%","152.07%","151.09%","192.01%","287.76%","207.98%","131.08%","100.00%","-",""
"PBT","1,085,960","1,085,960","1,085,960","1,071,532","1,436,625","1,524,699","1,130,326","1,151,779","0","-"
"YoY %","0.00%","0.00%","1.35%","-25.41%","-5.78%","34.89%","-1.86%","0.00%","-",""
"Horiz. %","94.29%","94.29%","94.29%","93.03%","124.73%","132.38%","98.14%","100.00%","-",""
"Tax","-425,530","-425,530","-425,530","-263,388","-468,799","-424,440","-229,729","-224,506","0","-"
"YoY %","0.00%","0.00%","-61.56%","43.82%","-10.45%","-84.76%","-2.33%","0.00%","-",""
"Horiz. %","189.54%","189.54%","189.54%","117.32%","208.81%","189.06%","102.33%","100.00%","-",""
"NP","660,430","660,430","660,430","808,144","967,826","1,100,259","900,597","927,273","0","-"
"YoY %","0.00%","0.00%","-18.28%","-16.50%","-12.04%","22.17%","-2.88%","0.00%","-",""
"Horiz. %","71.22%","71.22%","71.22%","87.15%","104.37%","118.66%","97.12%","100.00%","-",""
"NP to SH","661,290","661,290","661,290","783,631","920,870","1,080,018","890,702","913,397","0","-"
"YoY %","0.00%","0.00%","-15.61%","-14.90%","-14.74%","21.25%","-2.48%","0.00%","-",""
"Horiz. %","72.40%","72.40%","72.40%","85.79%","100.82%","118.24%","97.52%","100.00%","-",""
"Tax Rate","39.18    %","39.18    %","39.18    %","24.58    %","32.63    %","27.84    %","20.32    %","19.49    %","-     %","-"
"YoY %","0.00%","0.00%","59.40%","-24.67%","17.21%","37.01%","4.26%","0.00%","-",""
"Horiz. %","201.03%","201.03%","201.03%","126.12%","167.42%","142.84%","104.26%","100.00%","-",""
"Total Cost","1,537,084","1,551,312","1,537,084","1,984,466","3,217,535","1,924,681","1,005,894","527,172","0","-"
"YoY %","-0.92%","0.93%","-22.54%","-38.32%","67.17%","91.34%","90.81%","0.00%","-",""
"Horiz. %","291.57%","294.27%","291.57%","376.44%","610.34%","365.10%","190.81%","100.00%","-",""
"Net Worth","18,831,016","18,831,016","18,831,016","18,335,462","19,237,170","14,551,140","12,276,032","11,239,317","-","-"
"YoY %","0.00%","0.00%","2.70%","-4.69%","32.20%","18.53%","9.22%","0.00%","-",""
"Horiz. %","167.55%","167.55%","167.55%","163.14%","171.16%","129.47%","109.22%","100.00%","-",""
"Div","165,184","165,184","165,184","275,307","348,710","323,358","206,899","259,119","-","-"
"YoY %","0.00%","0.00%","-40.00%","-21.05%","7.84%","56.29%","-20.15%","0.00%","-",""
"Horiz. %","63.75%","63.75%","63.75%","106.25%","134.57%","124.79%","79.85%","100.00%","-",""
"Div Payout %","24.98    %","24.98    %","24.98    %","35.13    %","37.87    %","29.94    %","23.23    %","28.37    %","-     %","-"
"YoY %","0.00%","0.00%","-28.89%","-7.24%","26.49%","28.89%","-18.12%","0.00%","-",""
