Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","13,110,836","12,982,639","13,467,261","16,974,713","17,241,275","15,669,741","16,434,331","12,568,008","12,886,499","7,453,077","8.81%"
"YoY %","0.99%","-3.60%","-20.66%","-1.55%","10.03%","-4.65%","30.76%","-2.47%","72.90%","-",""
"Horiz. %","175.91%","174.19%","180.69%","227.75%","231.33%","210.25%","220.50%","168.63%","172.90%","100.00%",""
"PBT","-69,792","-1,089,191","-1,041,554","411,534","242,537","359,934","813,195","1,531,034","1,109,462","1,904,787","-"
"YoY %","93.59%","-4.57%","-353.09%","69.68%","-32.62%","-55.74%","-46.89%","38.00%","-41.75%","-",""
"Horiz. %","-3.66%","-57.18%","-54.68%","21.61%","12.73%","18.90%","42.69%","80.38%","58.25%","100.00%",""
"Tax","-44,662","-119,759","-100,569","-203,488","-176,078","-47,928","-291,335","-422,736","-204,582","-504,540","-20.56%"
"YoY %","62.71%","-19.08%","50.58%","-15.57%","-267.38%","83.55%","31.08%","-106.63%","59.45%","-",""
"Horiz. %","8.85%","23.74%","19.93%","40.33%","34.90%","9.50%","57.74%","83.79%","40.55%","100.00%",""
"NP","-114,454","-1,208,950","-1,142,123","208,046","66,459","312,006","521,860","1,108,298","904,880","1,400,247","-"
"YoY %","90.53%","-5.85%","-648.98%","213.04%","-78.70%","-40.21%","-52.91%","22.48%","-35.38%","-",""
"Horiz. %","-8.17%","-86.34%","-81.57%","14.86%","4.75%","22.28%","37.27%","79.15%","64.62%","100.00%",""
"NP to SH","-111,140","-1,113,625","-1,079,952","143,727","31,466","117,123","306,369","982,251","805,775","1,327,764","-"
"YoY %","90.02%","-3.12%","-851.39%","356.77%","-73.13%","-61.77%","-68.81%","21.90%","-39.31%","-",""
"Horiz. %","-8.37%","-83.87%","-81.34%","10.82%","2.37%","8.82%","23.07%","73.98%","60.69%","100.00%",""
"Tax Rate","-     %","-     %","-     %","49.45    %","72.60    %","13.32    %","35.83    %","27.61    %","18.44    %","26.49    %","-"
"YoY %","0.00%","0.00%","0.00%","-31.89%","445.05%","-62.82%","29.77%","49.73%","-30.39%","-",""
"Horiz. %","0.00%","0.00%","0.00%","186.67%","274.07%","50.28%","135.26%","104.23%","69.61%","100.00%",""
"Total Cost","13,225,290","14,191,589","14,609,384","16,766,667","17,174,816","15,357,735","15,912,471","11,459,710","11,981,619","6,052,830","13.40%"
"YoY %","-6.81%","-2.86%","-12.87%","-2.38%","11.83%","-3.49%","38.86%","-4.36%","97.95%","-",""
"Horiz. %","218.50%","234.46%","241.36%","277.01%","283.75%","253.73%","262.89%","189.33%","197.95%","100.00%",""
"Net Worth","4,377,782","4,377,782","4,450,745","5,618,153","5,800,561","6,457,228","6,347,784","6,566,673","4,725,328","5,621,006","-3.28%"
"YoY %","0.00%","-1.64%","-20.78%","-3.14%","-10.17%","1.72%","-3.33%","38.97%","-15.93%","-",""
"Horiz. %","77.88%","77.88%","79.18%","99.95%","103.19%","114.88%","112.93%","116.82%","84.07%","100.00%",""
"Div","-","0","-","182,407","-","145,926","364,815","583,704","396,135","24,923","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-60.00%","-37.50%","47.35%","1,489.42%","-",""
"Horiz. %","0.00%","0.00%","0.00%","731.88%","0.00%","585.50%","1,463.75%","2,342.00%","1,589.42%","100.00%",""
"Div Payout %","-     %","-     %","-     %","126.91    %","-     %","124.59    %","119.08    %","59.43    %","49.16    %","1.88    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","4.63%","100.37%","20.89%","2,514.89%","-",""
"Horiz. %","0.00%","0.00%","0.00%","6,750.53%","0.00%","6,627.13%","6,334.04%","3,161.17%","2,614.89%","100.00%",""
"Net Worth","4,377,782","4,377,782","4,450,745","5,618,153","5,800,561","6,457,228","6,347,784","6,566,673","4,725,328","5,621,006","-3.28%"
"YoY %","0.00%","-1.64%","-20.78%","-3.14%","-10.17%","1.72%","-3.33%","38.97%","-15.93%","-",""
"Horiz. %","77.88%","77.88%","79.18%","99.95%","103.19%","114.88%","112.93%","116.82%","84.07%","100.00%",""
"NOSH","3,648,152","3,648,152","3,648,152","3,648,152","3,648,152","3,648,152","3,648,152","3,648,152","2,829,538","1,767,612","10.90%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","28.93%","60.08%","-",""
"Horiz. %","206.39%","206.39%","206.39%","206.39%","206.39%","206.39%","206.39%","206.39%","160.08%","100.00%",""
"NP Margin","-0.87    %","-9.31    %","-8.48    %","1.23    %","0.39    %","1.99    %","3.18    %","8.82    %","7.02    %","18.79    %","-"
"YoY %","90.66%","-9.79%","-789.43%","215.38%","-80.40%","-37.42%","-63.95%","25.64%","-62.64%","-",""
"Horiz. %","-4.63%","-49.55%","-45.13%","6.55%","2.08%","10.59%","16.92%","46.94%","37.36%","100.00%",""
"ROE","-2.54    %","-25.44    %","-24.26    %","2.56    %","0.54    %","1.81    %","4.83    %","14.96    %","17.05    %","23.62    %","-"
"YoY %","90.02%","-4.86%","-1,047.66%","374.07%","-70.17%","-62.53%","-67.71%","-12.26%","-27.82%","-",""
"Horiz. %","-10.75%","-107.71%","-102.71%","10.84%","2.29%","7.66%","20.45%","63.34%","72.18%","100.00%",""
"RPS","359.38","355.87","369.15","465.30","472.60","429.53","450.48","344.50","455.43","421.65","-1.88%"
"YoY %","0.99%","-3.60%","-20.66%","-1.54%","10.03%","-4.65%","30.76%","-24.36%","8.01%","-",""
"Horiz. %","85.23%","84.40%","87.55%","110.35%","112.08%","101.87%","106.84%","81.70%","108.01%","100.00%",""
"EPS","-3.00","-30.53","-29.60","3.90","0.90","3.20","8.40","26.90","28.50","75.10","-"
"YoY %","90.17%","-3.14%","-858.97%","333.33%","-71.88%","-61.90%","-68.77%","-5.61%","-62.05%","-",""
"Horiz. %","-3.99%","-40.65%","-39.41%","5.19%","1.20%","4.26%","11.19%","35.82%","37.95%","100.00%",""
"DPS","0.00","0.00","0.00","5.00","0.00","4.00","10.00","16.00","14.00","1.41","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-60.00%","-37.50%","14.29%","892.91%","-",""
"Horiz. %","0.00%","0.00%","0.00%","354.61%","0.00%","283.69%","709.22%","1,134.75%","992.91%","100.00%",""
"NAPS","1.2000","1.2000","1.2200","1.5400","1.5900","1.7700","1.7400","1.8000","1.6700","3.1800","-12.78%"
"YoY %","0.00%","-1.64%","-20.78%","-3.14%","-10.17%","1.72%","-3.33%","7.78%","-47.48%","-",""
