Column1,AQR,T4Q,31/07/18,31/07/17,31/07/16,31/07/15,31/07/14,31/07/13,31/07/12,31/07/11,31/07/10,31/07/09,CAGR
"Revenue","5,180","6,913","9,448","5,232","3,738","5,230","4,950","4,669","5,181","4,424","3,318","2,306","16.95%"
"YoY %","-25.07%","-26.83%","80.58%","39.97%","-28.53%","5.66%","6.02%","-9.88%","17.11%","33.33%","43.89%","-",""
"Horiz. %","224.63%","299.78%","409.71%","226.89%","162.10%","226.80%","214.66%","202.47%","224.67%","191.85%","143.89%","100.00%",""
"PBT","-2,814","-20,281","-16,141","-8,869","-4,738","-42","-1,373","124","110","67","442","-2,008","26.04%"
"YoY %","86.12%","-25.65%","-81.99%","-87.19%","-11,180.95%","96.94%","-1,207.26%","12.73%","64.18%","-84.84%","122.01%","-",""
"Horiz. %","140.17%","1,010.01%","803.83%","441.68%","235.96%","2.09%","68.38%","-6.18%","-5.48%","-3.34%","-22.01%","100.00%",""
"Tax","0","0","-1","0","-7","-2","0","0","0","0","0","0","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-250.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-0.00%","-0.00%","50.00%","-0.00%","350.00%","100.00%","-","-","-","-","-","-",""
"NP","-2,814","-20,281","-16,142","-8,869","-4,745","-44","-1,373","124","110","67","442","-2,008","26.04%"
"YoY %","86.12%","-25.64%","-82.00%","-86.91%","-10,684.09%","96.80%","-1,207.26%","12.73%","64.18%","-84.84%","122.01%","-",""
"Horiz. %","140.17%","1,010.01%","803.88%","441.68%","236.30%","2.19%","68.38%","-6.18%","-5.48%","-3.34%","-22.01%","100.00%",""
"NP to SH","-2,252","-19,859","-16,142","-8,869","-4,745","-44","-1,373","124","110","67","442","-2,008","26.04%"
"YoY %","88.66%","-23.03%","-82.00%","-86.91%","-10,684.09%","96.80%","-1,207.26%","12.73%","64.18%","-84.84%","122.01%","-",""
"Horiz. %","112.15%","988.99%","803.88%","441.68%","236.30%","2.19%","68.38%","-6.18%","-5.48%","-3.34%","-22.01%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Total Cost","7,994","27,194","25,590","14,101","8,483","5,274","6,323","4,545","5,071","4,357","2,876","4,314","21.86%"
"YoY %","-70.60%","6.27%","81.48%","66.23%","60.85%","-16.59%","39.12%","-10.37%","16.39%","51.50%","-33.33%","-",""
"Horiz. %","185.32%","630.37%","593.18%","326.87%","196.64%","122.25%","146.57%","105.35%","117.55%","101.00%","66.67%","100.00%",""
"Net Worth","21,630","21,630","15,548","3,095","30,676","8,096","7,697","7,319","7,211","6,018","6,176","5,830","11.51%"
"YoY %","0.00%","39.11%","402.27%","-89.91%","278.90%","5.18%","5.15%","1.51%","19.81%","-2.55%","5.93%","-",""
"Horiz. %","370.96%","370.96%","266.66%","53.09%","526.10%","138.85%","132.01%","125.54%","123.67%","103.22%","105.93%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","21,630","21,630","15,548","3,095","30,676","8,096","7,697","7,319","7,211","6,018","6,176","5,830","11.51%"
"YoY %","0.00%","39.11%","402.27%","-89.91%","278.90%","5.18%","5.15%","1.51%","19.81%","-2.55%","5.93%","-",""
"Horiz. %","370.96%","370.96%","266.66%","53.09%","526.10%","138.85%","132.01%","125.54%","123.67%","103.22%","105.93%","100.00%",""
"NOSH","263,140","263,140","259,140","24,166","416,228","146,666","138,686","121,999","122,222","493,333","116,315","114,780","9.46%"
"YoY %","0.00%","1.54%","972.34%","-94.19%","183.79%","5.75%","13.68%","-0.18%","-75.23%","324.13%","1.34%","-",""
"Horiz. %","229.26%","229.26%","225.77%","21.05%","362.63%","127.78%","120.83%","106.29%","106.48%","429.81%","101.34%","100.00%",""
"NP Margin","-54.34    %","-293.37    %","-170.85    %","-169.51    %","-126.94    %","-0.84    %","-27.74    %","2.66    %","2.12    %","1.51    %","13.32    %","-87.08    %","7.77%"
"YoY %","81.48%","-71.71%","-0.79%","-33.54%","-15,011.91%","96.97%","-1,142.86%","25.47%","40.40%","-88.66%","115.30%","-",""
"Horiz. %","62.40%","336.90%","196.20%","194.66%","145.77%","0.96%","31.86%","-3.05%","-2.43%","-1.73%","-15.30%","100.00%",""
"ROE","-10.41    %","-91.81    %","-103.82    %","-286.50    %","-15.47    %","-0.54    %","-17.84    %","1.69    %","1.53    %","1.11    %","7.16    %","-34.44    %","13.04%"
"YoY %","88.66%","11.57%","63.76%","-1,751.97%","-2,764.81%","96.97%","-1,155.62%","10.46%","37.84%","-84.50%","120.79%","-",""
"Horiz. %","30.23%","266.58%","301.45%","831.88%","44.92%","1.57%","51.80%","-4.91%","-4.44%","-3.22%","-20.79%","100.00%",""
"RPS","1.97","2.63","3.65","21.65","0.90","3.57","3.57","3.83","4.24","3.96","2.85","2.01","6.85%"
"YoY %","-25.10%","-27.95%","-83.14%","2,305.56%","-74.79%","0.00%","-6.79%","-9.67%","7.07%","38.95%","41.79%","-",""
"Horiz. %","98.01%","130.85%","181.59%","1,077.11%","44.78%","177.61%","177.61%","190.55%","210.95%","197.01%","141.79%","100.00%",""
"EPS","-0.85","-7.55","-5.90","-0.37","-1.14","-0.03","-0.99","0.10","0.09","0.06","0.38","-1.75","14.45%"
"YoY %","88.74%","-27.97%","-1,494.59%","67.54%","-3,700.00%","96.97%","-1,090.00%","11.11%","50.00%","-84.21%","121.71%","-",""
"Horiz. %","48.57%","431.43%","337.14%","21.14%","65.14%","1.71%","56.57%","-5.71%","-5.14%","-3.43%","-21.71%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
